row_label_raw,row_label_full,Tên đơn vị,Địa chỉ,numeric__Địa chỉ
Ban điều hành dự án Thủy điện Huội Quảng,Ban điều hành dự án Thủy điện Huội Quảng,Ban điều hành dự án Thủy điện Huội Quảng,"Xã Chiềng Lao, huyện Mường La, tỉnh Sơn La",
Văn phòng Đại diện Tổng công ty Sông Đà -Ban điều hành dự án Thủy điện Lai Châu,Văn phòng Đại diện Tổng công ty Sông Đà -Ban điều hành dự án Thủy điện Lai Châu,Văn phòng Đại diện Tổng công ty Sông Đà -Ban điều hành dự án Thủy điện Lai Châu,"Bản Nậm Nhùn, thị trấn Nậm Nhùn, huyện Nậm Nhùn,tính Lai Châu",
Ban điều hành dự án Thủy điện Sơn La,Ban điều hành dự án Thủy điện Sơn La,Ban điều hành dự án Thủy điện Sơn La,"Xã Ít Ong, huyện Mường La, tỉnh Sơn La",
Ban điều hành dự án Thủy điện Xê ca màn 1,Ban điều hành dự án Thủy điện Xê ca màn 1,Ban điều hành dự án Thủy điện Xê ca màn 1,"Khu vực Cửa khẩu Bờ Y, huyện Ngọc Hồi, tỉnh Kontum",
Ban điều hành dự án Thủy điện Đồng Nai 5,Ban điều hành dự án Thủy điện Đồng Nai 5,Ban điều hành dự án Thủy điện Đồng Nai 5,"Thôn 5, xã Đắk Sin, huyện Đắk R’Lắp, tỉnh Đắk Nông",
Ban điều hành dự án Thủy điện Bản Vẽ,Ban điều hành dự án Thủy điện Bản Vẽ,Ban điều hành dự án Thủy điện Bản Vẽ,"Xã Yên Na, huyện Tương Dương, tỉnh Nghệ An",
Ban điều hành dự án Thủy điện Hua Na,Ban điều hành dự án Thủy điện Hua Na,Ban điều hành dự án Thủy điện Hua Na,"Xã Đồng Văn, huyện Quế Phong, tỉnh Nghệ An",
Ban điều hành dự án Thủy điện Xê ca màn 3,Ban điều hành dự án Thủy điện Xê ca màn 3,Ban điều hành dự án Thủy điện Xê ca màn 3,"Thị trấn Thạnh Mỹ, huyện Giang Nam, tỉnh Quảng Nam",
Ban điều hành gói thầu số 4,Ban điều hành gói thầu số 4,Ban điều hành gói thầu số 4,"Xã Duy Sơn, huyện Duy Xuyên, tỉnh Quảng Nam",
Ban quản lý dự án Thủy điện Sê Kông 3,Ban quản lý dự án Thủy điện Sê Kông 3,Ban quản lý dự án Thủy điện Sê Kông 3,,
