row_label_raw,row_label_full,col_0,Tại ngày31/12/2018,Tại ngày06/4/2018,numeric__Tại ngày31/12/2018,numeric__Tại ngày06/4/2018
Phải trả các bên liên quan,Phải trả các bên liên quan,Phải trả các bên liên quan,2.816.091.500.296,2.527.739.591.263,2816091500296.0,2527739591263.0
Công ty Cổ phần Sông Đà 2,Công ty Cổ phần Sông Đà 2,Công ty Cổ phần Sông Đà 2,5.482.996.312,6.135.174.139,5482996312.0,6135174139.0
Công ty Cổ phần Sông Đà 3,Công ty Cổ phần Sông Đà 3,Công ty Cổ phần Sông Đà 3,234.696.718.446,222.515.740.986,234696718446.0,222515740986.0
Công ty Cổ phần Sông Đà 4,Công ty Cổ phần Sông Đà 4,Công ty Cổ phần Sông Đà 4,170.938.969.805,152.639.123.533,170938969805.0,152639123533.0
Công ty Cổ phần Sông Đà 5,Công ty Cổ phần Sông Đà 5,Công ty Cổ phần Sông Đà 5,138.962.172.975,147.143.403.112,138962172975.0,147143403112.0
Công ty Cổ phần Sông Đà 6,Công ty Cổ phần Sông Đà 6,Công ty Cổ phần Sông Đà 6,253.716.692.112,288.077.394.502,253716692112.0,288077394502.0
Công ty Cổ phần Sông Đà 9,Công ty Cổ phần Sông Đà 9,Công ty Cổ phần Sông Đà 9,331.702.181.576,251.213.074.603,331702181576.0,251213074603.0
Công ty Cổ phần Sông Đà 10,Công ty Cổ phần Sông Đà 10,Công ty Cổ phần Sông Đà 10,610.381.202.287,505.592.187.377,610381202287.0,505592187377.0
Công ty Cổ phần Sông Đà 11,Công ty Cổ phần Sông Đà 11,Công ty Cổ phần Sông Đà 11,89.897.310.846,91.245.411.556,89897310846.0,91245411556.0
Công ty Cổ phần Sông Đà 12,Công ty Cổ phần Sông Đà 12,Công ty Cổ phần Sông Đà 12,484.124.017,484.124.017,484124017.0,484124017.0
Công ty Cổ phần Phòng cháy chữa cháy và Đầu tư Xây dựng Sông Đà,Công ty Cổ phần Phòng cháy chữa cháy và Đầu tư Xây dựng Sông Đà,Công ty Cổ phần Phòng cháy chữa cháy và Đầu tư Xây dựng Sông Đà,247.001.253,247.001.253,247001253.0,247001253.0
Công ty Cổ phần Thủy điện Cần Đơn,Công ty Cổ phần Thủy điện Cần Đơn,Công ty Cổ phần Thủy điện Cần Đơn,508.659.809.766,415.595.092.827,508659809766.0,415595092827.0
Công ty Cổ phần Tư vấn Sông Đà,Công ty Cổ phần Tư vấn Sông Đà,Công ty Cổ phần Tư vấn Sông Đà,11.102.754.099,9.188.413.084,11102754099.0,9188413084.0
Công ty Cổ phần Cơ khí Lắp máy Sông Đà,Công ty Cổ phần Cơ khí Lắp máy Sông Đà,Công ty Cổ phần Cơ khí Lắp máy Sông Đà,154.844.103.383,147.979.736.722,154844103383.0,147979736722.0
Công ty Cổ phần Phát triển nhà Khánh Hòa,Công ty Cổ phần Phát triển nhà Khánh Hòa,Công ty Cổ phần Phát triển nhà Khánh Hòa,1.037.957.000,5.400.482.000,1037957000.0,5400482000.0
Công ty Cổ phần Đầu tư Phát triển Đô thị và Khu công nghiệp Sông Đà,Công ty Cổ phần Đầu tư Phát triển Đô thị và Khu công nghiệp Sông Đà,Công ty Cổ phần Đầu tư Phát triển Đô thị và Khu công nghiệp Sông Đà,67.070.600.000,67.070.600.000,67070600000.0,67070600000.0
Công ty TNHH Tư vấn Xây dựng Sông Đà - Ucrin,Công ty TNHH Tư vấn Xây dựng Sông Đà - Ucrin,Công ty TNHH Tư vấn Xây dựng Sông Đà - Ucrin,5.009.920.074,4.097.729.222,5009920074.0,4097729222.0
Công ty TNHH Một thành viên Sông Đà 10.1,Công ty TNHH Một thành viên Sông Đà 10.1,Công ty TNHH Một thành viên Sông Đà 10.1,137.783.309.197,131.776.137.540,137783309197.0,131776137540.0
