row_label_raw,row_label_full,col_0,Vốn góp của chủ sở hữu,Lợi nhuận sau thuế chưa phân phối,Cộng,numeric__Vốn góp của chủ sở hữu,numeric__Lợi nhuận sau thuế chưa phân phối,numeric__Cộng
Tại ngày 06/4/2018,Tại ngày 06/4/2018,Tại ngày 06/4/2018,4.495.371.120.000,,4.495.371.120.000,4495371120000.0,,4495371120000.0
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,,22.375.409.519,22.375.409.519,,22375409519.0,22375409519.0
Tại ngày 31/12/2018,Tại ngày 31/12/2018,Tại ngày 31/12/2018,4.495.371.120.000,22.375.409.519,4.517.746.529.519,4495371120000.0,22375409519.0,4517746529519.0
