row_label_raw,row_label_full,col_0,Tại ngày31/12/2018,Dự phòng,Tại ngày06/4/2018,Dự phòng_1,numeric__Tại ngày31/12/2018,numeric__Dự phòng,numeric__Tại ngày06/4/2018,numeric__Dự phòng_1
Đầu tư vào công ty con,Đầu tư vào công ty con,Đầu tư vào công ty con,3.509.267.425.514,(89.219.000.000),3.509.267.425.514,,3509267425514.0,-89219000000.0,3509267425514.0,
Các Công ty Con do Tập đoàn nằm giữ trên 50% quyền biểu quyết,Các Công ty Con do Tập đoàn nằm giữ trên 50% quyền biểu quyết,Các Công ty Con do Tập đoàn nằm giữ trên 50% quyền biểu quyết,Các Công ty Con do Tập đoàn nằm giữ trên 50% quyền biểu quyết,Các Công ty Con do Tập đoàn nằm giữ trên 50% quyền biểu quyết,Các Công ty Con do Tập đoàn nằm giữ trên 50% quyền biểu quyết,Các Công ty Con do Tập đoàn nằm giữ trên 50% quyền biểu quyết,,,,
Công ty Cổ phần Sông Đà 3(i),Các Công ty Con do Tập đoàn nằm giữ trên 50% quyền biểu quyết > Công ty Cổ phần Sông Đà 3(i),Công ty Cổ phần Sông Đà 3(i),64.464.000.000,(64.464.000.000),64.464.000.000,,64464000000.0,-64464000000.0,64464000000.0,
Công ty Cổ phần Sông Đà 4(i),Các Công ty Con do Tập đoàn nằm giữ trên 50% quyền biểu quyết > Công ty Cổ phần Sông Đà 4(i),Công ty Cổ phần Sông Đà 4(i),72.975.500.000,,72.975.500.000,,72975500000.0,,72975500000.0,
Công ty Cổ phần Sông Đà 5(i),Các Công ty Con do Tập đoàn nằm giữ trên 50% quyền biểu quyết > Công ty Cổ phần Sông Đà 5(i),Công ty Cổ phần Sông Đà 5(i),196.843.824.000,,196.843.824.000,,196843824000.0,,196843824000.0,
Công ty Cổ phần Sông Đà 6(i),Các Công ty Con do Tập đoàn nằm giữ trên 50% quyền biểu quyết > Công ty Cổ phần Sông Đà 6(i),Công ty Cổ phần Sông Đà 6(i),339.023.100.000,,339.023.100.000,,339023100000.0,,339023100000.0,
Công ty Cổ phần Sông Đà 9(i),Các Công ty Con do Tập đoàn nằm giữ trên 50% quyền biểu quyết > Công ty Cổ phần Sông Đà 9(i),Công ty Cổ phần Sông Đà 9(i),305.867.224.224,,305.867.224.224,,305867224224.0,,305867224224.0,
Công ty Cổ phần Sông Đà 10(i),Các Công ty Con do Tập đoàn nằm giữ trên 50% quyền biểu quyết > Công ty Cổ phần Sông Đà 10(i),Công ty Cổ phần Sông Đà 10(i),417.736.289.900,,417.736.289.900,,417736289900.0,,417736289900.0,
Công ty Cổ phần Phòng cháy chữa cháy và Đầu tư Xây dựng Sông Đà,Các Công ty Con do Tập đoàn nằm giữ trên 50% quyền biểu quyết > Công ty Cổ phần Phòng cháy chữa cháy và Đầu tư Xây dựng Sông Đà,Công ty Cổ phần Phòng cháy chữa cháy và Đầu tư Xây dựng Sông Đà,12.750.000.000,(12.750.000.000),12.750.000.000,,12750000000.0,-12750000000.0,12750000000.0,
Công ty Cổ phần Đầu tư và Phát triển điện Sê San 3A,Các Công ty Con do Tập đoàn nằm giữ trên 50% quyền biểu quyết > Công ty Cổ phần Đầu tư và Phát triển điện Sê San 3A,Công ty Cổ phần Đầu tư và Phát triển điện Sê San 3A,228.073.875.831,,228.073.875.831,,228073875831.0,,228073875831.0,
