row_label_raw,row_label_full,col_0,Từ ngày 06/4/2018đến 31/12/2018,Năm 2017,numeric__Từ ngày 06/4/2018đến 31/12/2018,numeric__Năm 2017
Chi phí cho nhân viên,Chi phí cho nhân viên,Chi phí cho nhân viên,27.390.195.693,43.523.406.112,27390195693.0,43523406112.0
Chi phí vật liệu quản lý,Chi phí vật liệu quản lý,Chi phí vật liệu quản lý,644.987.526,1.624.866.266,644987526.0,1624866266.0
Chi phí đồ dùng văn phòng,Chi phí đồ dùng văn phòng,Chi phí đồ dùng văn phòng,2.924.351.133,546.376.353,2924351133.0,546376353.0
Chi phí khấu hao tài sản cố định,Chi phí khấu hao tài sản cố định,Chi phí khấu hao tài sản cố định,6.029.747.399,3.811.115.094,6029747399.0,3811115094.0
"Thuế, phí và lệ phí","Thuế, phí và lệ phí","Thuế, phí và lệ phí",3.295.115.654,2.977.682.334,3295115654.0,2977682334.0
Dự phòng/(Hoàn nhập) dự phòng phải thu khó đòi,Dự phòng/(Hoàn nhập) dự phòng phải thu khó đòi,Dự phòng/(Hoàn nhập) dự phòng phải thu khó đòi,59.135.637.653,,59135637653.0,
Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,5.898.830.761,9.425.879.786,5898830761.0,9425879786.0
Chi phí bằng tiền khác,Chi phí bằng tiền khác,Chi phí bằng tiền khác,10.792.795.902,13.986.200.506,10792795902.0,13986200506.0
Cộng,Cộng,Cộng,116.111.661.721,75.895.526.451,116111661721.0,75895526451.0
Chi phí quản lý các năm trước chưa phân bổ(xem thuyết minh V.9b),Chi phí quản lý các năm trước chưa phân bổ(xem thuyết minh V.9b),Chi phí quản lý các năm trước chưa phân bổ(xem thuyết minh V.9b),12.343.204.362,9.802.097.868,12343204362.0,9802097868.0
Trích trước chi phí quản lý năm trước(xem thuyết minh V.16),Trích trước chi phí quản lý năm trước(xem thuyết minh V.16),Trích trước chi phí quản lý năm trước(xem thuyết minh V.16),1.439.701.349,(878.228.131),1439701349.0,-878228131.0
Kết chuyển vào kết quả kinh doanh năm nay,Kết chuyển vào kết quả kinh doanh năm nay,Kết chuyển vào kết quả kinh doanh năm nay,111.098.620.845,74.347.135.834,111098620845.0,74347135834.0
Trích trước chi phí quản lý năm sau(xem thuyết minh V.16),Trích trước chi phí quản lý năm sau(xem thuyết minh V.16),Trích trước chi phí quản lý năm sau(xem thuyết minh V.16),1.641.360.077,,1641360077.0,
Chi phí chờ kết chuyển sang năm sau(xem thuyết minh V.9b),Chi phí chờ kết chuyển sang năm sau(xem thuyết minh V.9b),Chi phí chờ kết chuyển sang năm sau(xem thuyết minh V.9b),17.557.903.966,10.472.260.354,17557903966.0,10472260354.0
