row_label_raw,row_label_full,col_0,Tại ngày31/12/2018,Tại ngày 06/4/2018,numeric__Tại ngày31/12/2018,numeric__Tại ngày 06/4/2018
Phải thu các bên liên quan,Phải thu các bên liên quan,Phải thu các bên liên quan,166.866.298.027,217.259.317.086,166866298027.0,217259317086.0
Công ty Cổ phần Điện Việt Lào,Công ty Cổ phần Điện Việt Lào,Công ty Cổ phần Điện Việt Lào,19.002.468.644,,19002468644.0,
Công ty TNHH Điện Xekaman1,Công ty TNHH Điện Xekaman1,Công ty TNHH Điện Xekaman1,147.863.829.383,217.259.317.086,147863829383.0,217259317086.0
Phải thu các khách hàng khác,Phải thu các khách hàng khác,Phải thu các khách hàng khác,310.236.758.756,359.804.525.978,310236758756.0,359804525978.0
Ban quản lý Dự án Thủy điện 1,Ban quản lý Dự án Thủy điện 1,Ban quản lý Dự án Thủy điện 1,181.593.875.281,179.112.937.503,181593875281.0,179112937503.0
Ban quản lý Dự án Nhà máy Thủy điện Sơn La,Ban quản lý Dự án Nhà máy Thủy điện Sơn La,Ban quản lý Dự án Nhà máy Thủy điện Sơn La,128.642.883.475,180.691.588.475,128642883475.0,180691588475.0
Cộng,Cộng,Cộng,477.103.056.783,577.063.843.064,477103056783.0,577063843064.0
