row_label_raw,row_label_full,Chỉ tiêu,Mã số,Năm 2020 VND,Năm 2019 VND,numeric__Mã số,numeric__Năm 2020 VND,numeric__Năm 2019 VND
Lưu chuyển tiền từ hoạt động kinh doanh,Lưu chuyển tiền từ hoạt động kinh doanh,Lưu chuyển tiền từ hoạt động kinh doanh,Lưu chuyển tiền từ hoạt động kinh doanh,Lưu chuyển tiền từ hoạt động kinh doanh,Lưu chuyển tiền từ hoạt động kinh doanh,,,
Lợi nhuận trước thuế,Lưu chuyển tiền từ hoạt động kinh doanh > Lợi nhuận trước thuế,Lợi nhuận trước thuế,01,107.974.357.963,120.021.268.222,1.0,107974357963.0,120021268222.0
Điều chỉnh cho các khoản,Điều chỉnh cho các khoản,Điều chỉnh cho các khoản,Điều chỉnh cho các khoản,Điều chỉnh cho các khoản,Điều chỉnh cho các khoản,,,
"Khấu hao TSCĐ và BĐSĐT, phân bổ lợi thế thương mại","Điều chỉnh cho các khoản > Khấu hao TSCĐ và BĐSĐT, phân bổ lợi thế thương mại","Khấu hao TSCĐ và BĐSĐT, phân bổ lợi thế thương mại",02,68.299.736.349,79.408.549.472,2.0,68299736349.0,79408549472.0
Các khoản dự phòng,Điều chỉnh cho các khoản > Các khoản dự phòng,Các khoản dự phòng,03,4.457.973.327,21.116.000.662,3.0,4457973327.0,21116000662.0
(Lãi) các khoản chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ,Điều chỉnh cho các khoản > (Lãi) các khoản chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ,(Lãi) các khoản chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ,04,(476.638.570),(330.968.558),4.0,-476638570.0,-330968558.0
(Lãi) hoạt động đầu tư,Điều chỉnh cho các khoản > (Lãi) hoạt động đầu tư,(Lãi) hoạt động đầu tư,05,(111.303.058.447),(192.612.545.575),5.0,-111303058447.0,-192612545575.0
Chi phí lãi vay,Điều chỉnh cho các khoản > Chi phí lãi vay,Chi phí lãi vay,06,40.821.139.149,45.776.820.026,6.0,40821139149.0,45776820026.0
Các điều chỉnh khác,Điều chỉnh cho các khoản > Các điều chỉnh khác,Các điều chỉnh khác,07,(1.045.742),39.848.900,7.0,-1045742.0,39848900.0
Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,Điều chỉnh cho các khoản > Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,08,109.772.464.029,73.418.973.149,8.0,109772464029.0,73418973149.0
