row_label_raw,row_label_full,TÀI SẢN,Mã số minh,Mã số minh_1,31/12/2020 VND,01/01/2020 VND,numeric__Mã số minh,numeric__Mã số minh_1,numeric__31/12/2020 VND,numeric__01/01/2020 VND
TÀI SẢN DÀI HẠN,TÀI SẢN DÀI HẠN,TÀI SẢN DÀI HẠN,200,,1.954.278.380.789,2.518.519.715.732,200.0,,1954278380789.0,2518519715732.0
Các khoản phải thu dài hạn,Các khoản phải thu dài hạn,Các khoản phải thu dài hạn,210,,27.483.200.000,1.404.000.000,210.0,,27483200000.0,1404000000.0
Phải thu về cho vay dài hạn,Phải thu về cho vay dài hạn,Phải thu về cho vay dài hạn,215,9,26.000.000.000,-,215.0,9.0,26000000000.0,
Phải thu dài hạn khác,Phải thu dài hạn khác,Phải thu dài hạn khác,216,8,1.483.200.000,1.404.000.000,216.0,8.0,1483200000.0,1404000000.0
Tài sản cố định,Tài sản cố định,Tài sản cố định,220,,469.932.154.832,500.473.228.258,220.0,,469932154832.0,500473228258.0
Tài sản cố định hữu hình,Tài sản cố định hữu hình,Tài sản cố định hữu hình,221,11,373.867.095.233,401.334.450.656,221.0,11.0,373867095233.0,401334450656.0
- Nguyên giá,- Nguyên giá,- Nguyên giá,222,,883.825.459.322,868.368.669.934,222.0,,883825459322.0,868368669934.0
- Giá trị hao mòn luỹ kế,- Giá trị hao mòn luỹ kế,- Giá trị hao mòn luỹ kế,223,,(509.958.364.089),(467.034.219.278),223.0,,-509958364089.0,-467034219278.0
Tài sản cố định vô hình,Tài sản cố định vô hình,Tài sản cố định vô hình,227,12,96.065.059.599,99.138.777.602,227.0,12.0,96065059599.0,99138777602.0
- Nguyên giá,- Nguyên giá,- Nguyên giá,228,,104.516.562.731,105.884.298.537,228.0,,104516562731.0,105884298537.0
- Giá trị hao mòn luỹ kế,- Giá trị hao mòn luỹ kế,- Giá trị hao mòn luỹ kế,229,,(8.451.503.132),(6.745.520.935),229.0,,-8451503132.0,-6745520935.0
Bất động sản đầu tư,Bất động sản đầu tư,Bất động sản đầu tư,230,14,111.455.296.458,150.220.910.779,230.0,14.0,111455296458.0,150220910779.0
- Nguyên giá,- Nguyên giá,- Nguyên giá,231,,122.545.141.615,167.467.407.005,231.0,,122545141615.0,167467407005.0
- Giá trị hao mòn luỹ kế,- Giá trị hao mòn luỹ kế,- Giá trị hao mòn luỹ kế,232,,(11.089.845.157),(17.246.496.226),232.0,,-11089845157.0,-17246496226.0
Tài sản dở dang dài hạn,Tài sản dở dang dài hạn,Tài sản dở dang dài hạn,240,15,83.828.886.638,40.881.470.362,240.0,15.0,83828886638.0,40881470362.0
"Chi phí sản xuất, kinh doanh dở dang dài hạn","Chi phí sản xuất, kinh doanh dở dang dài hạn","Chi phí sản xuất, kinh doanh dở dang dài hạn",241,,19.199.914.458,13.089.459.280,241.0,,19199914458.0,13089459280.0
Chi phí xây dựng cơ bản dở dang,Chi phí xây dựng cơ bản dở dang,Chi phí xây dựng cơ bản dở dang,242,,64.628.972.180,27.792.011.082,242.0,,64628972180.0,27792011082.0
Đầu tư tài chính dài hạn,Đầu tư tài chính dài hạn,Đầu tư tài chính dài hạn,250,,1.155.358.069.010,1.694.604.269.265,250.0,,1155358069010.0,1694604269265.0
"Đầu tư vào công ty liên doanh, liên kết","Đầu tư vào công ty liên doanh, liên kết","Đầu tư vào công ty liên doanh, liên kết",252,6,1.070.645.889.010,1.135.652.089.265,252.0,6.0,1070645889010.0,1135652089265.0
Đầu tư góp vốn vào các đơn vị khác,Đầu tư góp vốn vào các đơn vị khác,Đầu tư góp vốn vào các đơn vị khác,253,6,25.952.180.000,25.952.180.000,253.0,6.0,25952180000.0,25952180000.0
Đầu tư nắm giữ đến ngày đáo hạn,Đầu tư nắm giữ đến ngày đáo hạn,Đầu tư nắm giữ đến ngày đáo hạn,255,6,58.760.000.000,533.000.000.000,255.0,6.0,58760000000.0,533000000000.0
Tài sản dài hạn khác,Tài sản dài hạn khác,Tài sản dài hạn khác,260,,106.220.773.851,130.935.837.068,260.0,,106220773851.0,130935837068.0
Chi phí trả trước dài hạn,Chi phí trả trước dài hạn,Chi phí trả trước dài hạn,261,16,14.535.891.854,16.615.666.254,261.0,16.0,14535891854.0,16615666254.0
Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,262,,4.041.347.043,2.671.023.704,262.0,,4041347043.0,2671023704.0
Lợi thế thương mại,Lợi thế thương mại,Lợi thế thương mại,269,17,87.643.534.954,111.649.147.110,269.0,17.0,87643534954.0,111649147110.0
TỔNG TÀI SẢN,TỔNG TÀI SẢN,TỔNG TÀI SẢN,270,,5.283.977.459.862,5.284.710.648.566,270.0,,5283977459862.0,5284710648566.0
