row_label_raw,row_label_full,col_0,"Nhà cửa, vật kiến trúcVND",Quyền sử dụng đấtVND,Tổng cộngVND,"numeric__Nhà cửa, vật kiến trúcVND",numeric__Quyền sử dụng đấtVND,numeric__Tổng cộngVND
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,
Tại ngày 01/01/2020,NGUYÊN GIÁ > Tại ngày 01/01/2020,Tại ngày 01/01/2020,95.814.594.082,71.652.812.923,167.467.407.005,95814594082.0,71652812923.0,167467407005.0
"- Thanh lý, nhượng bán","NGUYÊN GIÁ > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",(44.922.265.390),-,(44.922.265.390),-44922265390.0,,-44922265390.0
Tại ngày 31/12/2020,NGUYÊN GIÁ > Tại ngày 31/12/2020,Tại ngày 31/12/2020,50.892.328.692,71.652.812.923,122.545.141.615,50892328692.0,71652812923.0,122545141615.0
HAO MÒN LỦY KẾ,HAO MÒN LỦY KẾ,HAO MÒN LỦY KẾ,HAO MÒN LỦY KẾ,HAO MÒN LỦY KẾ,HAO MÒN LỦY KẾ,,,
Tại ngày 01/01/2020,HAO MÒN LỦY KẾ > Tại ngày 01/01/2020,Tại ngày 01/01/2020,(17.246.496.226),-,(17.246.496.226),-17246496226.0,,-17246496226.0
- Khấu hao trong năm,HAO MÒN LỦY KẾ > - Khấu hao trong năm,- Khấu hao trong năm,(1.710.413.694),-,(1.710.413.694),-1710413694.0,,-1710413694.0
"- Thanh lý, nhượng bán","HAO MÒN LỦY KẾ > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",7.867.064.763,-,7.867.064.763,7867064763.0,,7867064763.0
Tại ngày 31/12/2020,HAO MÒN LỦY KẾ > Tại ngày 31/12/2020,Tại ngày 31/12/2020,(11.089.845.157),-,(11.089.845.157),-11089845157.0,,-11089845157.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,
Tại ngày 01/01/2020,GIÁ TRỊ CÒN LẠI > Tại ngày 01/01/2020,Tại ngày 01/01/2020,78.568.097.856,71.652.812.923,150.220.910.779,78568097856.0,71652812923.0,150220910779.0
Tại ngày 31/12/2020,GIÁ TRỊ CÒN LẠI > Tại ngày 31/12/2020,Tại ngày 31/12/2020,39.802.483.535,71.652.812.923,111.455.296.458,39802483535.0,71652812923.0,111455296458.0
