row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcVND","Máy móc,thiết bịVND","Phương tiện,vận tải,truyền dẫnVND","Thiết bị,dụng cụquản lýVND",TSCĐ HHkhácVND,CộngVND,"numeric__Nhà cửa,vật kiến trúcVND","numeric__Máy móc,thiết bịVND","numeric__Phương tiện,vận tải,truyền dẫnVND","numeric__Thiết bị,dụng cụquản lýVND",numeric__TSCĐ HHkhácVND,numeric__CộngVND
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,,,
01/01/2020,NGUYÊN GIÁ > 01/01/2020,01/01/2020,209.970.606.362,608.659.515.376,35.387.802.307,14.154.810.788,195.935.101,868.368.669.934,209970606362.0,608659515376.0,35387802307.0,14154810788.0,195935101.0,868368669934.0
- Mua mới trong năm,NGUYÊN GIÁ > - Mua mới trong năm,- Mua mới trong năm,589.457.000,14.050.897.470,3.690.014.455,778.010.679,-,19.108.379.604,589457000.0,14050897470.0,3690014455.0,778010679.0,,19108379604.0
"- Thanh lý, nhượng bán","NGUYÊN GIÁ > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",-,(3.607.044.761),-,(44.545.455),-,(3.651.590.216),,-3607044761.0,,-44545455.0,,-3651590216.0
- Phân loại lại,NGUYÊN GIÁ > - Phân loại lại,- Phân loại lại,732.848.305,(573.782.850),-,(60.540.000),(98.525.455),-,732848305.0,-573782850.0,,-60540000.0,-98525455.0,
31/12/2020,NGUYÊN GIÁ > 31/12/2020,31/12/2020,211.292.911.667,618.529.585.235,39.077.816.762,14.827.736.012,97.409.646,883.825.459.322,211292911667.0,618529585235.0,39077816762.0,14827736012.0,97409646.0,883825459322.0
HAO MÔN LỦY KẾ,HAO MÔN LỦY KẾ,HAO MÔN LỦY KẾ,HAO MÔN LỦY KẾ,HAO MÔN LỦY KẾ,HAO MÔN LỦY KẾ,HAO MÔN LỦY KẾ,HAO MÔN LỦY KẾ,HAO MÔN LỦY KẾ,,,,,,
01/01/2020,HAO MÔN LỦY KẾ > 01/01/2020,01/01/2020,(84.732.940.274),(351.437.637.540),(23.159.520.815),(7.540.600.460),(163.520.189),(467.034.219.278),-84732940274.0,-351437637540.0,-23159520815.0,-7540600460.0,-163520189.0,-467034219278.0
- Khấu hao trong năm,HAO MÔN LỦY KẾ > - Khấu hao trong năm,- Khấu hao trong năm,(10.956.324.393),(30.254.156.984),(3.072.718.735),(2.269.617.271),(9.852.540),(46.562.669.923),-10956324393.0,-30254156984.0,-3072718735.0,-2269617271.0,-9852540.0,-46562669923.0
"- Thanh lý, nhượng bán","HAO MÔN LỦY KẾ > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",-,3.593.979.657,-,44.545.455,-,3.638.525.112,,3593979657.0,,44545455.0,,3638525112.0
- Phân loại lại,HAO MÔN LỦY KẾ > - Phân loại lại,- Phân loại lại,(402.144.309),322.796.097,(60.412.339),63.797.468,75.963.083,-,-402144309.0,322796097.0,-60412339.0,63797468.0,75963083.0,
31/12/2020,HAO MÔN LỦY KẾ > 31/12/2020,31/12/2020,(96.091.408.976),(377.775.018.770),(26.292.651.889),(9.701.874.808),(97.409.646),(509.958.364.089),-96091408976.0,-377775018770.0,-26292651889.0,-9701874808.0,-97409646.0,-509958364089.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,,,,
01/01/2020,GIÁ TRỊ CÒN LẠI > 01/01/2020,01/01/2020,125.237.666.088,257.221.877.836,12.228.281.492,6.614.210.328,32.414.912,401.334.450.656,125237666088.0,257221877836.0,12228281492.0,6614210328.0,32414912.0,401334450656.0
31/12/2020,GIÁ TRỊ CÒN LẠI > 31/12/2020,31/12/2020,115.201.502.691,240.754.566.465,12.785.164.873,5.125.861.204,-,373.867.095.233,115201502691.0,240754566465.0,12785164873.0,5125861204.0,,373867095233.0
