row_label_raw,row_label_full,col_0,31/12/2020VND,Số phải nộp trong nămVND,Số đã thực nộp/bù trừ trong nămVND,01/01/2020VND,numeric__31/12/2020VND,numeric__Số phải nộp trong nămVND,numeric__Số đã thực nộp/bù trừ trong nămVND,numeric__01/01/2020VND
Thuế và các khoản phải nộp,Thuế và các khoản phải nộp,Thuế và các khoản phải nộp,Thuế và các khoản phải nộp,Thuế và các khoản phải nộp,Thuế và các khoản phải nộp,Thuế và các khoản phải nộp,,,,
- Thuế giá trị gia tăng đầu ra phải nộp,Thuế và các khoản phải nộp > - Thuế giá trị gia tăng đầu ra phải nộp,- Thuế giá trị gia tăng đầu ra phải nộp,45.980.936,25.235.998.336,25.597.622.305,407.604.905,45980936.0,25235998336.0,25597622305.0,407604905.0
"- Thuế xuất, nhập khẩu","Thuế và các khoản phải nộp > - Thuế xuất, nhập khẩu","- Thuế xuất, nhập khẩu",-,18.721.408.163,18.890.762.809,169.354.646,,18721408163.0,18890762809.0,169354646.0
- Thuế thu nhập doanh nghiệp,Thuế và các khoản phải nộp > - Thuế thu nhập doanh nghiệp,- Thuế thu nhập doanh nghiệp,22.412.931.197,23.708.682.654,19.444.424.809,18.148.673.352,22412931197.0,23708682654.0,19444424809.0,18148673352.0
- Thuế thu nhập cá nhân,Thuế và các khoản phải nộp > - Thuế thu nhập cá nhân,- Thuế thu nhập cá nhân,803.946.932,5.320.975.672,5.178.218.666,661.189.926,803946932.0,5320975672.0,5178218666.0,661189926.0
- Thuế tài nguyên,Thuế và các khoản phải nộp > - Thuế tài nguyên,- Thuế tài nguyên,-,92.610.672,92.610.672,-,,92610672.0,92610672.0,
- Tiền thuê đất,Thuế và các khoản phải nộp > - Tiền thuê đất,- Tiền thuê đất,-,1.945.798.097,1.946.798.097,1.000.000,,1945798097.0,1946798097.0,1000000.0
"- Thuế, Phí, lệ phí và các khoản phải nộp khác","Thuế và các khoản phải nộp > - Thuế, Phí, lệ phí và các khoản phải nộp khác","- Thuế, Phí, lệ phí và các khoản phải nộp khác",-,629.102.856,629.102.856,-,,629102856.0,629102856.0,
,,,23.262.859.065,75.654.576.450,71.779.540.214,19.387.822.829,23262859065.0,75654576450.0,71779540214.0,19387822829.0
,,,31/12/2020VND,Số phải thu trong nămVND,Số đã thực thu/bù trừ trong nămVND,01/01/2020VND,,,,
Thuế và các khoản phải thu,Thuế và các khoản phải thu,Thuế và các khoản phải thu,Thuế và các khoản phải thu,Thuế và các khoản phải thu,Thuế và các khoản phải thu,Thuế và các khoản phải thu,,,,
- Thuế giá trị gia tăng đầu ra phải nộp,Thuế và các khoản phải thu > - Thuế giá trị gia tăng đầu ra phải nộp,- Thuế giá trị gia tăng đầu ra phải nộp,1.041.183.963,1.424.541.633,440.001.299,56.643.629,1041183963.0,1424541633.0,440001299.0,56643629.0
"- Thuế xuất, nhập khẩu","Thuế và các khoản phải thu > - Thuế xuất, nhập khẩu","- Thuế xuất, nhập khẩu",70.202.203,1.964.045.704,2.303.141.462,409.297.961,70202203.0,1964045704.0,2303141462.0,409297961.0
- Thuế thu nhập doanh nghiệp,Thuế và các khoản phải thu > - Thuế thu nhập doanh nghiệp,- Thuế thu nhập doanh nghiệp,1.335.819.465,460.000,1.125.854,1.336.485.319,1335819465.0,460000.0,1125854.0,1336485319.0
- Thuế thu nhập cá nhân,Thuế và các khoản phải thu > - Thuế thu nhập cá nhân,- Thuế thu nhập cá nhân,25.205.207,-,4.998.610,30.203.817,25205207.0,,4998610.0,30203817.0
,,,2.472.410.838,3.389.047.337,2.749.267.225,1.832.630.726,2472410838.0,3389047337.0,2749267225.0,1832630726.0
