row_label_raw,row_label_full,Tại ngày đầu kỳ,Miền Bắc > 01/01/2020VND,Miền Nam > 01/01/2020VND,Loại trừ > 01/01/2020VND,Tổng cộng > 43831VND,numeric__Miền Bắc > 01/01/2020VND,numeric__Miền Nam > 01/01/2020VND,numeric__Loại trừ > 01/01/2020VND,numeric__Tổng cộng > 43831VND
Tài sản,Tài sản,Tài sản,,,,,,,,
Tài sản bộ phận,Tài sản > Tài sản bộ phận,Tài sản bộ phận,3.682.662.249.873,3.653.086.981.578,(2.051.038.582.885),5.284.710.648.566,3682662249873.0,3653086981578.0,-2051038582885.0,5284710648566.0
Tổng tài sản hợp nhất,Tài sản > Tổng tài sản hợp nhất,Tổng tài sản hợp nhất,,,,5.284.710.648.566,,,,5284710648566.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,
Nợ phải trả bộ phận,Nợ phải trả > Nợ phải trả bộ phận,Nợ phải trả bộ phận,356.344.831.885,947.780.742.600,(66.085.245.709),1.238.040.328.776,356344831885.0,947780742600.0,-66085245709.0,1238040328776.0
Tổng nợ phải trả hợp nhất,Nợ phải trả > Tổng nợ phải trả hợp nhất,Tổng nợ phải trả hợp nhất,,,,1.238.040.328.776,,,,1238040328776.0
Năm 2019,Năm 2019,Năm 2019,,,,,,,,
Doanh thu,Doanh thu,Doanh thu,Miền BắcVND,Miền NamVND,Loại trừVND,Tổng cộngVND,,,,
Doanh thu thuần từ bán hàng ra bên ngoài,Doanh thu > Doanh thu thuần từ bán hàng ra bên ngoài,Doanh thu thuần từ bán hàng ra bên ngoài,12.690.905.020,1.168.783.701.590,-,1.181.474.606.610,12690905020.0,1168783701590.0,,1181474606610.0
Doanh thu thuần từ bán hàng cho các bộ phận,Doanh thu > Doanh thu thuần từ bán hàng cho các bộ phận,Doanh thu thuần từ bán hàng cho các bộ phận,10.726.367.399,-,(10.726.367.399),-,10726367399.0,,-10726367399.0,
Tổng doanh thu,Doanh thu > Tổng doanh thu,Tổng doanh thu,23.417.272.419,1.168.783.701.590,(10.726.367.399),1.181.474.606.610,23417272419.0,1168783701590.0,-10726367399.0,1181474606610.0
Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,,,,-,,,,
Giá vốn,Kết quả hoạt động kinh doanh > Giá vốn,Giá vốn,11.531.794.734,920.250.147.927,(5.873.264.348),925.908.678.313,11531794734.0,920250147927.0,-5873264348.0,925908678313.0
Lãi gộp,Kết quả hoạt động kinh doanh > Lãi gộp,Lãi gộp,11.885.477.685,248.533.553.663,(4.853.103.051),255.565.928.297,11885477685.0,248533553663.0,-4853103051.0,255565928297.0
Lãi (lỗ) từ công ty liên doanh liên kết,Kết quả hoạt động kinh doanh > Lãi (lỗ) từ công ty liên doanh liên kết,Lãi (lỗ) từ công ty liên doanh liên kết,338.842.314,1.264.785.252,-,1.603.627.566,338842314.0,1264785252.0,,1603627566.0
Chi phí bán hàng và chi phí quản lý,Kết quả hoạt động kinh doanh > Chi phí bán hàng và chi phí quản lý,Chi phí bán hàng và chi phí quản lý,26.066.998.108,240.182.605.312,14.056.196.732,280.305.800.151,26066998108.0,240182605312.0,14056196732.0,280305800151.0
Lãi (lỗ) khác,Kết quả hoạt động kinh doanh > Lãi (lỗ) khác,Lãi (lỗ) khác,2.835.721.716,7.451.235.640,(86.909.090),10.200.048.266,2835721716.0,7451235640.0,-86909090.0,10200048266.0
Doanh thu tài chính,Kết quả hoạt động kinh doanh > Doanh thu tài chính,Doanh thu tài chính,61.575.679.480,144.003.369.461,(5.631.362.531),199.947.686.410,61575679480.0,144003369461.0,-5631362531.0,199947686410.0
Chi phí tài chính,Kết quả hoạt động kinh doanh > Chi phí tài chính,Chi phí tài chính,23.694.293.477,49.807.342.526,(6.511.413.837),66.990.222.166,23694293477.0,49807342526.0,-6511413837.0,66990222166.0
Lợi nhuận trước thuế,Kết quả hoạt động kinh doanh > Lợi nhuận trước thuế,Lợi nhuận trước thuế,26.874.429.610,111.262.996.179,(18.116.157.567),120.021.268.222,26874429610.0,111262996179.0,-18116157567.0,120021268222.0
Chi phí thuế thu nhập doanh nghiệp hiện hành,Kết quả hoạt động kinh doanh > Chi phí thuế thu nhập doanh nghiệp hiện hành,Chi phí thuế thu nhập doanh nghiệp hiện hành,4.259.198.250,19.540.385.753,-,23.799.584.003,4259198250.0,19540385753.0,,23799584003.0
Thu nhập thuế thu nhập doanh nghiệp hoãn lại,Kết quả hoạt động kinh doanh > Thu nhập thuế thu nhập doanh nghiệp hoãn lại,Thu nhập thuế thu nhập doanh nghiệp hoãn lại,-,3.969.316.223,176.010.261,4.145.326.484,,3969316223.0,176010261.0,4145326484.0
Lợi nhuận trong năm,Kết quả hoạt động kinh doanh > Lợi nhuận trong năm,Lợi nhuận trong năm,22.615.231.360,87.753.294.203,(18.116.157.567),92.076.357.735,22615231360.0,87753294203.0,-18116157567.0,92076357735.0
