row_label_raw,row_label_full,Chỉ tiêu,Mã số,Thuyết minh,Năm 2020 VND,Năm 2019 VND,numeric__Mã số,numeric__Thuyết minh,numeric__Năm 2020 VND,numeric__Năm 2019 VND
Doanh thu bán hàng và cung cấp dịch vụ,Doanh thu bán hàng và cung cấp dịch vụ,Doanh thu bán hàng và cung cấp dịch vụ,01,27,1.209.550.300.382,1.190.273.001.592,1.0,27.0,1209550300382.0,1190273001592.0
Các khoản giảm trừ doanh thu,Các khoản giảm trừ doanh thu,Các khoản giảm trừ doanh thu,02,27,21.123.316.963,8.798.394.982,2.0,27.0,21123316963.0,8798394982.0
Doanh thu thuần bán hàng và cung cấp dịch vụ,Doanh thu thuần bán hàng và cung cấp dịch vụ,Doanh thu thuần bán hàng và cung cấp dịch vụ,10,27,1.188.426.983.419,1.181.474.606.610,10.0,27.0,1188426983419.0,1181474606610.0
Giá vốn hàng bán,Giá vốn hàng bán,Giá vốn hàng bán,11,28,922.170.707.896,925.908.678.313,11.0,28.0,922170707896.0,925908678313.0
Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,20,,266.256.275.523,255.565.928.297,20.0,,266256275523.0,255565928297.0
Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,21,29,134.225.237.094,199.947.686.410,21.0,29.0,134225237094.0,199947686410.0
Chi phí tài chính,Chi phí tài chính,Chi phí tài chính,22,30,58.782.496.667,66.990.222.166,22.0,30.0,58782496667.0,66990222166.0
Trong đó: Chi phí lãi vay,Trong đó: Chi phí lãi vay,Trong đó: Chi phí lãi vay,23,,40.821.139.149,45.776.820.026,23.0,,40821139149.0,45776820026.0
"Lãi, lỗ đầu tư Công ty liên doanh, liên kết","Lãi, lỗ đầu tư Công ty liên doanh, liên kết","Lãi, lỗ đầu tư Công ty liên doanh, liên kết",24,,(5.139.204.086),1.603.627.566,24.0,,-5139204086.0,1603627566.0
Chi phí bán hàng,Chi phí bán hàng,Chi phí bán hàng,25,31,129.464.413.851,166.634.998.913,25.0,31.0,129464413851.0,166634998913.0
Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,26,31,105.560.627.644,113.670.801.238,26.0,31.0,105560627644.0,113670801238.0
Lợi nhuận thuần từ hoạt động kinh doanh,Lợi nhuận thuần từ hoạt động kinh doanh,Lợi nhuận thuần từ hoạt động kinh doanh,30,,101.534.770.369,109.821.219.956,30.0,,101534770369.0,109821219956.0
Thu nhập khác,Thu nhập khác,Thu nhập khác,31,33,8.571.300.169,13.609.686.954,31.0,33.0,8571300169.0,13609686954.0
Chi phí khác,Chi phí khác,Chi phí khác,32,34,2.131.712.575,3.409.638.688,32.0,34.0,2131712575.0,3409638688.0
Lợi nhuận khác,Lợi nhuận khác,Lợi nhuận khác,40,,6.439.587.594,10.200.048.266,40.0,,6439587594.0,10200048266.0
Tổng lợi nhuận kế toán trước thuế,Tổng lợi nhuận kế toán trước thuế,Tổng lợi nhuận kế toán trước thuế,50,,107.974.357.963,120.021.268.222,50.0,,107974357963.0,120021268222.0
Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,51,35,23.624.097.549,23.799.584.003,51.0,35.0,23624097549.0,23799584003.0
Chi phí thuế TNDN hoãn lại,Chi phí thuế TNDN hoãn lại,Chi phí thuế TNDN hoãn lại,52,36,998.830.573,4.145.326.484,52.0,36.0,998830573.0,4145326484.0
Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,60,,83.351.429.841,92.076.357.735,60.0,,83351429841.0,92076357735.0
Lợi nhuận sau thuế của công ty mẹ,Lợi nhuận sau thuế của công ty mẹ,Lợi nhuận sau thuế của công ty mẹ,61,,56.452.563.446,70.228.235.920,61.0,,56452563446.0,70228235920.0
Lợi nhuận sau thuế của cổ đông không kiểm soát,Lợi nhuận sau thuế của cổ đông không kiểm soát,Lợi nhuận sau thuế của cổ đông không kiểm soát,62,,26.898.866.395,21.848.121.815,62.0,,26898866395.0,21848121815.0
