row_label_raw,row_label_full,II. Đầu tư nắm giữ đến ngày đáo hạn,31/12/2020 > Giá gốcVND > II. Đầu tư nắm giữ đến ngày đáo hạn,31/12/2020 > Giá trị hợp lýVND > II. Đầu tư nắm giữ đến ngày đáo hạn,31/12/2020 > Dự phòngVND > II. Đầu tư nắm giữ đến ngày đáo hạn,01/01/2020 > Giá gốcVND > II. Đầu tư nắm giữ đến ngày đáo hạn,01/01/2020 > Giá trị hợp lýVND > II. Đầu tư nắm giữ đến ngày đáo hạn,01/01/2020 > Dự phòngVND > II. Đầu tư nắm giữ đến ngày đáo hạn,numeric__31/12/2020 > Giá gốcVND > II. Đầu tư nắm giữ đến ngày đáo hạn,numeric__31/12/2020 > Giá trị hợp lýVND > II. Đầu tư nắm giữ đến ngày đáo hạn,numeric__31/12/2020 > Dự phòngVND > II. Đầu tư nắm giữ đến ngày đáo hạn,numeric__01/01/2020 > Giá gốcVND > II. Đầu tư nắm giữ đến ngày đáo hạn,numeric__01/01/2020 > Giá trị hợp lýVND > II. Đầu tư nắm giữ đến ngày đáo hạn,numeric__01/01/2020 > Dự phòngVND > II. Đầu tư nắm giữ đến ngày đáo hạn
Ngắn hạn,Ngắn hạn,Ngắn hạn,2.285.761.006.084,2.285.545.862.356,(215.143.728),1.814.976.057.828,1.814.760.914.100,(215.143.728),2285761006084.0,2285545862356.0,-215143728.0,1814976057828.0,1814760914100.0,-215143728.0
- Tiền gửi có kỳ hạn (1),- Tiền gửi có kỳ hạn (1),- Tiền gửi có kỳ hạn (1),437.110.454.794,437.110.454.794,-,668.115.000.000,668.115.000.000,-,437110454794.0,437110454794.0,,668115000000.0,668115000000.0,
- Trái phiếu (4),- Trái phiếu (4),- Trái phiếu (4),560.051.712.818,560.051.712.818,-,10.000.000.000,10.000.000.000,-,560051712818.0,560051712818.0,,10000000000.0,10000000000.0,
- Chứng chỉ tiền gửi (2),- Chứng chỉ tiền gửi (2),- Chứng chỉ tiền gửi (2),499.900.000.000,499.900.000.000,-,513.000.000.000,513.000.000.000,-,499900000000.0,499900000000.0,,513000000000.0,513000000000.0,
- Các khoản đầu tư khác (3),- Các khoản đầu tư khác (3),- Các khoản đầu tư khác (3),788.698.838.472,788.483.694.744,(215.143.728),623.861.057.828,623.645.914.100,(215.143.728),788698838472.0,788483694744.0,-215143728.0,623861057828.0,623645914100.0,-215143728.0
+ Công Ty CP đầu tư Thương,+ Công Ty CP đầu tư Thương,+ Công Ty CP đầu tư Thương,120.410.000.000,120.410.000.000,-,320.731.407.000,320.731.407.000,-,120410000000.0,120410000000.0,,320731407000.0,320731407000.0,
Mại Hoa Sen Việt nam,Mại Hoa Sen Việt nam,Mại Hoa Sen Việt nam,Mại Hoa Sen Việt nam,Mại Hoa Sen Việt nam,Mại Hoa Sen Việt nam,Mại Hoa Sen Việt nam,Mại Hoa Sen Việt nam,Mại Hoa Sen Việt nam,,,,,,
+ Ông Nguyễn Ngọc Bích,Mại Hoa Sen Việt nam > + Ông Nguyễn Ngọc Bích,+ Ông Nguyễn Ngọc Bích,135.925.459.944,135.925.459.944,-,9.500.000.000,9.500.000.000,-,135925459944.0,135925459944.0,,9500000000.0,9500000000.0,
+ Ông Cao Trọng Hoan,Mại Hoa Sen Việt nam > + Ông Cao Trọng Hoan,+ Ông Cao Trọng Hoan,186.285.234.800,186.285.234.800,-,-,-,-,186285234800.0,186285234800.0,,,,
+ Công ty CP Đầu tư Trí Việt,Mại Hoa Sen Việt nam > + Công ty CP Đầu tư Trí Việt,+ Công ty CP Đầu tư Trí Việt,53.515.000.000,53.515.000.000,-,84.495.287.500,84.495.287.500,-,53515000000.0,53515000000.0,,84495287500.0,84495287500.0,
+ Nguyễn Trường Ban,Mại Hoa Sen Việt nam > + Nguyễn Trường Ban,+ Nguyễn Trường Ban,215.143.728,-,(215.143.728),215.143.728,-,(215.143.728),215143728.0,,-215143728.0,215143728.0,,-215143728.0
+ Công ty CP Crystal Bay,Mại Hoa Sen Việt nam > + Công ty CP Crystal Bay,+ Công ty CP Crystal Bay,30.000.000.000,30.000.000.000,-,30.000.000.000,30.000.000.000,-,30000000000.0,30000000000.0,,30000000000.0,30000000000.0,
+ Công ty CP Đầu tư và Phát triển Nông sản Hưng Yên,Mại Hoa Sen Việt nam > + Công ty CP Đầu tư và Phát triển Nông sản Hưng Yên,+ Công ty CP Đầu tư và Phát triển Nông sản Hưng Yên,241.173.000.000,241.173.000.000,-,99.795.068.000,99.795.068.000,-,241173000000.0,241173000000.0,,99795068000.0,99795068000.0,
+ Đối tượng khác,Mại Hoa Sen Việt nam > + Đối tượng khác,+ Đối tượng khác,21.175.000.000,21.175.000.000,-,79.124.151.600,79.124.151.600,-,21175000000.0,21175000000.0,,79124151600.0,79124151600.0,
Dài hạn,Mại Hoa Sen Việt nam > Dài hạn,Dài hạn,58.760.000.000,58.760.000.000,-,533.000.000.000,533.000.000.000,-,58760000000.0,58760000000.0,,533000000000.0,533000000000.0,
Trái phiếu (4),Mại Hoa Sen Việt nam > Trái phiếu (4),Trái phiếu (4),1.000.000.000,1.000.000.000,-,513.000.000.000,513.000.000.000,-,1000000000.0,1000000000.0,,513000000000.0,513000000000.0,
Ông Cao Trọng Hoan (3),Mại Hoa Sen Việt nam > Ông Cao Trọng Hoan (3),Ông Cao Trọng Hoan (3),57.760.000.000,57.760.000.000,-,20.000.000.000,20.000.000.000,-,57760000000.0,57760000000.0,,20000000000.0,20000000000.0,
,,,2.344.521.006.084,2.344.305.862.356,(215.143.728),2.347.976.057.828,2.347.760.914.100,(215.143.728),2344521006084.0,2344305862356.0,-215143728.0,2347976057828.0,2347760914100.0,-215143728.0
