row_label_raw,row_label_full,31/12/2020 > Giá gốc,31/12/2020 > Giá trị hợp lý (*),01/01/2020 > Giá gốc,01/01/2020 > Giá trị hợp lý (*),numeric__31/12/2020 > Giá trị hợp lý (*),numeric__01/01/2020 > Giá gốc,numeric__01/01/2020 > Giá trị hợp lý (*)
VND,VND,VND,VND,VND,VND,,,
1.110.725.635.673,VND > 1.110.725.635.673,1.110.725.635.673,1.070.645.889.010,1.169.674.035.673,1.135.652.089.265,1070645889010.0,1169674035673.0,1135652089265.0
364.580.855.673,VND > 364.580.855.673,364.580.855.673,371.158.090.338,364.580.855.673,370.115.648.023,371158090338.0,364580855673.0,370115648023.0
423.224.780.000,VND > 423.224.780.000,423.224.780.000,375.267.989.888,423.224.780.000,382.465.043.798,375267989888.0,423224780000.0,382465043798.0
-,VND > -,-,-,58.948.400.000,59.866.996.170,,58948400000.0,59866996170.0
322.920.000.000,VND > 322.920.000.000,322.920.000.000,324.219.808.784,322.920.000.000,323.204.401.274,324219808784.0,322920000000.0,323204401274.0
25.952.180.000,VND > 25.952.180.000,25.952.180.000,,25.952.180.000,,,25952180000.0,
2.272.180.000,VND > 2.272.180.000,2.272.180.000,,2.272.180.000,,,2272180000.0,
23.680.000.000,VND > 23.680.000.000,23.680.000.000,,23.680.000.000,,,23680000000.0,
1.136.677.815.673,VND > 1.136.677.815.673,1.136.677.815.673,,1.195.626.215.673,,,1195626215673.0,
