row_label_raw,row_label_full,col_0,31/12/2020 > Giá trịVND,31/12/2020 > Số có khả năng trả nợVND,01/01/2020 > Giá trịVND,01/01/2020 > Số có khả năng trả nợVND,numeric__31/12/2020 > Giá trịVND,numeric__31/12/2020 > Số có khả năng trả nợVND,numeric__01/01/2020 > Giá trịVND,numeric__01/01/2020 > Số có khả năng trả nợVND
Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,,,,
"Lao TTL Agriculture And Industrial Development Co., Ltd","Phải trả người bán ngắn hạn > Lao TTL Agriculture And Industrial Development Co., Ltd","Lao TTL Agriculture And Industrial Development Co., Ltd",4.132.458.000,4.132.458.000,-,-,4132458000.0,4132458000.0,,
Công ty TNHH Sản xuất Constantia Việt Nam,Phải trả người bán ngắn hạn > Công ty TNHH Sản xuất Constantia Việt Nam,Công ty TNHH Sản xuất Constantia Việt Nam,3.734.649.028,3.734.649.028,7.578.886.829,7.578.886.829,3734649028.0,3734649028.0,7578886829.0,7578886829.0
"PB GELATINS (HEILONGJIANG) CO,LTD","Phải trả người bán ngắn hạn > PB GELATINS (HEILONGJIANG) CO,LTD","PB GELATINS (HEILONGJIANG) CO,LTD",3.482.250.000,3.482.250.000,-,-,3482250000.0,3482250000.0,,
Công ty TNHH VN Chuan Li Can Manufacturing,Phải trả người bán ngắn hạn > Công ty TNHH VN Chuan Li Can Manufacturing,Công ty TNHH VN Chuan Li Can Manufacturing,1.827.003.217,1.827.003.217,1.605.431.426,1.605.431.426,1827003217.0,1827003217.0,1605431426.0,1605431426.0
DNTN Thương mại In Phước Châu,Phải trả người bán ngắn hạn > DNTN Thương mại In Phước Châu,DNTN Thương mại In Phước Châu,1.953.168.910,1.953.168.910,2.286.926.059,2.286.926.059,1953168910.0,1953168910.0,2286926059.0,2286926059.0
Ishan International PVT Limited - India,Phải trả người bán ngắn hạn > Ishan International PVT Limited - India,Ishan International PVT Limited - India,-,-,5.209.327.500,5.209.327.500,,,5209327500.0,5209327500.0
Phải trả khác,Phải trả người bán ngắn hạn > Phải trả khác,Phải trả khác,70.324.578.486,70.324.578.486,82.761.406.400,82.761.406.400,70324578486.0,70324578486.0,82761406400.0,82761406400.0
,,,85.454.107.641,85.454.107.641,99.441.978.214,99.441.978.214,85454107641.0,85454107641.0,99441978214.0,99441978214.0
Trong đó: phải trả người bán là bên liên quan,Phải trả người bán ngắn hạn > Trong đó: phải trả người bán là bên liên quan,Trong đó: phải trả người bán là bên liên quan,50.826.455.964,50.826.455.964,50.365.979.069,50.365.979.069,50826455964.0,50826455964.0,50365979069.0,50365979069.0
- Công ty CP FIT Cosmetics,Phải trả người bán ngắn hạn > - Công ty CP FIT Cosmetics,- Công ty CP FIT Cosmetics,16.327.101,16.327.101,-,-,16327101.0,16327101.0,,
- Công ty CP Nước khoáng Khánh Hòa,Phải trả người bán ngắn hạn > - Công ty CP Nước khoáng Khánh Hòa,- Công ty CP Nước khoáng Khánh Hòa,50.810.128.863,50.810.128.863,50.365.979.069,50.365.979.069,50810128863.0,50810128863.0,50365979069.0,50365979069.0
