row_label_raw,row_label_full,THUYẾT MINH BẢO CẢO TÀI CHÍNH HỢP NHẤT (TIẾP)(Các thuyết minh này là bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính kèm theo),THUYẾT MINH BẢO CẢO TÀI CHÍNH HỢP NHẤT (TIẾP)(Các thuyết minh này là bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính kèm theo)_1,THUYẾT MINH BẢO CẢO TÀI CHÍNH HỢP NHẤT (TIẾP)(Các thuyết minh này là bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính kèm theo)_2,THUYẾT MINH BẢO CẢO TÀI CHÍNH HỢP NHẤT (TIẾP)(Các thuyết minh này là bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính kèm theo)_3,THUYẾT MINH BẢO CẢO TÀI CHÍNH HỢP NHẤT (TIẾP)(Các thuyết minh này là bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính kèm theo)_4,THUYẾT MINH BẢO CẢO TÀI CHÍNH HỢP NHẤT (TIẾP)(Các thuyết minh này là bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính kèm theo)_5,THUYẾT MINH BẢO CẢO TÀI CHÍNH HỢP NHẤT (TIẾP)(Các thuyết minh này là bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính kèm theo)_6,THUYẾT MINH BẢO CẢO TÀI CHÍNH HỢP NHẤT (TIẾP)(Các thuyết minh này là bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính kèm theo)_7,THUYẾT MINH BẢO CẢO TÀI CHÍNH HỢP NHẤT (TIẾP)(Các thuyết minh này là bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính kèm theo)_8,numeric__THUYẾT MINH BẢO CẢO TÀI CHÍNH HỢP NHẤT (TIẾP)(Các thuyết minh này là bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính kèm theo)_1,numeric__THUYẾT MINH BẢO CẢO TÀI CHÍNH HỢP NHẤT (TIẾP)(Các thuyết minh này là bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính kèm theo)_2,numeric__THUYẾT MINH BẢO CẢO TÀI CHÍNH HỢP NHẤT (TIẾP)(Các thuyết minh này là bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính kèm theo)_3,numeric__THUYẾT MINH BẢO CẢO TÀI CHÍNH HỢP NHẤT (TIẾP)(Các thuyết minh này là bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính kèm theo)_4,numeric__THUYẾT MINH BẢO CẢO TÀI CHÍNH HỢP NHẤT (TIẾP)(Các thuyết minh này là bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính kèm theo)_5,numeric__THUYẾT MINH BẢO CẢO TÀI CHÍNH HỢP NHẤT (TIẾP)(Các thuyết minh này là bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính kèm theo)_6,numeric__THUYẾT MINH BẢO CẢO TÀI CHÍNH HỢP NHẤT (TIẾP)(Các thuyết minh này là bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính kèm theo)_7,numeric__THUYẾT MINH BẢO CẢO TÀI CHÍNH HỢP NHẤT (TIẾP)(Các thuyết minh này là bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính kèm theo)_8
24. VỐN CHỦ SỞ HỮU,24. VỐN CHỦ SỞ HỮU,24. VỐN CHỦ SỞ HỮU,24. VỐN CHỦ SỞ HỮU,24. VỐN CHỦ SỞ HỮU,24. VỐN CHỦ SỞ HỮU,24. VỐN CHỦ SỞ HỮU,24. VỐN CHỦ SỞ HỮU,24. VỐN CHỦ SỞ HỮU,24. VỐN CHỦ SỞ HỮU,24. VỐN CHỦ SỞ HỮU,,,,,,,,
"24.1 Tỉnh hình tăng, giảm vốn chủ sở hữu","24.1 Tỉnh hình tăng, giảm vốn chủ sở hữu","24.1 Tỉnh hình tăng, giảm vốn chủ sở hữu","24.1 Tỉnh hình tăng, giảm vốn chủ sở hữu","24.1 Tỉnh hình tăng, giảm vốn chủ sở hữu","24.1 Tỉnh hình tăng, giảm vốn chủ sở hữu","24.1 Tỉnh hình tăng, giảm vốn chủ sở hữu","24.1 Tỉnh hình tăng, giảm vốn chủ sở hữu","24.1 Tỉnh hình tăng, giảm vốn chủ sở hữu","24.1 Tỉnh hình tăng, giảm vốn chủ sở hữu","24.1 Tỉnh hình tăng, giảm vốn chủ sở hữu",,,,,,,,
Khoản mục,Khoản mục,Khoản mục,Vốn đầu tư của chủ sở hữuVND,Thặng dư vốn cổ phầnVND,Quyền chọn chuyển đổi trái phiếuVND,Vốn khác của chủ sở hữuVND,Quỹ đầu tư phát triểnVND,Lợi nhuận sau thuế chưa phân phốiVND,Lợi ích cổ đông không kiểm soátVND,Tổng cộngVND,,,,,,,,
01/01/2019,Khoản mục > 01/01/2019,01/01/2019,2.547.302.470.000,70.045.649.714,22.368.782.096,80.481.887.391,886.852.413,211.114.452.530,1.036.426.683.774,3.968.626.777.918,2547302470000.0,70045649714.0,22368782096.0,80481887391.0,886852413.0,211114452530.0,1036426683774.0,3968626777918.0
- Lãi trong năm,Khoản mục > - Lãi trong năm,- Lãi trong năm,-,-,-,-,-,70.228.235.920,21.848.121.815,92.076.357.735,,,,,,70228235920.0,21848121815.0,92076357735.0
- Trích lập các quỹ,Khoản mục > - Trích lập các quỹ,- Trích lập các quỹ,-,-,-,-,-,(82.070.315),(117.929.685),(200.000.000),,,,,,-82070315.0,-117929685.0,-200000000.0
- Giảm lợi ích Cổ đông không kiểm soát của DCL do thoái vốn tại Công ty con,Khoản mục > - Giảm lợi ích Cổ đông không kiểm soát của DCL do thoái vốn tại Công ty con,- Giảm lợi ích Cổ đông không kiểm soát của DCL do thoái vốn tại Công ty con,-,-,-,-,-,-,(7.507.791.746),(7.507.791.746),,,,,,,-7507791746.0,-7507791746.0
- Giảm lợi ích cổ đông không kiểm soát của TSC,Khoản mục > - Giảm lợi ích cổ đông không kiểm soát của TSC,- Giảm lợi ích cổ đông không kiểm soát của TSC,-,-,-,-,-,(869.268.164),(1.006.358.543),(1.875.626.707),,,,,,-869268164.0,-1006358543.0,-1875626707.0
- Tăng/Giảm khác,Khoản mục > - Tăng/Giảm khác,- Tăng/Giảm khác,-,-,-,-,-,(4.446.833.198),(2.564.212),(4.449.397.410),,,,,,-4446833198.0,-2564212.0,-4449397410.0
31/12/2019,Khoản mục > 31/12/2019,31/12/2019,2.547.302.470.000,70.045.649.714,22.368.782.096,80.481.887.391,886.852.413,275.944.516.773,1.049.640.161.403,4.046.670.319.790,2547302470000.0,70045649714.0,22368782096.0,80481887391.0,886852413.0,275944516773.0,1049640161403.0,4046670319790.0
