row_label_raw,row_label_full,STT,Họ và tên,Chức danh,Thu nhập năm 2020,numeric__Họ và tên,numeric__Chức danh,numeric__Thu nhập năm 2020
1,1,1,Nguyễn Văn Sang,Chủ tịch HĐQT,60.000.000,,,60000000.0
2,2,2,Nguyễn Thị Minh Nguyệt,Phó Chủ tịch HĐQT,48.000.000,,,48000000.0
3,3,3,Kiều Hữu Hoàn,Thành viên HĐQT,23.333.333,,,23333333.0
4,4,4,Phan Minh Sáng,Thành viên HĐQT,48.000.000,,,48000000.0
5,5,5,Hửa Xuân Sinh,Thành viên độc lập HĐQT,23.333.333,,,23333333.0
6,6,6,Đỗ Văn Khá,Thành viên độc lập HĐQT,36.000.000,,,36000000.0
7,7,7,Bùi Tuấn,Thành viên độc lập HĐQT,36.000.000,,,36000000.0
8,8,8,Kiều Hữu Dũng,Thành viên HĐQT,24.666.667,,,24666667.0
9,9,9,Cao Trọng Hoan,Thành viên HĐQT,24.666.667,,,24666667.0
10,10,10,Ninh Việt Tiến,Trường BKS,36.000.000,,,36000000.0
11,11,11,Lưu Đức Quang,Thành viên BKS,8.750.000,,,8750000.0
12,12,12,Nguyễn Thị Thanh Thúy,Thành viên BKS,18.000.000,,,18000000.0
13,13,13,Nguyễn Thị Hồng Anh,Thành viên BKS,9.250.000,,,9250000.0
14,14,14,Ông Đỗ Văn Khá,Thành viên HĐQT độc lập,12.000.000,,,12000000.0
15,15,15,Ông Bùi Tuấn,Thành viên HĐQT độc lập,12.000.000,,,12000000.0
16,16,16,Nguyễn Thị Minh Nguyệt,Tổng Giám đốc,1.655.900.280,,,1655900280.0
Tổng thu nhập,Tổng thu nhập,Tổng thu nhập,Tổng thu nhập,Tổng thu nhập,2.075.900.280,,,2075900280.0
