row_label_raw,row_label_full,col_0,31/12/2020 > Giá gốcVND,31/12/2020 > Giá trị có thể thu hồiVND,31/12/2020 > Dự phòngVND,01/01/2020 > Giá gốcVND,01/01/2020 > Giá trị có thể thu hồiVND,01/01/2020 > Dự phòngVND,numeric__31/12/2020 > Giá gốcVND,numeric__31/12/2020 > Giá trị có thể thu hồiVND,numeric__31/12/2020 > Dự phòngVND,numeric__01/01/2020 > Giá gốcVND,numeric__01/01/2020 > Giá trị có thể thu hồiVND,numeric__01/01/2020 > Dự phòngVND
Các khoản phải thu khó có khả năng thu hồi,Các khoản phải thu khó có khả năng thu hồi,Các khoản phải thu khó có khả năng thu hồi,83.129.127.663,11.098.950.662,(72.030.177.001),86.439.813.575,15.413.308.534,(71.026.505.041),83129127663.0,11098950662.0,-72030177001.0,86439813575.0,15413308534.0,-71026505041.0
Công ty TNHH Dược phẩm Thiên Sơn,Công ty TNHH Dược phẩm Thiên Sơn,Công ty TNHH Dược phẩm Thiên Sơn,16.428.897.499,-,(16.428.897.499),16.428.897.499,-,(16.428.897.499),16428897499.0,,-16428897499.0,16428897499.0,,-16428897499.0
Công ty TNHH Dược phẩm Hải Tâm,Công ty TNHH Dược phẩm Hải Tâm,Công ty TNHH Dược phẩm Hải Tâm,4.976.554.629,-,(4.976.554.629),4.976.554.629,-,(4.976.554.629),4976554629.0,,-4976554629.0,4976554629.0,,-4976554629.0
DNTN Trung Đông,DNTN Trung Đông,DNTN Trung Đông,3.520.000.000,-,(3.520.000.000),3.520.000.000,-,(3.520.000.000),3520000000.0,,-3520000000.0,3520000000.0,,-3520000000.0
Công ty Maxwell (ASIA) PTE LTD,Công ty Maxwell (ASIA) PTE LTD,Công ty Maxwell (ASIA) PTE LTD,3.508.884.959,-,(3.508.884.959),3.508.884.959,-,(3.508.884.959),3508884959.0,,-3508884959.0,3508884959.0,,-3508884959.0
Công ty CP SX-DV-TM Hoàng Gia Việt,Công ty CP SX-DV-TM Hoàng Gia Việt,Công ty CP SX-DV-TM Hoàng Gia Việt,3.836.111.310,-,(3.836.111.310),3.836.111.310,-,(3.836.111.310),3836111310.0,,-3836111310.0,3836111310.0,,-3836111310.0
Các đối tượng khác,Các đối tượng khác,Các đối tượng khác,50.858.679.266,11.098.950.662,(39.759.728.604),54.169.365.178,15.413.308.534,(38.756.056.644),50858679266.0,11098950662.0,-39759728604.0,54169365178.0,15413308534.0,-38756056644.0
Đầu tư nắm giữ đến ngày đáo hạn,Đầu tư nắm giữ đến ngày đáo hạn,Đầu tư nắm giữ đến ngày đáo hạn,215.143.728,-,(215.143.728),215.143.728,-,(215.143.728),215143728.0,,-215143728.0,215143728.0,,-215143728.0
Ông Nguyễn Trường Ban,Ông Nguyễn Trường Ban,Ông Nguyễn Trường Ban,215.143.728,-,(215.143.728),215.143.728,-,(215.143.728),215143728.0,,-215143728.0,215143728.0,,-215143728.0
Khoản trả trước cho người bán khó có khả năng thu hồi,Khoản trả trước cho người bán khó có khả năng thu hồi,Khoản trả trước cho người bán khó có khả năng thu hồi,5.868.104.557,-,(5.868.104.557),5.868.104.557,-,(5.868.104.557),5868104557.0,,-5868104557.0,5868104557.0,,-5868104557.0
Công ty TNHH MTV Nông sản Tân Thái Phong,Công ty TNHH MTV Nông sản Tân Thái Phong,Công ty TNHH MTV Nông sản Tân Thái Phong,2.640.025.020,-,(2.640.025.020),2.640.025.020,-,(2.640.025.020),2640025020.0,,-2640025020.0,2640025020.0,,-2640025020.0
Công ty TNHH Hoàng Loan,Công ty TNHH Hoàng Loan,Công ty TNHH Hoàng Loan,1.777.799.210,-,(1.777.799.210),1.777.799.210,-,(1.777.799.210),1777799210.0,,-1777799210.0,1777799210.0,,-1777799210.0
Các khoản khác,Các khoản khác,Các khoản khác,1.450.280.327,-,(1.450.280.327),1.450.280.327,-,(1.450.280.327),1450280327.0,,-1450280327.0,1450280327.0,,-1450280327.0
Các khoản phải thu khác khó có khả năng thu,Các khoản phải thu khác khó có khả năng thu,Các khoản phải thu khác khó có khả năng thu,9.456.071.050,-,(9.456.071.050),8.713.146.695,11.931.302,(8.701.215.393),9456071050.0,,-9456071050.0,8713146695.0,11931302.0,-8701215393.0
Ông Đỗ Văn Tâm,Ông Đỗ Văn Tâm,Ông Đỗ Văn Tâm,3.500.000.000,-,(3.500.000.000),3.500.000.000,-,(3.500.000.000),3500000000.0,,-3500000000.0,3500000000.0,,-3500000000.0
Các khoản phải thu khác,Các khoản phải thu khác,Các khoản phải thu khác,5.956.071.050,-,(5.956.071.050),5.213.146.695,11.931.302,(5.201.215.393),5956071050.0,,-5956071050.0,5213146695.0,11931302.0,-5201215393.0
,,,98.668.446.998,11.098.950.662,(87.569.496.336),101.236.208.555,15.425.239.836,(85.810.968.719),98668446998.0,11098950662.0,-87569496336.0,101236208555.0,15425239836.0,-85810968719.0
