row_label_raw,row_label_full,STT,Bên liên quan,Mối quan hệ,numeric__Bên liên quan,numeric__Mối quan hệ
1,1,1,Công ty CP Đầu tư Dũng Tâm,Công ty mẹ,,
2,2,2,Công ty CP FIT Cosmetics,Công ty liên kết,,
3,3,3,Công ty CP nước khoáng Khánh Hòa,Công ty liên kết,,
4,4,4,Công ty CP Mũi Dinh Ecopark,Công ty liên kết,,
5,5,5,Công ty CP Đầu tư KD,Công ty có liên quan với thành viên HĐQT,,
6,6,6,Công ty CP Phát triển Bất động sản DPV,Công ty có liên quan với thành viên HĐQT,,
7,7,7,Công ty CP Lương thực thực phẩm Safoco,Công ty có liên quan với thành viên HĐQT,,
8,8,8,Công ty CP Khu du lịch Champarama,Công ty có liên quan với thành viên HĐQT,,
9,9,9,Công ty CP Today Cosmetics,Công ty có liên quan với thành viên HĐQT,,
10,10,10,Công ty CP Đầu tư Bắc Thủ đô,Công ty có liên quan với thành viên HĐQT,,
11,11,11,Công ty CP FCE Việt Nam,Công ty có liên quan với thành viên HĐQT,,
12,12,12,Công ty CP Xuất nhập khẩu TH Nam Sài Gòn,Công ty có liên quan với thành viên HĐQT,,
13,13,13,Công ty CP Đầu tư Phát triển Công nghệ Cao Việt Mỹ,Công ty có liên quan với thành viên HĐQT,,
14,14,14,Công ty CP Đầu tư xây dựng nhà KD Sài Gòn,Công ty có liên quan với thành viên HĐQT,,
15,15,15,Công ty CP Cảnh Viên,Công ty có liên quan với thành viên HĐQT,,
16,16,16,Thành viên Hội đồng Quản trị và Ban Tổng Giám đốc,Có ảnh hưởng đáng kể,,
