row_label_raw,row_label_full,NGUỒN VỐN,Mã số,Thuyết minh,31/12/2020VND,01/01/2020VND,numeric__Mã số,numeric__Thuyết minh,numeric__31/12/2020VND,numeric__01/01/2020VND
NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,300,,1.237.397.013.551,1.238.040.328.776,300.0,,1237397013551.0,1238040328776.0
Nợ ngắn hạn,Nợ ngắn hạn,Nợ ngắn hạn,310,,735.410.488.216,716.670.037.505,310.0,,735410488216.0,716670037505.0
Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,311,18,85.454.107.641,99.441.978.214,311.0,18.0,85454107641.0,99441978214.0
Người mua trả tiền trước ngắn hạn,Người mua trả tiền trước ngắn hạn,Người mua trả tiền trước ngắn hạn,312,,3.401.727.283,4.900.889.489,312.0,,3401727283.0,4900889489.0
Thuế và các khoản phải nộp Nhà nước,Thuế và các khoản phải nộp Nhà nước,Thuế và các khoản phải nộp Nhà nước,313,19,23.262.859.065,19.387.822.829,313.0,19.0,23262859065.0,19387822829.0
Phải trả người lao động,Phải trả người lao động,Phải trả người lao động,314,,29.085.926.724,27.718.229.033,314.0,,29085926724.0,27718229033.0
Chi phí phải trả ngắn hạn,Chi phí phải trả ngắn hạn,Chi phí phải trả ngắn hạn,315,20,22.988.313.372,18.069.341.877,315.0,20.0,22988313372.0,18069341877.0
Doanh thu chưa thực hiện ngắn hạn,Doanh thu chưa thực hiện ngắn hạn,Doanh thu chưa thực hiện ngắn hạn,318,,857.205.203,182.373.658,318.0,,857205203.0,182373658.0
Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,319,21,143.498.876.160,116.624.745.094,319.0,21.0,143498876160.0,116624745094.0
Vay và nợ thuê tài chính ngắn hạn,Vay và nợ thuê tài chính ngắn hạn,Vay và nợ thuê tài chính ngắn hạn,320,22,415.363.009.272,420.398.059.317,320.0,22.0,415363009272.0,420398059317.0
"Quỹ khen thưởng, phúc lợi","Quỹ khen thưởng, phúc lợi","Quỹ khen thưởng, phúc lợi",322,,11.498.463.496,9.946.597.994,322.0,,11498463496.0,9946597994.0
Nợ dài hạn,Nợ dài hạn,Nợ dài hạn,330,,501.986.525.335,521.370.291.271,330.0,,501986525335.0,521370291271.0
Phải trả dài hạn khác,Phải trả dài hạn khác,Phải trả dài hạn khác,337,21,4.213.897.423,1.568.212.082,337.0,21.0,4213897423.0,1568212082.0
Vay và nợ thuê tài chính dài hạn,Vay và nợ thuê tài chính dài hạn,Vay và nợ thuê tài chính dài hạn,338,22,39.844.439.997,71.343.610.529,338.0,22.0,39844439997.0,71343610529.0
Trái phiếu chuyển đổi,Trái phiếu chuyển đổi,Trái phiếu chuyển đổi,339,23,448.317.505.814,441.216.940.471,339.0,23.0,448317505814.0,441216940471.0
Thuế thu nhập doanh nghiệp hoãn lại phải trả,Thuế thu nhập doanh nghiệp hoãn lại phải trả,Thuế thu nhập doanh nghiệp hoãn lại phải trả,341,,9.610.682.101,7.241.528.189,341.0,,9610682101.0,7241528189.0
VỐN CHỦ SỞ HỮU,VỐN CHỦ SỞ HỮU,VỐN CHỦ SỞ HỮU,400,24,4.046.580.446.311,4.046.670.319.790,400.0,24.0,4046580446311.0,4046670319790.0
Vốn chủ sở hữu,Vốn chủ sở hữu,Vốn chủ sở hữu,410,,4.046.580.446.311,4.046.670.319.790,410.0,,4046580446311.0,4046670319790.0
Vốn góp của chủ sở hữu,Vốn góp của chủ sở hữu,Vốn góp của chủ sở hữu,411,,2.547.302.470.000,2.547.302.470.000,411.0,,2547302470000.0,2547302470000.0
- Cổ phiếu phổ thông có quyền biểu quyết,- Cổ phiếu phổ thông có quyền biểu quyết,- Cổ phiếu phổ thông có quyền biểu quyết,411a,,2.547.302.470.000,2.547.302.470.000,,,2547302470000.0,2547302470000.0
Thặng dư vốn cổ phần,Thặng dư vốn cổ phần,Thặng dư vốn cổ phần,412,,70.045.649.714,70.045.649.714,412.0,,70045649714.0,70045649714.0
Quyền chọn chuyển đổi trái phiếu,Quyền chọn chuyển đổi trái phiếu,Quyền chọn chuyển đổi trái phiếu,413,,22.368.782.096,22.368.782.096,413.0,,22368782096.0,22368782096.0
