row_label_raw,row_label_full,Khoản mục > 01/01/2019 > - Lãi trong năm,Vôn đầu tư của chủ sở hữu VND > 2.547.302.470.000 > -,Thặng dư vốn cổ phần VND > 70.045.649.714 > -,Quyền chọn chuyển đổi trái phiếu VND > 22.368.782.096 > -,Von khác của chủ sở hữu VND > 80.481.887.391 > -,Quy dau tư phát triển VND > 886.852.413 > -,Lợi nhuận sau thuế chưa phân phối VND > 211.114.452.530 > 70.228.235.920,Lợi ích cổ đông không kiểm soát VND > 1.036.426.683.774 > 21.848.121.815,Long-term VND > 3.968.626.777.918 > 92.076.357.735,numeric__Vôn đầu tư của chủ sở hữu VND > 2.547.302.470.000 > -,numeric__Thặng dư vốn cổ phần VND > 70.045.649.714 > -,numeric__Quyền chọn chuyển đổi trái phiếu VND > 22.368.782.096 > -,numeric__Von khác của chủ sở hữu VND > 80.481.887.391 > -,numeric__Quy dau tư phát triển VND > 886.852.413 > -,numeric__Lợi nhuận sau thuế chưa phân phối VND > 211.114.452.530 > 70.228.235.920,numeric__Lợi ích cổ đông không kiểm soát VND > 1.036.426.683.774 > 21.848.121.815,numeric__Long-term VND > 3.968.626.777.918 > 92.076.357.735
- Trích lập các quỹ,- Trích lập các quỹ,- Trích lập các quỹ,-,-,-,-,-,(82.070.315),(117.929.685),(200.000.000),,,,,,-82070315.0,-117929685.0,-200000000.0
- Giảm lợi ích Cổ đông không kiểm soát của DCL do thoái vốn tại Công ty con,- Giảm lợi ích Cổ đông không kiểm soát của DCL do thoái vốn tại Công ty con,- Giảm lợi ích Cổ đông không kiểm soát của DCL do thoái vốn tại Công ty con,-,-,-,-,-,-,(7.507.791.746),(7.507.791.746),,,,,,,-7507791746.0,-7507791746.0
- Giảm lợi ích cổ đông không kiểm soát của TSC,- Giảm lợi ích cổ đông không kiểm soát của TSC,- Giảm lợi ích cổ đông không kiểm soát của TSC,-,-,-,-,-,(869.268.164),(1.006.358.543),(1.875.626.707),,,,,,-869268164.0,-1006358543.0,-1875626707.0
- Tăng/Giảm khác,- Tăng/Giảm khác,- Tăng/Giảm khác,-,-,-,-,-,(4.446.833.198),(2.564.212),(4.449.397.410),,,,,,-4446833198.0,-2564212.0,-4449397410.0
31/12/2019,31/12/2019,31/12/2019,2.547.302.470.000,70.045.649.714,22.368.782.096,80.481.887.391,886.852.413,275.944.516.773,1.049.640.161.403,4.046.670.319.790,2547302470000.0,70045649714.0,22368782096.0,80481887391.0,886852413.0,275944516773.0,1049640161403.0,4046670319790.0
01/01/2020,01/01/2020,01/01/2020,2.547.302.470.000,70.045.649.714,22.368.782.096,80.481.887.391,886.852.413,275.944.516.773,1.049.640.161.403,4.046.670.319.790,2547302470000.0,70045649714.0,22368782096.0,80481887391.0,886852413.0,275944516773.0,1049640161403.0,4046670319790.0
- Tăng vốn trong năm,- Tăng vốn trong năm,- Tăng vốn trong năm,-,-,-,-,-,-,19.020.000.000,19.020.000.000,,,,,,,19020000000.0,19020000000.0
- Lãi trong kỳ,- Lãi trong kỳ,- Lãi trong kỳ,-,-,-,-,-,56.452.563.446,26.898.866.395,83.351.429.841,,,,,,56452563446.0,26898866395.0,83351429841.0
- Trích quỹ khen thưởng phúc lợi,- Trích quỹ khen thưởng phúc lợi,- Trích quỹ khen thưởng phúc lợi,-,-,-,-,-,(1.777.679.026),(793.569.878),(2.571.248.904),,,,,,-1777679026.0,-793569878.0,-2571248904.0
- CĐKKS chuyển nhượng vốn cho công ty mẹ,- CĐKKS chuyển nhượng vốn cho công ty mẹ,- CĐKKS chuyển nhượng vốn cho công ty mẹ,-,-,-,-,-,(8.099.182.342),(89.400.817.658),(97.500.000.000),,,,,,-8099182342.0,-89400817658.0,-97500000000.0
- Tăng/Giảm khác (*),- Tăng/Giảm khác (*),- Tăng/Giảm khác (*),-,-,-,-,-,(2.783.500.649),393.446.233,(2.390.054.416),,,,,,-2783500649.0,393446233.0,-2390054416.0
31/12/2020,31/12/2020,31/12/2020,2.547.302.470.000,70.045.649.714,22.368.782.096,80.481.887.391,886.852.413,319.736.718.203,1.005.758.086.494,4.046.580.446.311,2547302470000.0,70045649714.0,22368782096.0,80481887391.0,886852413.0,319736718203.0,1005758086494.0,4046580446311.0
