row_label_raw,row_label_full,Năm 2020,Miền Bắc VND,Miền Nam VND,Loại trừ VND,Tổng cộng VND,numeric__Miền Bắc VND,numeric__Miền Nam VND,numeric__Loại trừ VND,numeric__Tổng cộng VND
Doanh thu,Doanh thu,Doanh thu,,,,,,,,
Doanh thu thuần từ bán hàng ra bên ngoài,Doanh thu > Doanh thu thuần từ bán hàng ra bên ngoài,Doanh thu thuần từ bán hàng ra bên ngoài,57.034.672.950,1.131.392.310.469,-,1.188.426.983.419,57034672950.0,1131392310469.0,,1188426983419.0
Doanh thu thuần từ bán hàng cho các bộ phận khác,Doanh thu > Doanh thu thuần từ bán hàng cho các bộ phận khác,Doanh thu thuần từ bán hàng cho các bộ phận khác,8.584.192.513,-,(8.584.192.513),-,8584192513.0,,-8584192513.0,
Tổng doanh thu,Doanh thu > Tổng doanh thu,Tổng doanh thu,65.618.865.463,1.131.392.310.469,(8.584.192.513),1.188.426.983.419,65618865463.0,1131392310469.0,-8584192513.0,1188426983419.0
Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,,,,,,,,
Giá vốn,Kết quả hoạt động kinh doanh > Giá vốn,Giá vốn,56.428.514.336,870.731.003.829,(4.988.810.269),922.170.707.896,56428514336.0,870731003829.0,-4988810269.0,922170707896.0
Lãi gộp,Kết quả hoạt động kinh doanh > Lãi gộp,Lãi gộp,9.190.351.127,260.661.306.640,(3.595.382.244),266.256.275.523,9190351127.0,260661306640.0,-3595382244.0,266256275523.0
Lãi (lỗ) từ công ty liên doanh liên kết,Kết quả hoạt động kinh doanh > Lãi (lỗ) từ công ty liên doanh liên kết,Lãi (lỗ) từ công ty liên doanh liên kết,1.015.407.509,(6.154.611.595),-,(5.139.204.086),1015407509.0,-6154611595.0,,-5139204086.0
Chi phí bán hàng và chi phí quản lý,Kết quả hoạt động kinh doanh > Chi phí bán hàng và chi phí quản lý,Chi phí bán hàng và chi phí quản lý,28.438.152.857,191.218.341.631,15.368.547.007,235.025.041.495,28438152857.0,191218341631.0,15368547007.0,235025041495.0
Lãi (lỗ) khác,Kết quả hoạt động kinh doanh > Lãi (lỗ) khác,Lãi (lỗ) khác,5.450.378.145,1.021.489.071,(32.279.622),6.439.587.594,5450378145.0,1021489071.0,-32279622.0,6439587594.0
Doanh thu tài chính,Kết quả hoạt động kinh doanh > Doanh thu tài chính,Doanh thu tài chính,77.692.254.698,80.059.379.880,(23.526.397.484),134.225.237.094,77692254698.0,80059379880.0,-23526397484.0,134225237094.0
Chi phí tài chính,Kết quả hoạt động kinh doanh > Chi phí tài chính,Chi phí tài chính,53.735.709.039,37.220.245.486,(32.173.457.858),58.782.496.667,53735709039.0,37220245486.0,-32173457858.0,58782496667.0
Lợi nhuận trước thuế,Kết quả hoạt động kinh doanh > Lợi nhuận trước thuế,Lợi nhuận trước thuế,11.174.529.583,107.148.976.879,(10.349.148.499),107.974.357.963,11174529583.0,107148976879.0,-10349148499.0,107974357963.0
Chi phí thuế thu nhập doanh nghiệp hiện hành,Kết quả hoạt động kinh doanh > Chi phí thuế thu nhập doanh nghiệp hiện hành,Chi phí thuế thu nhập doanh nghiệp hiện hành,1.460.234.862,22.163.862.687,-,23.624.097.549,1460234862.0,22163862687.0,,23624097549.0
Thu nhập thuế thu nhập doanh nghiệp hoãn lại,Kết quả hoạt động kinh doanh > Thu nhập thuế thu nhập doanh nghiệp hoãn lại,Thu nhập thuế thu nhập doanh nghiệp hoãn lại,-,(730.581.501),1.729.412.074,998.830.573,,-730581501.0,1729412074.0,998830573.0
Lợi nhuận trong năm,Kết quả hoạt động kinh doanh > Lợi nhuận trong năm,Lợi nhuận trong năm,9.714.294.721,85.715.695.693,(12.078.560.573),83.351.429.841,9714294721.0,85715695693.0,-12078560573.0,83351429841.0
