row_label_raw,row_label_full,col_0,Giá trị còn lại của tài sản bộ phận > 31/12/2020,Giá trị còn lại của tài sản bộ phận > 01/01/2020,"Tăng tài sản cố định hữu hình và vô hình, bắt động sản đầu tư > Năm 2020","Tăng tài sản cố định hữu hình và vô hình, bắt động sản đầu tư > Năm 2019",numeric__Giá trị còn lại của tài sản bộ phận > 31/12/2020,numeric__Giá trị còn lại của tài sản bộ phận > 01/01/2020,"numeric__Tăng tài sản cố định hữu hình và vô hình, bắt động sản đầu tư > Năm 2020","numeric__Tăng tài sản cố định hữu hình và vô hình, bắt động sản đầu tư > Năm 2019"
,,,VND,VND,VND,VND,,,,
"Lĩnh vực tư vấn, đầu tư","Lĩnh vực tư vấn, đầu tư","Lĩnh vực tư vấn, đầu tư",66.726.969.651,115.331.741.240,1.723.049.224,283.345.303,66726969651.0,115331741240.0,1723049224.0,283345303.0
"Lĩnh vực sản xuất, thương mại các sản phẩm nông nghiệp, vật tư kỹ thuật nông nghiệp","Lĩnh vực sản xuất, thương mại các sản phẩm nông nghiệp, vật tư kỹ thuật nông nghiệp","Lĩnh vực sản xuất, thương mại các sản phẩm nông nghiệp, vật tư kỹ thuật nông nghiệp",221.281.939.803,219.064.089.748,20.168.058.643,6.093.542.793,221281939803.0,219064089748.0,20168058643.0,6093542793.0
"Lĩnh vực sản xuất, kinh doanh thuốc và thiết bị y tế","Lĩnh vực sản xuất, kinh doanh thuốc và thiết bị y tế","Lĩnh vực sản xuất, kinh doanh thuốc và thiết bị y tế",293.378.541.836,316.298.308.049,5.262.208.756,7.392.093.660,293378541836.0,316298308049.0,5262208756.0,7392093660.0
Cộng,Cộng,Cộng,581.387.451.290,650.694.139.037,27.153.316.623,13.768.981.756,581387451290.0,650694139037.0,27153316623.0,13768981756.0
