row_label_raw,row_label_full,NGUYÊN GIÁ,Nhà cửa &vật kiến trúcVND,Máy mócthiết bịVND,Phương tiệnvận tảiVND,Thiết bịvăn phòngVND,Tổng cộngVND,numeric__Nhà cửa &vật kiến trúcVND,numeric__Máy mócthiết bịVND,numeric__Phương tiệnvận tảiVND,numeric__Thiết bịvăn phòngVND,numeric__Tổng cộngVND
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,Nhà cửa &vật kiến trúcVND,Máy mócthiết bịVND,Phương tiệnvận tảiVND,Thiết bịvăn phòngVND,Tổng cộngVND,,,,,
Tại 01/01/2015,NGUYÊN GIÁ > Tại 01/01/2015,Tại 01/01/2015,230.181.818,3.904.992.230,13.142.840.288,1.859.198.419,19.137.212.755,230181818.0,3904992230.0,13142840288.0,1859198419.0,19137212755.0
Tăng,NGUYÊN GIÁ > Tăng,Tăng,3.006.563.333,1.734.199.999,7.995.776.364,1.593.073.110,14.329.612.806,3006563333.0,1734199999.0,7995776364.0,1593073110.0,14329612806.0
+ Mua trong năm,NGUYÊN GIÁ > + Mua trong năm,+ Mua trong năm,-,1.656.199.999,7.995.776.364,1.593.073.110,11.245.049.473,,1656199999.0,7995776364.0,1593073110.0,11245049473.0
+ Tăng khác,NGUYÊN GIÁ > + Tăng khác,+ Tăng khác,3.006.563.333,78.000.000,-,,3.084.563.333,3006563333.0,78000000.0,,,3084563333.0
Thanh lý,NGUYÊN GIÁ > Thanh lý,Thanh lý,-,-,(625.042.720),-,(625.042.720),,,-625042720.0,,-625042720.0
Giảm khác,NGUYÊN GIÁ > Giảm khác,Giảm khác,-,-,-,(3.177.500),(3.177.500),,,,-3177500.0,-3177500.0
Tại 31/12/2015,NGUYÊN GIÁ > Tại 31/12/2015,Tại 31/12/2015,3.236.745.151,5.639.192.229,20.513.573.932,3.449.094.029,32.838.605.341,3236745151.0,5639192229.0,20513573932.0,3449094029.0,32838605341.0
GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,,,,,
Tại 01/01/2015,GIÁ TRỊ HAO MÒN LỦY KẾ > Tại 01/01/2015,Tại 01/01/2015,(49.368.111),(685.447.286),(8.262.311.717),(844.167.508),(9.841.294.622),-49368111.0,-685447286.0,-8262311717.0,-844167508.0,-9841294622.0
Khấu hao:,GIÁ TRỊ HAO MÒN LỦY KẾ > Khấu hao:,Khấu hao:,(2.088.977.289),(620.324.626),(2.375.447.212),(181.439.185),(5.266.188.312),-2088977289.0,-620324626.0,-2375447212.0,-181439185.0,-5266188312.0
+ Trích trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > + Trích trong năm,+ Trích trong năm,(40.030.309),(542.324.626),(2.375.447.212),(181.439.185),(3.139.241.332),-40030309.0,-542324626.0,-2375447212.0,-181439185.0,-3139241332.0
+ Tăng khác,GIÁ TRỊ HAO MÒN LỦY KẾ > + Tăng khác,+ Tăng khác,(2.048.946.980),(78.000.000),-,-,(2.126.946.980),-2048946980.0,-78000000.0,,,-2126946980.0
Thanh lý,GIÁ TRỊ HAO MÒN LỦY KẾ > Thanh lý,Thanh lý,-,-,235.320.053,-,235.320.053,,,235320053.0,,235320053.0
Giảm khác,GIÁ TRỊ HAO MÒN LỦY KẾ > Giảm khác,Giảm khác,-,-,-,3.177.500,3.177.500,,,,3177500.0,3177500.0
Tại 31/12/2015,GIÁ TRỊ HAO MÒN LỦY KẾ > Tại 31/12/2015,Tại 31/12/2015,(2.138.345.400),(1.305.771.912),(10.402.438.876),(1.022.429.193),(14.868.985.381),-2138345400.0,-1305771912.0,-10402438876.0,-1022429193.0,-14868985381.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,,,
Tại 01/01/2015,GIÁ TRỊ CÒN LẠI > Tại 01/01/2015,Tại 01/01/2015,180.813.707,3.219.544.944,4.880.528.571,1.015.030.911,9.295.918.133,180813707.0,3219544944.0,4880528571.0,1015030911.0,9295918133.0
Tại 31/12/2015,GIÁ TRỊ CÒN LẠI > Tại 31/12/2015,Tại 31/12/2015,1.098.399.751,4.333.420.317,10.111.135.056,2.426.664.836,17.969.619.960,1098399751.0,4333420317.0,10111135056.0,2426664836.0,17969619960.0
