row_label_raw,row_label_full,"(*) Chi tiết ký cược, ký quỹ ngắn hạn",31/12/2015,01/01/2015,numeric__31/12/2015,numeric__01/01/2015
"(*) Chi tiết ký cược, ký quỹ ngắn hạn","(*) Chi tiết ký cược, ký quỹ ngắn hạn","(*) Chi tiết ký cược, ký quỹ ngắn hạn",VND,VND,,
Công ty Cổ phần Quốc Cường Gia Lai,"(*) Chi tiết ký cược, ký quỹ ngắn hạn > Công ty Cổ phần Quốc Cường Gia Lai",Công ty Cổ phần Quốc Cường Gia Lai,41.840.844.644,-,41840844644.0,
Công ty CP Địa Ốc Sài Gòn Nam Đô,"(*) Chi tiết ký cược, ký quỹ ngắn hạn > Công ty CP Địa Ốc Sài Gòn Nam Đô",Công ty CP Địa Ốc Sài Gòn Nam Đô,22.065.957.754,-,22065957754.0,
Công ty CP tập đoàn ĐT và TM Thăng Long,"(*) Chi tiết ký cược, ký quỹ ngắn hạn > Công ty CP tập đoàn ĐT và TM Thăng Long",Công ty CP tập đoàn ĐT và TM Thăng Long,136.737.348.000,-,136737348000.0,
Công ty CP ĐT Và PT Đô Thị Long Giang,"(*) Chi tiết ký cược, ký quỹ ngắn hạn > Công ty CP ĐT Và PT Đô Thị Long Giang",Công ty CP ĐT Và PT Đô Thị Long Giang,32.400.000.000,-,32400000000.0,
Công Ty Cổ Phần Đầu Tư Sài Gòn - Đà Nẵng,"(*) Chi tiết ký cược, ký quỹ ngắn hạn > Công Ty Cổ Phần Đầu Tư Sài Gòn - Đà Nẵng",Công Ty Cổ Phần Đầu Tư Sài Gòn - Đà Nẵng,23.171.672.113,-,23171672113.0,
Công ty CP Đầu Tư Và BĐS Á Âu,"(*) Chi tiết ký cược, ký quỹ ngắn hạn > Công ty CP Đầu Tư Và BĐS Á Âu",Công ty CP Đầu Tư Và BĐS Á Âu,57.327.354.435,-,57327354435.0,
Công ty Cổ Phần VINTEP,"(*) Chi tiết ký cược, ký quỹ ngắn hạn > Công ty Cổ Phần VINTEP",Công ty Cổ Phần VINTEP,22.110.000.000,22.110.000.000,22110000000.0,22110000000.0
Công ty CP Xây dựng và Thương mại VT,"(*) Chi tiết ký cược, ký quỹ ngắn hạn > Công ty CP Xây dựng và Thương mại VT",Công ty CP Xây dựng và Thương mại VT,18.120.375.000,-,18120375000.0,
Công ty Cổ Phần Đầu Tư NNP,"(*) Chi tiết ký cược, ký quỹ ngắn hạn > Công ty Cổ Phần Đầu Tư NNP",Công ty Cổ Phần Đầu Tư NNP,-,19.500.000.000,,19500000000.0
Công ty TNHH TM & Đầu Tư Thiên Lộc,"(*) Chi tiết ký cược, ký quỹ ngắn hạn > Công ty TNHH TM & Đầu Tư Thiên Lộc",Công ty TNHH TM & Đầu Tư Thiên Lộc,-,18.411.967.640,,18411967640.0
Công ty TNHH FIVE STAR Kim Giang,"(*) Chi tiết ký cược, ký quỹ ngắn hạn > Công ty TNHH FIVE STAR Kim Giang",Công ty TNHH FIVE STAR Kim Giang,-,41.154.050.000,,41154050000.0
Công ty CP TM DV XD KDNhà Vạn Thái,"(*) Chi tiết ký cược, ký quỹ ngắn hạn > Công ty CP TM DV XD KDNhà Vạn Thái",Công ty CP TM DV XD KDNhà Vạn Thái,16.282.018.051,12.026.881.632,16282018051.0,12026881632.0
"Các khoản ký quỹ, ký cược khác","(*) Chi tiết ký cược, ký quỹ ngắn hạn > Các khoản ký quỹ, ký cược khác","Các khoản ký quỹ, ký cược khác",97.388.596.081,63.042.837.882,97388596081.0,63042837882.0
,,,467.444.166.078,176.245.737.154,467444166078.0,176245737154.0
(**) Các khoản phải thu ngắn hạn khác,(**) Các khoản phải thu ngắn hạn khác,(**) Các khoản phải thu ngắn hạn khác,31/12/2015,01/01/2015,,
(**) Các khoản phải thu ngắn hạn khác,(**) Các khoản phải thu ngắn hạn khác,(**) Các khoản phải thu ngắn hạn khác,VND,VND,,
Công ty CP Đầu Tư và Thương Mại Việt Tín,(**) Các khoản phải thu ngắn hạn khác > Công ty CP Đầu Tư và Thương Mại Việt Tín,Công ty CP Đầu Tư và Thương Mại Việt Tín,48.600.000.000,-,48600000000.0,
Công ty CP Đầu Tư BiVi,(**) Các khoản phải thu ngắn hạn khác > Công ty CP Đầu Tư BiVi,Công ty CP Đầu Tư BiVi,10.164.481.686,-,10164481686.0,
Phải thu của các đối tượng khác,(**) Các khoản phải thu ngắn hạn khác > Phải thu của các đối tượng khác,Phải thu của các đối tượng khác,78.848.894.866,51.593.257.917,78848894866.0,51593257917.0
,,,137.613.376.552,51.593.257.917,137613376552.0,51593257917.0
