row_label_raw,row_label_full,Sht,Tên công ty,Tỷ lệ sở hữu,Hoạt động chính,numeric__Tên công ty,numeric__Tỷ lệ sở hữu,numeric__Hoạt động chính
1.,1.,1.,Công ty TNHH Xây dựng TM DV Hà Thuận Hùng,"99,89%",Xây dựng,,0.9989,
2.,2.,2.,Công Ty CP Xây dựng Địa Ốc Long Kim Phát,100%,Xây dựng,,1.0,
3.,3.,3.,Công Ty CP Đầu Tư và Dịch Vụ Đất Xanh Miền Nam,51%,Kinh doanh và môi giới BĐS,,0.51,
4.,4.,4.,Công ty Cổ phần Đất Xanh Đông Nam Bộ,51%,Kinh doanh và môi giới BĐS,,0.51,
5.,5.,5.,Công Ty CP Dịch Vụ Và Địa Ốc Đất Xanh Miền Bắc,51%,Kinh doanh và môi giới BĐS,,0.51,
6.,6.,6.,Công Ty Cổ Phần Đất Xanh Miền Trung,55%,Kinh doanh và môi giới BĐS,,0.55,
7.,7.,7.,Công Ty CP Địa Ốc Đồng Bằng Sông Cửu Long,75%,Kinh doanh và môi giới BĐS,,0.75,
8.,8.,8.,Công ty Cổ Phần Xây dựng ECI,"89,26%",Xây dựng,,0.8926000000000001,
9.,9.,9.,Công ty TNHH Đầu Tư XD TM Xuân Định,"99,99%",Kinh doanh và môi giới BĐS,,0.9998999999999999,
10.,10.,10.,Công ty Cổ Phần Địa Ốc Tâm Thông,"98,749%",Kinh doanh và môi giới BĐS,,0.98749,
11.,11.,11.,Công ty Cổ phần In Nông Nghiệp,"99,98%",In ấn và kinh doanh BĐS,,0.9998,
12.,12.,12.,Công ty Cổ phần Bất Đông Sản Sài Đồng,51%,Kinh doanh và môi giới BĐS,,0.51,
13.,13.,13.,Công ty Cổ phần Địa Ốc Viethomes,51%,Kinh doanh và môi giới BĐS,,0.51,
