row_label_raw,row_label_full,col_0,Nhà & Quyền sử dụng đất,numeric__Nhà & Quyền sử dụng đất
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,VND,
Tại ngày 01/01/2015,NGUYÊN GIÁ > Tại ngày 01/01/2015,Tại ngày 01/01/2015,26.289.557.319,26289557319.0
Tăng,Tăng,Tăng,-,
Tại 31/12/2015,Tăng > Tại 31/12/2015,Tại 31/12/2015,26.289.557.319,26289557319.0
GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,
Tại ngày 01/01/2015,GIÁ TRỊ HAO MÒN LỦY KẾ > Tại ngày 01/01/2015,Tại ngày 01/01/2015,(3.505.274.256),-3505274256.0
Khấu hao trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Khấu hao trong năm,Khấu hao trong năm,(220.237.836),-220237836.0
Phân loại lại,Phân loại lại,Phân loại lại,-,
Tại 31/12/2015,Phân loại lại > Tại 31/12/2015,Tại 31/12/2015,(3.725.512.092),-3725512092.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,
Tại ngày 01/01/2015,GIÁ TRỊ CÒN LẠI > Tại ngày 01/01/2015,Tại ngày 01/01/2015,22.784.283.063,22784283063.0
Tại 31/12/2015,GIÁ TRỊ CÒN LẠI > Tại 31/12/2015,Tại 31/12/2015,22.564.045.227,22564045227.0
