row_label_raw,row_label_full,col_0,2015,numeric__2015
,,,VND,
Chuyển nợ thành vốn chủ sở hữu,Chuyển nợ thành vốn chủ sở hữu,Chuyển nợ thành vốn chủ sở hữu,257.000.000.000,257000000000.0
Chia cổ tức bằng cổ phiếu,Chia cổ tức bằng cổ phiếu,Chia cổ tức bằng cổ phiếu,158.635.700.000,158635700000.0
Cổ đông không kiểm soát góp vốn bằng công nợ,Cổ đông không kiểm soát góp vốn bằng công nợ,Cổ đông không kiểm soát góp vốn bằng công nợ,14.700.000.000,14700000000.0
ESOP,ESOP,ESOP,7.000.000.000,7000000000.0
,,,437.335.700.000,437335700000.0
