row_label_raw,row_label_full,Giá vốn hàng bán và dịch vụ:,2015,2014,numeric__2015,numeric__2014
Giá vốn hàng bán và dịch vụ:,Giá vốn hàng bán và dịch vụ:,Giá vốn hàng bán và dịch vụ:,VND,VND,,
- Dịch vụ và môi giới bắt động sản,Giá vốn hàng bán và dịch vụ: > - Dịch vụ và môi giới bắt động sản,- Dịch vụ và môi giới bắt động sản,209.233.354.011,73.885.016.265,209233354011.0,73885016265.0
- Hoạt động xây dựng,Giá vốn hàng bán và dịch vụ: > - Hoạt động xây dựng,- Hoạt động xây dựng,145.519.974.444,39.706.286.825,145519974444.0,39706286825.0
- Kinh doanh bắt động sản,Giá vốn hàng bán và dịch vụ: > - Kinh doanh bắt động sản,- Kinh doanh bắt động sản,380.506.626.820,90.774.145.776,380506626820.0,90774145776.0
,,,735.259.955.275,204.365.448.866,735259955275.0,204365448866.0
