row_label_raw,row_label_full,col_0,Vốn điều lệ VND,Thặng dư vốn cổ phần VND,Cổ phiếu quỹ VND,Quỹ Đầu tư & Phát triển VND,Lợi nhuận chưa phân phối VND,Lợi ích của cổ đông thiểu số VND,Tổng cộng VND,numeric__Vốn điều lệ VND,numeric__Thặng dư vốn cổ phần VND,numeric__Cổ phiếu quỹ VND,numeric__Quỹ Đầu tư & Phát triển VND,numeric__Lợi nhuận chưa phân phối VND,numeric__Lợi ích của cổ đông thiểu số VND,numeric__Tổng cộng VND
Tại ngày 01/01/2014,Tại ngày 01/01/2014,Tại ngày 01/01/2014,527.996.810.000,10.982.380.806,-,10.116.638.110,84.037.165.732,30.481.793.032,663.614.787.680,527996810000.0,10982380806.0,,10116638110.0,84037165732.0,30481793032.0,663614787680.0
Tăng vốn trong năm,Tăng vốn trong năm,Tăng vốn trong năm,222.003.190.000,-,(580.000.000),-,-,25.916.400.000,247.339.590.000,222003190000.0,,-580000000.0,,,25916400000.0,247339590000.0
Lợi nhuận,Lợi nhuận,Lợi nhuận,-,-,-,-,167.834.489.625,45.213.530.880,213.048.020.505,,,,,167834489625.0,45213530880.0,213048020505.0
Trích quỹ,Trích quỹ,Trích quỹ,-,-,-,3.272.555.923,(3.272.555.923),-,-,,,,3272555923.0,-3272555923.0,,
Trích quỹ khen thưởng,Trích quỹ khen thưởng,Trích quỹ khen thưởng,-,-,-,-,(18.739.876.643),-,(18.739.876.643),,,,,-18739876643.0,,-18739876643.0
Cổ tức,Cổ tức,Cổ tức,-,-,-,-,-,(35.017.700.000),(35.017.700.000),,,,,,-35017700000.0,-35017700000.0
Điều chỉnh khác,Điều chỉnh khác,Điều chỉnh khác,-,(114.400.000),-,-,(776.283.528),2.873.351.795,1.982.668.267,,-114400000.0,,,-776283528.0,2873351795.0,1982668267.0
Tại ngày 31/12/2014,Tại ngày 31/12/2014,Tại ngày 31/12/2014,750.000.000.000,10.867.980.806,(580.000.000),13.389.194.033,229.082.939.263,69.467.375.707,1.072.227.489.809,750000000000.0,10867980806.0,-580000000.0,13389194033.0,229082939263.0,69467375707.0,1072227489809.0
Tăng vốn trong năm,Tăng vốn trong năm,Tăng vốn trong năm,422.635.700.000,-,-,-,(165.635.700.000),64.140.000.000,321.140.000.000,422635700000.0,,,,-165635700000.0,64140000000.0,321140000000.0
Lợi nhuận,Lợi nhuận,Lợi nhuận,-,-,-,-,336.628.536.350,108.988.279.788,445.616.816.138,,,,,336628536350.0,108988279788.0,445616816138.0
Trích quỹ,Trích quỹ,Trích quỹ,-,-,-,5.495.482.022,(27.794.363.973),(10.226.273.662),(32.525.155.613),,,,5495482022.0,-27794363973.0,-10226273662.0,-32525155613.0
Cổ tức,Cổ tức,Cổ tức,-,-,-,-,-,(47.418.820.000),(47.418.820.000),,,,,,-47418820000.0,-47418820000.0
Điều chỉnh khác,Điều chỉnh khác,Điều chỉnh khác,-,-,-,-,9.732.947.758,2.585.884.544,12.318.832.302,,,,,9732947758.0,2585884544.0,12318832302.0
Tại ngày 31/12/2015,Tại ngày 31/12/2015,Tại ngày 31/12/2015,1.172.635.700.000,10.867.980.806,(580.000.000),18.884.676.055,382.014.359.398,187.536.446.377,1.771.359.162.636,1172635700000.0,10867980806.0,-580000000.0,18884676055.0,382014359398.0,187536446377.0,1771359162636.0
