row_label_raw,row_label_full,stt,Tên công ty,Địa chỉ,Tỷ lệ lợi ích của công ty mẹ,Quyền biểu quyết của công ty mẹ,numeric__Tên công ty,numeric__Địa chỉ,numeric__Tỷ lệ lợi ích của công ty mẹ,numeric__Quyền biểu quyết của công ty mẹ
1.,1.,1.,Công ty Cổ phần Địa Đc Long Điền (*),"104/4, Áp Hòa Bình, Xã Giang Điền, Huyện Tràng Bom, Tỉnh Đồng Nai","41,50%","41,50%",,,0.415,0.415
2.,2.,2.,Công ty Cổ phần TM và DV Bất động sản Queen Land (**),"Tầng 2, Tower 1, Khu đô thị Times City, 458 Minh Khai, P. Vĩnh Tuy, Quận Hai Bà Trung, Thành phố Hà Nội","18,40%",36%,,,0.184,0.36
