row_label_raw,row_label_full,Mã số,NGUỒN VỐN,Thuyết minh,Tại ngày 31 tháng 12 năm > 2024 VND,Tại ngày 31 tháng 12 năm > 2023 VND,numeric__NGUỒN VỐN,numeric__Thuyết minh,numeric__Tại ngày 31 tháng 12 năm > 2024 VND,numeric__Tại ngày 31 tháng 12 năm > 2023 VND
300,300,300,NỘ PHẢI TRÀ,,5.461.270.484.920,4.245.582.820.180,,,5461270484920.0,4245582820180.0
310,310,310,Nợ ngắn hạn,,5.450.658.855.170,4.236.092.862.180,,,5450658855170.0,4236092862180.0
311,311,311,Phải trả người bán ngắn hạn,12,536.970.403.390,224.617.668.500,,12.0,536970403390.0,224617668500.0
312,312,312,Người mua trả tiền trước ngắn hạn,13,166.971.764.126,210.235.936.022,,13.0,166971764126.0,210235936022.0
313,313,313,Thuế và các khoản phải nộp Nhà nước,14,362.640.407.802,276.940.476.481,,14.0,362640407802.0,276940476481.0
314,314,314,Phải trả người lao động,15,525.892.538.267,616.259.311.147,,15.0,525892538267.0,616259311147.0
315,315,315,Chi phí phải trả ngắn hạn,16,341.225.615.207,293.871.480.465,,16.0,341225615207.0,293871480465.0
319,319,319,Phải trả ngắn hạn khác,17,61.247.723.294,200.184.697.120,,17.0,61247723294.0,200184697120.0
320,320,320,Vay ngắn hạn,18,3.179.766.980.410,2.213.432.860.516,,18.0,3179766980410.0,2213432860516.0
321,321,321,Dự phòng phải trả ngắn hạn,20(a),26.547.708.303,29.061.192.534,,,26547708303.0,29061192534.0
322,322,322,"Quỹ khen thưởng, phúc lợi",19,249.395.714.371,171.489.239.395,,19.0,249395714371.0,171489239395.0
330,330,330,Nợ dài hạn,,10.611.629.750,9.489.958.000,,,10611629750.0,9489958000.0
337,337,337,Phải trả dài hạn khác,,478.668.000,518.668.000,,,478668000.0,518668000.0
342,342,342,Dự phòng phải trả dài hạn,20(b),10.132.961.750,8.971.290.000,,,10132961750.0,8971290000.0
400,400,400,VỐN CHỦ SỞ HỮU,,10.759.191.200.872,9.559.463.849.629,,,10759191200872.0,9559463849629.0
410,410,410,Vốn chủ sở hữu,,10.759.191.200.872,9.559.463.849.629,,,10759191200872.0,9559463849629.0
411,411,411,Vốn góp của chủ sở hữu,"22, 23",3.380.747.760.000,3.281.691.880.000,,,3380747760000.0,3281691880000.0
411a,411a,411a,- Cổ phiếu phổ thông có quyền biểu quyết,,3.380.747.760.000,3.281.691.880.000,,,3380747760000.0,3281691880000.0
412,412,412,Thặng dư vốn cổ phần,23,1.950.309.912.458,1.851.376.032.458,,23.0,1950309912458.0,1851376032458.0
415,415,415,Cổ phiếu quỹ,23,(3.384.090.000),(3.384.090.000),,23.0,-3384090000.0,-3384090000.0
418,418,418,Quỹ đầu tư phát triển,23,2.626.281.556.918,1.936.397.556.918,,23.0,2626281556918.0,1936397556918.0
421,421,421,"Lợi nhuận sau thuế (""LNST"")chưa phân phối",23,2.805.236.061.496,2.493.382.470.253,,23.0,2805236061496.0,2493382470253.0
421a,421a,421a,- LNST chưa phân phối lũy kécủa các năm trước,,941.718.393.853,665.135.491.285,,,941718393853.0,665135491285.0
421b,421b,421b,- LNST chưa phân phối của năm nay,,1.863.517.667.643,1.828.246.978.968,,,1863517667643.0,1828246978968.0
440,440,440,TỔNG NGUỒN VỐN,,16.220.461.685.792,13.805.046.669.809,,,16220461685792.0,13805046669809.0
