row_label_raw,row_label_full,Mã số,col_1,Thuyết minh,Năm tài chính kết thúc ngày 31 tháng 12 năm > 2024 VND,Năm tài chính kết thúc ngày 31 tháng 12 năm > 2023 VND,numeric__col_1,numeric__Thuyết minh,numeric__Năm tài chính kết thúc ngày 31 tháng 12 năm > 2024 VND,numeric__Năm tài chính kết thúc ngày 31 tháng 12 năm > 2023 VND
01,01,01,Doanh thu bán hàng và cung cấp dịch vụ,,39.019.890.837.611,34.387.194.698.336,,,39019890837611.0,34387194698336.0
02,02,02,Khoản giảm trừ doanh thu,,403.268.631.871,368.926.280.802,,,403268631871.0,368926280802.0
10,10,10,Doanh thu thuần về bán hàng và cung cấp dịch vụ (10 = 01 - 02),26,38.616.622.205.740,34.018.268.417.534,,26.0,38616622205740.0,34018268417534.0
11,11,11,Giá vốn hàng bán và dịch vụ cung cấp,27,32.490.153.576.965,28.369.591.389.003,,27.0,32490153576965.0,28369591389003.0
20,20,20,Lợi nhuận gộp về bán hàng và cung cấp dịch vụ (20 = 10 - 11),,6.126.468.628.775,5.648.677.028.531,,,6126468628775.0,5648677028531.0
21,21,21,Doanh thu hoạt động tài chính,28,65.288.730.007,93.224.887.257,,28.0,65288730007.0,93224887257.0
22,22,22,Chi phí tài chính,29,63.382.760.599,109.192.499.612,,29.0,63382760599.0,109192499612.0
23,23,23,- Trong đó: Chi phí lãi vay,,42.075.634.828,110.582.395.659,,,42075634828.0,110582395659.0
25,25,25,Chi phí bán hàng,30,3.093.972.392.010,2.726.730.632.432,,30.0,3093972392010.0,2726730632432.0
26,26,26,Chi phí quản lý doanh nghiệp,31,713.471.011.316,624.240.533.503,,31.0,713471011316.0,624240533503.0
30,30,30,Lợi nhuận thuần từ hoạt động kinh doanh (30 = 20 + 21 - 22 - 25 - 26),,2.320.931.194.857,2.281.738.250.241,,,2320931194857.0,2281738250241.0
31,31,31,Thu nhập khác,,18.452.133.118,14.007.621.559,,,18452133118.0,14007621559.0
32,32,32,Chi phí khác,,7.039.264.779,5.339.224.585,,,7039264779.0,5339224585.0
40,40,40,Lợi nhuận khác (40 = 31 - 32),,11.412.868.339,8.668.396.974,,,11412868339.0,8668396974.0
50,50,50,Tổng lợi nhuận kế toán trước thuế (50 = 30 + 40),,2.332.344.063.196,2.290.406.647.215,,,2332344063196.0,2290406647215.0
51,51,51,Chi phí thuế thu nhập doanh nghiệp (“TNDN”) hiện hành,32,545.694.446.094,463.353.913.782,,32.0,545694446094.0,463353913782.0
52,52,52,Thu nhập thuế TNDN hoãn lại,32,(76.868.050.541),(1.194.245.535),,32.0,-76868050541.0,-1194245535.0
60,60,60,Lợi nhuận sau thuế TNDN (60 = 50 - 51 - 52),,1.863.517.667.843,1.828.246.978.968,,,1863517667843.0,1828246978968.0
