row_label_raw,row_label_full,col_0,col_1,2024 > Giá gốc VND,2024 > Giá trị hợp lý VND,2024 > Dự phòng VND,2023 > Giá gốc VND,2023 > Giá trị hợp lý VND,2023 > Dự phòng VND,numeric__col_1,numeric__2024 > Giá gốc VND,numeric__2024 > Giá trị hợp lý VND,numeric__2024 > Dự phòng VND,numeric__2023 > Giá gốc VND,numeric__2023 > Giá trị hợp lý VND,numeric__2023 > Dự phòng VND
(i),(i),(i),Đầu tư vào công ty con,Đầu tư vào công ty con,Đầu tư vào công ty con,Đầu tư vào công ty con,Đầu tư vào công ty con,Đầu tư vào công ty con,Đầu tư vào công ty con,,,,,,,
(i),(i) > (i),(i),Công ty TNHH MTV Thời trang CAO,150.000.000.000,(*),(29.348.000.000),150.000.000.000,(*),(50.168.128.182),,150000000000.0,,-29348000000.0,150000000000.0,,-50168128182.0
(i),(i) > (i),(i),Công ty TNHH MTV Giám định PNJ,10.000.000.000,(*),-,10.000.000.000,(*),-,,10000000000.0,,,10000000000.0,,
(i),(i) > (i),(i),Công ty TNHH MTV Chế tác và Kinh doanh Trang sức PNJ,500.000.000.000,(*),-,500.000.000.000,(*),-,,500000000000.0,,,500000000000.0,,
(i),(i) > (i),(i),,660.000.000.000,,(29.348.000.000),660.000.000.000,,(50.168.128.182),,660000000000.0,,-29348000000.0,660000000000.0,,-50168128182.0
(ii),(ii),(ii),Đầu tư góp vốn vào đơn vị khác,Đầu tư góp vốn vào đơn vị khác,Đầu tư góp vốn vào đơn vị khác,Đầu tư góp vốn vào đơn vị khác,Đầu tư góp vốn vào đơn vị khác,Đầu tư góp vốn vào đơn vị khác,Đầu tư góp vốn vào đơn vị khác,,,,,,,
(ii),(ii) > (ii),(ii),Ngân hàng TMCP Đông Á (**),395.271.613.400,(*),(395.271.613.400),395.271.613.400,(*),(395.271.613.400),,395271613400.0,,-395271613400.0,395271613400.0,,-395271613400.0
(ii),(ii) > (ii),(ii),Công ty Cổ phần Người Bạn Vàng,3.980.000.000,(*),-,3.980.000.000,(*),-,,3980000000.0,,,3980000000.0,,
(ii),(ii) > (ii),(ii),,399.251.613.400,,(395.271.613.400),399.251.613.400,,(395.271.613.400),,399251613400.0,,-395271613400.0,399251613400.0,,-395271613400.0
(ii),(ii) > (ii),(ii),,1.059.251.613.400,,(424.619.613.400),1.059.251.613.400,,(445.439.741.582),,1059251613400.0,,-424619613400.0,1059251613400.0,,-445439741582.0
,,,"(*) Tai ngày 31 tháng 12 năm 2024 và ngày 31 tháng 12 năm 2023, Công ty chưa xác định được giá trị hợp lý của các khoản đầu tư tài chính này để thuyết minh trên báo cáo tài chính riêng, vi các khoản đầu tư này chưa niêm yết trên thị trường. Giá trị hợp lý của các khoản đầu tư tài chính này có thể khác với giá trị ghi số.","(*) Tai ngày 31 tháng 12 năm 2024 và ngày 31 tháng 12 năm 2023, Công ty chưa xác định được giá trị hợp lý của các khoản đầu tư tài chính này để thuyết minh trên báo cáo tài chính riêng, vi các khoản đầu tư này chưa niêm yết trên thị trường. Giá trị hợp lý của các khoản đầu tư tài chính này có thể khác với giá trị ghi số.","(*) Tai ngày 31 tháng 12 năm 2024 và ngày 31 tháng 12 năm 2023, Công ty chưa xác định được giá trị hợp lý của các khoản đầu tư tài chính này để thuyết minh trên báo cáo tài chính riêng, vi các khoản đầu tư này chưa niêm yết trên thị trường. Giá trị hợp lý của các khoản đầu tư tài chính này có thể khác với giá trị ghi số.","(*) Tai ngày 31 tháng 12 năm 2024 và ngày 31 tháng 12 năm 2023, Công ty chưa xác định được giá trị hợp lý của các khoản đầu tư tài chính này để thuyết minh trên báo cáo tài chính riêng, vi các khoản đầu tư này chưa niêm yết trên thị trường. Giá trị hợp lý của các khoản đầu tư tài chính này có thể khác với giá trị ghi số.","(*) Tai ngày 31 tháng 12 năm 2024 và ngày 31 tháng 12 năm 2023, Công ty chưa xác định được giá trị hợp lý của các khoản đầu tư tài chính này để thuyết minh trên báo cáo tài chính riêng, vi các khoản đầu tư này chưa niêm yết trên thị trường. Giá trị hợp lý của các khoản đầu tư tài chính này có thể khác với giá trị ghi số.","(*) Tai ngày 31 tháng 12 năm 2024 và ngày 31 tháng 12 năm 2023, Công ty chưa xác định được giá trị hợp lý của các khoản đầu tư tài chính này để thuyết minh trên báo cáo tài chính riêng, vi các khoản đầu tư này chưa niêm yết trên thị trường. Giá trị hợp lý của các khoản đầu tư tài chính này có thể khác với giá trị ghi số.","(*) Tai ngày 31 tháng 12 năm 2024 và ngày 31 tháng 12 năm 2023, Công ty chưa xác định được giá trị hợp lý của các khoản đầu tư tài chính này để thuyết minh trên báo cáo tài chính riêng, vi các khoản đầu tư này chưa niêm yết trên thị trường. Giá trị hợp lý của các khoản đầu tư tài chính này có thể khác với giá trị ghi số.",,,,,,,
