row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcVND",Máy mócthiết bịVND,Phương tiệnvận tảiVND,Thiết bịquản lýVND,Tổng cộngVND,"numeric__Nhà cửa,vật kiến trúcVND",numeric__Máy mócthiết bịVND,numeric__Phương tiệnvận tảiVND,numeric__Thiết bịquản lýVND,numeric__Tổng cộngVND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Tại ngày 1 tháng 1 năm 2024,Nguyên giá > Tại ngày 1 tháng 1 năm 2024,Tại ngày 1 tháng 1 năm 2024,157.113.777.493,84.174.657.401,47.594.268.598,105.150.307.051,394.033.010.543,157113777493.0,84174657401.0,47594268598.0,105150307051.0,394033010543.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,579.371.127,7.409.658.731,4.557.970.800,13.411.606.230,25.958.606.888,579371127.0,7409658731.0,4557970800.0,13411606230.0,25958606888.0
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(1.504.652.371),(1.486.297.486),-,(1.490.410.984),(4.481.360.841),-1504652371.0,-1486297486.0,,-1490410984.0,-4481360841.0
Tại ngày 31 tháng 12 năm 2024,Nguyên giá > Tại ngày 31 tháng 12 năm 2024,Tại ngày 31 tháng 12 năm 2024,156.188.496.249,90.098.018.646,52.152.239.398,117.071.502.297,415.510.256.590,156188496249.0,90098018646.0,52152239398.0,117071502297.0,415510256590.0
Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,,,,,
Tại ngày 1 tháng 1 năm 2024,Khấu hao lũy kế > Tại ngày 1 tháng 1 năm 2024,Tại ngày 1 tháng 1 năm 2024,76.379.022.227,54.354.246.920,26.006.021.833,78.728.940.485,235.468.231.465,76379022227.0,54354246920.0,26006021833.0,78728940485.0,235468231465.0
Khấu hao trong năm,Khấu hao lũy kế > Khấu hao trong năm,Khấu hao trong năm,8.071.664.339,11.525.226.751,4.788.357.017,10.745.198.157,35.130.446.264,8071664339.0,11525226751.0,4788357017.0,10745198157.0,35130446264.0
"Thanh lý, nhượng bán","Khấu hao lũy kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(1.466.102.371),(1.424.546.855),-,(1.442.432.578),(4.333.081.804),-1466102371.0,-1424546855.0,,-1442432578.0,-4333081804.0
Tại ngày 31 tháng 12 năm 2024,Khấu hao lũy kế > Tại ngày 31 tháng 12 năm 2024,Tại ngày 31 tháng 12 năm 2024,82.984.584.195,64.454.926.816,30.794.378.850,88.031.706.064,266.265.595.925,82984584195.0,64454926816.0,30794378850.0,88031706064.0,266265595925.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Tại ngày 1 tháng 1 năm 2024,Giá trị còn lại > Tại ngày 1 tháng 1 năm 2024,Tại ngày 1 tháng 1 năm 2024,80.734.755.266,29.820.410.481,21.588.246.765,26.421.366.566,158.564.779.078,80734755266.0,29820410481.0,21588246765.0,26421366566.0,158564779078.0
Tại ngày 31 tháng 12 năm 2024,Giá trị còn lại > Tại ngày 31 tháng 12 năm 2024,Tại ngày 31 tháng 12 năm 2024,73.203.912.054,25.643.091.830,21.357.860.548,29.039.796.233,149.244.660.665,73203912054.0,25643091830.0,21357860548.0,29039796233.0,149244660665.0
