row_label_raw,row_label_full,col_0,Vốn góp của chủ sở hữu VND,Thặng dư vốn cổ phần VND,Cổ phiếu quỹ VND,Quỹ đầu tư phát triển VND,LNST chưa phân phối VND,Tổng cộng VND,numeric__Vốn góp của chủ sở hữu VND,numeric__Thặng dư vốn cổ phần VND,numeric__Cổ phiếu quỹ VND,numeric__Quỹ đầu tư phát triển VND,numeric__LNST chưa phân phối VND,numeric__Tổng cộng VND
Tại ngày 1 tháng 1 năm 2023,Tại ngày 1 tháng 1 năm 2023,Tại ngày 1 tháng 1 năm 2023,2.461.716.200.000,2.251.376.032.458,(3.384.090.000),1.212.120.556.918,2.418.401.339.294,8.340.230.038.670,2461716200000.0,2251376032458.0,-3384090000.0,1212120556918.0,2418401339294.0,8340230038670.0
Vốn tăng trong năm,Vốn tăng trong năm,Vốn tăng trong năm,819.975.680.000,(400.000.000.000),-,-,(419.975.680.000),-,819975680000.0,-400000000000.0,,,-419975680000.0,
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,1.828.246.978.968,1.828.246.978.968,,,,,1828246978968.0,1828246978968.0
Chia cổ tức (Thuyết minh 24),Chia cổ tức (Thuyết minh 24),Chia cổ tức (Thuyết minh 24),-,-,-,-,(459.199.480.600),(459.199.480.600),,,,,-459199480600.0,-459199480600.0
"Trích quỹ khen thưởng, phúc lợi (Thuyết minh 19)","Trích quỹ khen thưởng, phúc lợi (Thuyết minh 19)","Trích quỹ khen thưởng, phúc lợi (Thuyết minh 19)",-,-,-,-,(90.535.000.000),(90.535.000.000),,,,,-90535000000.0,-90535000000.0
Trích quỹ đầu tư phát triển,Trích quỹ đầu tư phát triển,Trích quỹ đầu tư phát triển,-,-,-,724.277.000.000,(724.277.000.000),-,,,,724277000000.0,-724277000000.0,
"Trích quỹ hoạt động của Hội đồng Quản trị và quỹ khen thưởng Hội đồng Quản trị, lãnh đạo chủ chốt","Trích quỹ hoạt động của Hội đồng Quản trị và quỹ khen thưởng Hội đồng Quản trị, lãnh đạo chủ chốt","Trích quỹ hoạt động của Hội đồng Quản trị và quỹ khen thưởng Hội đồng Quản trị, lãnh đạo chủ chốt",-,-,-,-,(48.888.000.000),(48.888.000.000),,,,,-48888000000.0,-48888000000.0
Khác,Khác,Khác,-,-,-,-,(10.390.687.409),(10.390.687.409),,,,,-10390687409.0,-10390687409.0
Tại ngày 31 tháng 12 năm 2023,Tại ngày 31 tháng 12 năm 2023,Tại ngày 31 tháng 12 năm 2023,3.281.691.880.000,1.851.376.032.458,(3.384.090.000),1.936.397.556.918,2.493.382.470.253,9.559.463.849.629,3281691880000.0,1851376032458.0,-3384090000.0,1936397556918.0,2493382470253.0,9559463849629.0
Phát hành cổ phiếu theo chương trình lựa chọn cho người lao động đợt 1 (*),Phát hành cổ phiếu theo chương trình lựa chọn cho người lao động đợt 1 (*),Phát hành cổ phiếu theo chương trình lựa chọn cho người lao động đợt 1 (*),65.599.920.000,65.531.920.000,-,-,-,131.131.840.000,65599920000.0,65531920000.0,,,,131131840000.0
Phát hành cổ phiếu theo chương trình lựa chọn cho người lao động đợt 2 (*),Phát hành cổ phiếu theo chương trình lựa chọn cho người lao động đợt 2 (*),Phát hành cổ phiếu theo chương trình lựa chọn cho người lao động đợt 2 (*),33.455.960.000,33.401.960.000,-,-,-,66.857.920.000,33455960000.0,33401960000.0,,,,66857920000.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,1.863.517.667.643,1.863.517.667.643,,,,,1863517667643.0,1863517667643.0
Chia cổ tức (Thuyết minh 24) (**),Chia cổ tức (Thuyết minh 24) (**),Chia cổ tức (Thuyết minh 24) (**),-,-,-,-,(673.803.076.400),(673.803.076.400),,,,,-673803076400.0,-673803076400.0
"Trích quỹ khen thưởng, phúc lợi (Thuyết minh 19) (**)","Trích quỹ khen thưởng, phúc lợi (Thuyết minh 19) (**)","Trích quỹ khen thưởng, phúc lợi (Thuyết minh 19) (**)",-,-,-,-,(98.555.000.000),(98.555.000.000),,,,,-98555000000.0,-98555000000.0
Trích quỹ đầu tư phát triển (**),Trích quỹ đầu tư phát triển (**),Trích quỹ đầu tư phát triển (**),-,-,-,689.884.000.000,(689.884.000.000),-,,,,689884000000.0,-689884000000.0,
"Trích quỹ hoạt động của Hội đồng Quản trị và quỹ khen thưởng Hội đồng Quản trị, lãnh đạo chủ chốt (**)","Trích quỹ hoạt động của Hội đồng Quản trị và quỹ khen thưởng Hội đồng Quản trị, lãnh đạo chủ chốt (**)","Trích quỹ hoạt động của Hội đồng Quản trị và quỹ khen thưởng Hội đồng Quản trị, lãnh đạo chủ chốt (**)",-,-,-,-,(89.422.000.000),(89.422.000.000),,,,,-89422000000.0,-89422000000.0
Tại ngày 31 tháng 12 năm 2024,Tại ngày 31 tháng 12 năm 2024,Tại ngày 31 tháng 12 năm 2024,3.380.747.760.000,1.950.309.912.458,(3.384.090.000),2.626.281.556.918,2.805.236.061.496,10.759.191.200.872,3380747760000.0,1950309912458.0,-3384090000.0,2626281556918.0,2805236061496.0,10759191200872.0
