row_label_raw,row_label_full,Công ty TNHH MTV Chế tác và Kinh doanh Trang sức PNJ,11.618.949.574.996,8.088.995.947.091,numeric__11.618.949.574.996,numeric__8.088.995.947.091
Công ty TNHH MTV Thời trang CAO,Công ty TNHH MTV Thời trang CAO,Công ty TNHH MTV Thời trang CAO,20.065.500.373,33.483.461.068,20065500373.0,33483461068.0
Công ty TNHH MTV Giám định PNJ,Công ty TNHH MTV Giám định PNJ,Công ty TNHH MTV Giám định PNJ,10.747.416.640,6.828.769.199,10747416640.0,6828769199.0
Công ty TNHH Phòng khám Đa khoa Quốc tế An Phú,Công ty TNHH Phòng khám Đa khoa Quốc tế An Phú,Công ty TNHH Phòng khám Đa khoa Quốc tế An Phú,3.020.443.750,2.228.835.000,3020443750.0,2228835000.0
Hội Doanh nhân Trẻ Thành phố Hồ Chí Minh,Hội Doanh nhân Trẻ Thành phố Hồ Chí Minh,Hội Doanh nhân Trẻ Thành phố Hồ Chí Minh,1.868.360.000,74.000.000,1868360000.0,74000000.0
Công ty Cổ phần Kết nối Nhân tài,Công ty Cổ phần Kết nối Nhân tài,Công ty Cổ phần Kết nối Nhân tài,1.050.735.040,1.112.897.400,1050735040.0,1112897400.0
Hội Doanh Nhân Trẻ Việt Nam,Hội Doanh Nhân Trẻ Việt Nam,Hội Doanh Nhân Trẻ Việt Nam,592.800.000,-,592800000.0,
Công ty Cổ phần Doanh nghiệp Xã hội Viện thành viên Hội đồng Quản trị Việt Nam,Công ty Cổ phần Doanh nghiệp Xã hội Viện thành viên Hội đồng Quản trị Việt Nam,Công ty Cổ phần Doanh nghiệp Xã hội Viện thành viên Hội đồng Quản trị Việt Nam,247.293.000,47.190.000,247293000.0,47190000.0
Hội Nữ Doanh nhân Thành phố Hồ Chí Minh,Hội Nữ Doanh nhân Thành phố Hồ Chí Minh,Hội Nữ Doanh nhân Thành phố Hồ Chí Minh,167.000.000,174.500.000,167000000.0,174500000.0
Hội Doanh nghiệp Hàng Việt Nam chất lượng cao Thành phố Hồ Chí Minh,Hội Doanh nghiệp Hàng Việt Nam chất lượng cao Thành phố Hồ Chí Minh,Hội Doanh nghiệp Hàng Việt Nam chất lượng cao Thành phố Hồ Chí Minh,143.200.000,66.000.000,143200000.0,66000000.0
Hiệp Hội Kinh Doanh Vàng Việt Nam,Hiệp Hội Kinh Doanh Vàng Việt Nam,Hiệp Hội Kinh Doanh Vàng Việt Nam,50.000.000,30.618.000,50000000.0,30618000.0
Hiệp hội Nữ doanh nhân Việt Nam,Hiệp hội Nữ doanh nhân Việt Nam,Hiệp hội Nữ doanh nhân Việt Nam,42.406.000,-,42406000.0,
,,,11.656.944.729.799,8.133.042.217.758,11656944729799.0,8133042217758.0
