row_label_raw,row_label_full,col_0,Máy móc thiết bị VND,numeric__Máy móc thiết bị VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,
Tại ngày 1 tháng 1 năm 2019,Tại ngày 1 tháng 1 năm 2019,Tại ngày 1 tháng 1 năm 2019,-,
Chuyển từ chi phí xây dựng cơ bản dở dang (Thuyết minh 11),Tại ngày 1 tháng 1 năm 2019 > Chuyển từ chi phí xây dựng cơ bản dở dang (Thuyết minh 11),Chuyển từ chi phí xây dựng cơ bản dở dang (Thuyết minh 11),169.433.832.365,169433832365.0
Tại ngày 31 tháng 12 năm 2019,Tại ngày 1 tháng 1 năm 2019 > Tại ngày 31 tháng 12 năm 2019,Tại ngày 31 tháng 12 năm 2019,169.433.832.365,169433832365.0
Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,
Tại ngày 1 tháng 1 năm 2019,Tại ngày 1 tháng 1 năm 2019,Tại ngày 1 tháng 1 năm 2019,-,
Khấu hao trong năm,Tại ngày 1 tháng 1 năm 2019 > Khấu hao trong năm,Khấu hao trong năm,7.500.028.062,7500028062.0
Tại ngày 31 tháng 12 năm 2019,Tại ngày 1 tháng 1 năm 2019 > Tại ngày 31 tháng 12 năm 2019,Tại ngày 31 tháng 12 năm 2019,7.500.028.062,7500028062.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,
Tại ngày 1 tháng 1 năm 2019,Tại ngày 1 tháng 1 năm 2019,Tại ngày 1 tháng 1 năm 2019,-,
Tại ngày 31 tháng 12 năm 2019,Tại ngày 1 tháng 1 năm 2019 > Tại ngày 31 tháng 12 năm 2019,Tại ngày 31 tháng 12 năm 2019,161.933.804.303,161933804303.0
