row_label_raw,row_label_full,col_0,2019VNĐ,2018VNĐ,numeric__2019VNĐ,numeric__2018VNĐ
Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,,
Doanh thu bán thành phẩm,Doanh thu > Doanh thu bán thành phẩm,Doanh thu bán thành phẩm,12.183.464.686.821,14.826.583.219.596,12183464686821.0,14826583219596.0
Doanh thu cung cấp dịch vụ,Doanh thu > Doanh thu cung cấp dịch vụ,Doanh thu cung cấp dịch vụ,40.594.832.070,34.032.095.420,40594832070.0,34032095420.0
,,,12.224.059.518.891,14.860.615.315.016,12224059518891.0,14860615315016.0
Các khoản giảm trừ,Các khoản giảm trừ,Các khoản giảm trừ,Các khoản giảm trừ,Các khoản giảm trừ,,
Chiết khấu thương mại,Các khoản giảm trừ > Chiết khấu thương mại,Chiết khấu thương mại,(28.760.568.840),(22.550.387.458),-28760568840.0,-22550387458.0
Giảm giá hàng bán,Các khoản giảm trừ > Giảm giá hàng bán,Giảm giá hàng bán,(4.428.651.886),(5.554.406.401),-4428651886.0,-5554406401.0
Hàng bán bị trả lại,Các khoản giảm trừ > Hàng bán bị trả lại,Hàng bán bị trả lại,(14.073.383.508),(20.726.157.687),-14073383508.0,-20726157687.0
,,,(47.262.604.234),(48.830.951.546),-47262604234.0,-48830951546.0
Doanh thu thuần về bán hàng và cung cấp dịch vụ,Doanh thu thuần về bán hàng và cung cấp dịch vụ,Doanh thu thuần về bán hàng và cung cấp dịch vụ,Doanh thu thuần về bán hàng và cung cấp dịch vụ,Doanh thu thuần về bán hàng và cung cấp dịch vụ,,
Doanh thu thuần về bán thành phẩm,Doanh thu thuần về bán hàng và cung cấp dịch vụ > Doanh thu thuần về bán thành phẩm,Doanh thu thuần về bán thành phẩm,12.136.202.082.587,14.777.752.268.050,12136202082587.0,14777752268050.0
Doanh thu thuần về cung cấp dịch vụ,Doanh thu thuần về bán hàng và cung cấp dịch vụ > Doanh thu thuần về cung cấp dịch vụ,Doanh thu thuần về cung cấp dịch vụ,40.594.832.070,34.032.095.420,40594832070.0,34032095420.0
,,,12.176.796.914.657,14.811.784.363.470,12176796914657.0,14811784363470.0
