row_label_raw,row_label_full,col_0,Tại ngày1.1.2019VND,TăngVND,GiảmVND,Nợ dài hạnđến hạn trảVND,Tại ngày31.12.2019VND,numeric__Tại ngày1.1.2019VND,numeric__TăngVND,numeric__GiảmVND,numeric__Nợ dài hạnđến hạn trảVND,numeric__Tại ngày31.12.2019VND
Vay ngân hàng (*),Vay ngân hàng (*),Vay ngân hàng (*),3.179.513.613.414,8.963.696.822.169,(9.937.832.956.720),161.924.275.180,2.367.301.754.043,3179513613414.0,8963696822169.0,-9937832956720.0,161924275180.0,2367301754043.0
Nợ thuê tài chính (Thuyết minh 15(c)),Nợ thuê tài chính (Thuyết minh 15(c)),Nợ thuê tài chính (Thuyết minh 15(c)),21.459.543.444,-,(21.551.624.950),21.652.077.502,21.559.995.996,21459543444.0,,-21551624950.0,21652077502.0,21559995996.0
,,,3.200.973.156.858,8.963.696.822.169,(9.959.384.581.670),183.576.352.682,2.388.861.750.039,3200973156858.0,8963696822169.0,-9959384581670.0,183576352682.0,2388861750039.0
(*) Chi tiết các khoản vay ngân hàng tại ngày 31 tháng 12 năm 2019 như sau:,(*) Chi tiết các khoản vay ngân hàng tại ngày 31 tháng 12 năm 2019 như sau:,(*) Chi tiết các khoản vay ngân hàng tại ngày 31 tháng 12 năm 2019 như sau:,(*) Chi tiết các khoản vay ngân hàng tại ngày 31 tháng 12 năm 2019 như sau:,(*) Chi tiết các khoản vay ngân hàng tại ngày 31 tháng 12 năm 2019 như sau:,(*) Chi tiết các khoản vay ngân hàng tại ngày 31 tháng 12 năm 2019 như sau:,(*) Chi tiết các khoản vay ngân hàng tại ngày 31 tháng 12 năm 2019 như sau:,(*) Chi tiết các khoản vay ngân hàng tại ngày 31 tháng 12 năm 2019 như sau:,,,,,
Ngân hàng,Ngân hàng,Ngân hàng,Giá trị (VND),Tiền tệ góc,Đáo hạn,Hình thức đảm bảo,Hình thức đảm bảo,,,,,
Ngân hàng Thương mại Cổ phần Đầu tư và Phát triển Việt Nam,Ngân hàng > Ngân hàng Thương mại Cổ phần Đầu tư và Phát triển Việt Nam,Ngân hàng Thương mại Cổ phần Đầu tư và Phát triển Việt Nam,257.884.479.438,USD,từ tháng 3 đến tháng4 năm 2020,"Nhà cửa, vật kiến trúc; máy móc, thiết bị; phương tiện vận tải; dụng cụ quản lý; và tín chấp","Nhà cửa, vật kiến trúc; máy móc, thiết bị; phương tiện vận tải; dụng cụ quản lý; và tín chấp",257884479438.0,,,,
Ngân hàng Thương mại Cổ phần Đầu tư và Phát triển Việt Nam,Ngân hàng > Ngân hàng Thương mại Cổ phần Đầu tư và Phát triển Việt Nam,Ngân hàng Thương mại Cổ phần Đầu tư và Phát triển Việt Nam,1.379.587.545.296,VND,từ tháng 2 đến tháng6 năm 2020,"Nhà cửa, vật kiến trúc; máy móc, thiết bị; phương tiện vận tải; dụng cụ quản lý; và tín chấp","Nhà cửa, vật kiến trúc; máy móc, thiết bị; phương tiện vận tải; dụng cụ quản lý; và tín chấp",1379587545296.0,,,,
Ngân hàng Thương mại Cổ phần Công thương Việt Nam,Ngân hàng > Ngân hàng Thương mại Cổ phần Công thương Việt Nam,Ngân hàng Thương mại Cổ phần Công thương Việt Nam,388.149.475.777,USD,từ tháng 1 đến tháng6 năm 2020,Hàng tồn kho luân chuyển; và tín chấp,Hàng tồn kho luân chuyển; và tín chấp,388149475777.0,,,,
Nợ dài hạn đến hạn trả,Ngân hàng > Nợ dài hạn đến hạn trả,Nợ dài hạn đến hạn trả,9.889.818.337700.000.000,VNDVND,tháng 3 năm 2020từ tháng 3 đến tháng12 năm 2020,Tín chấp,Tín chấp,9.8898183377e+18,,,,
Ngân hàng Thương mại Cổ phần Ngoại thương Việt Nam,Ngân hàng > Ngân hàng Thương mại Cổ phần Ngoại thương Việt Nam,Ngân hàng Thương mại Cổ phần Ngoại thương Việt Nam,47.254.819.096,USD,từ tháng 2 đến tháng6 năm 2020,Máy móc thiết bị; và tín chấp,Máy móc thiết bị; và tín chấp,47254819096.0,,,,
Ngân hàng Trách nhiệm Hữu hạn Một Thành Viên HSBC (Việt Nam),Ngân hàng > Ngân hàng Trách nhiệm Hữu hạn Một Thành Viên HSBC (Việt Nam),Ngân hàng Trách nhiệm Hữu hạn Một Thành Viên HSBC (Việt Nam),156.053.168.35597.958.172.524,VNDVND,tháng 6 năm 2020từ tháng 2 đến tháng3 năm 2020,Nguyên vật liệu; và thành phẩm,Nguyên vật liệu; và thành phẩm,1.560531683559796e+22,,,,
Ngân hàng Thương mại Cổ phần Tiến PhongNợ dài hạn đến hạn trả,Ngân hàng > Ngân hàng Thương mại Cổ phần Tiến PhongNợ dài hạn đến hạn trả,Ngân hàng Thương mại Cổ phần Tiến PhongNợ dài hạn đến hạn trả,29.824.275.220,VND,tháng 12 năm 2020,"Quyền sử dụng đất; máy móc, thiết bị; và nhà xưởng","Quyền sử dụng đất; máy móc, thiết bị; và nhà xưởng",29824275220.0,,,,
,,,2.367.301.754.043,,,,,2367301754043.0,,,,
