row_label_raw,row_label_full,col_0,col_1,2019VNĐ,2018VNĐ,numeric__col_1,numeric__2019VNĐ,numeric__2018VNĐ
,,,,2019VNĐ,2018VNĐ,,,
"Công cụ, dụng cụ xuất dùng","Công cụ, dụng cụ xuất dùng","Công cụ, dụng cụ xuất dùng","Công cụ, dụng cụ xuất dùng",23.042.849.494,22.341.071.618,,23042849494.0,22341071618.0
Chi phí quảng cáo,Chi phí quảng cáo,Chi phí quảng cáo,Chi phí quảng cáo,880.610.192,2.623.590.880,,880610192.0,2623590880.0
Chi phí bảo hiểm,Chi phí bảo hiểm,Chi phí bảo hiểm,Chi phí bảo hiểm,2.101.093.624,1.528.641.105,,2101093624.0,1528641105.0
Khác,Khác,Khác,Khác,297.359.567,27.468.384,,297359567.0,27468384.0
,,,,26.321.912.877,26.520.771.987,,26321912877.0,26520771987.0
Biến động chi phí trả trước ngắn hạn trong năm như sau:,Biến động chi phí trả trước ngắn hạn trong năm như sau:,Biến động chi phí trả trước ngắn hạn trong năm như sau:,Biến động chi phí trả trước ngắn hạn trong năm như sau:,Biến động chi phí trả trước ngắn hạn trong năm như sau:,Biến động chi phí trả trước ngắn hạn trong năm như sau:,,,
,,,,2019VNĐ,2018VNĐ,,,
Số dư đầu năm,Biến động chi phí trả trước ngắn hạn trong năm như sau: > Số dư đầu năm,Số dư đầu năm,Số dư đầu năm,26.520.771.987,36.326.163.112,,26520771987.0,36326163112.0
Tăng,Biến động chi phí trả trước ngắn hạn trong năm như sau: > Tăng,Tăng,Tăng,63.870.861.556,58.371.638.873,,63870861556.0,58371638873.0
Phân bổ,Biến động chi phí trả trước ngắn hạn trong năm như sau: > Phân bổ,Phân bổ,Phân bổ,(64.069.720.666),(68.177.029.998),,-64069720666.0,-68177029998.0
Số dư cuối năm,Biến động chi phí trả trước ngắn hạn trong năm như sau: > Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,26.321.912.877,26.520.771.987,,26321912877.0,26520771987.0
(b),(b),(b),Dài hạn,Dài hạn,Dài hạn,,,
,,,,2019VNĐ,2018VNĐ,,,
"Công cụ, dụng cụ xuất dùng","(b) > Công cụ, dụng cụ xuất dùng","Công cụ, dụng cụ xuất dùng","Công cụ, dụng cụ xuất dùng",33.724.800.920,27.730.715.879,,33724800920.0,27730715879.0
Chi phí quảng cáo,(b) > Chi phí quảng cáo,Chi phí quảng cáo,Chi phí quảng cáo,6.024.584.830,3.095.784.166,,6024584830.0,3095784166.0
"Chi phí sửa chữa, đại tu nhà xưởng","(b) > Chi phí sửa chữa, đại tu nhà xưởng","Chi phí sửa chữa, đại tu nhà xưởng","Chi phí sửa chữa, đại tu nhà xưởng",30.729.023.851,742.566.018,,30729023851.0,742566018.0
,,,,70.478.409.601,31.569.066.063,,70478409601.0,31569066063.0
Biến động chi phí trả trước dài hạn trong năm như sau:,Biến động chi phí trả trước dài hạn trong năm như sau:,Biến động chi phí trả trước dài hạn trong năm như sau:,Biến động chi phí trả trước dài hạn trong năm như sau:,Biến động chi phí trả trước dài hạn trong năm như sau:,Biến động chi phí trả trước dài hạn trong năm như sau:,,,
,,,,2019VNĐ,2018VNĐ,,,
Số dư đầu năm,Biến động chi phí trả trước dài hạn trong năm như sau: > Số dư đầu năm,Số dư đầu năm,Số dư đầu năm,31.569.066.063,25.435.399.721,,31569066063.0,25435399721.0
Tăng,Biến động chi phí trả trước dài hạn trong năm như sau: > Tăng,Tăng,Tăng,65.793.437.809,25.321.209.869,,65793437809.0,25321209869.0
Phân bổ,Biến động chi phí trả trước dài hạn trong năm như sau: > Phân bổ,Phân bổ,Phân bổ,(26.884.094.271),(19.187.543.527),,-26884094271.0,-19187543527.0
Số dư cuối năm,Biến động chi phí trả trước dài hạn trong năm như sau: > Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,70.478.409.601,31.569.066.063,,70478409601.0,31569066063.0
