row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcVND",Máy mócthiết bịVND,Phương tiệnvận tảiVND,Thiết bịquản lýVND,TSCĐ khácVND,Tổng cộngVND,"numeric__Nhà cửa,vật kiến trúcVND",numeric__Máy mócthiết bịVND,numeric__Phương tiệnvận tảiVND,numeric__Thiết bịquản lýVND,numeric__TSCĐ khácVND,numeric__Tổng cộngVND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Tại ngày 1 tháng 1 năm 2019,Nguyên giá > Tại ngày 1 tháng 1 năm 2019,Tại ngày 1 tháng 1 năm 2019,716.108.865.582,3.612.624.318.331,250.931.020.959,8.072.701.421,985.089.600,4.588.721.995.893,716108865582.0,3612624318331.0,250931020959.0,8072701421.0,985089600.0,4588721995893.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,-,4.377.013.200,-,-,-,4.377.013.200,,4377013200.0,,,,4377013200.0
Chuyển từ chi phí xây dựng cơbản đồ đang (Thuyết minh 11),Nguyên giá > Chuyển từ chi phí xây dựng cơbản đồ đang (Thuyết minh 11),Chuyển từ chi phí xây dựng cơbản đồ đang (Thuyết minh 11),43.385.554.106,199.411.422.054,615.000.000,8.768.157.984,-,252.180.134.144,43385554106.0,199411422054.0,615000000.0,8768157984.0,,252180134144.0
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(52.223.037.860),(187.275.106.293),(2.117.370.945),(1.310.320.649),(259.336.120),(243.185.171.867),-52223037860.0,-187275106293.0,-2117370945.0,-1310320649.0,-259336120.0,-243185171867.0
Tại ngày 31 tháng 12 năm 2019,Nguyên giá > Tại ngày 31 tháng 12 năm 2019,Tại ngày 31 tháng 12 năm 2019,707.271.381.828,3.629.137.647.292,249.428.650.014,15.530.538.756,725.753.480,4.602.093.971.370,707271381828.0,3629137647292.0,249428650014.0,15530538756.0,725753480.0,4602093971370.0
Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,,,,,,
Tại ngày 1 tháng 1 năm 2019,Giá trị khấu hao lũy kế > Tại ngày 1 tháng 1 năm 2019,Tại ngày 1 tháng 1 năm 2019,177.634.612.991,1.075.659.301.937,57.923.446.301,4.888.687.451,561.691.863,1.316.667.740.543,177634612991.0,1075659301937.0,57923446301.0,4888687451.0,561691863.0,1316667740543.0
Khấu hao trong năm,Giá trị khấu hao lũy kế > Khấu hao trong năm,Khấu hao trong năm,53.894.678.881,354.315.256.927,18.028.283.400,1.312.304.828,50.204.640,427.600.728.676,53894678881.0,354315256927.0,18028283400.0,1312304828.0,50204640.0,427600728676.0
"Thanh lý, nhượng bán","Giá trị khấu hao lũy kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(25.247.427.937),(162.731.159.638),(1.570.501.779),(1.310.320.649),(259.336.120),(191.118.746.123),-25247427937.0,-162731159638.0,-1570501779.0,-1310320649.0,-259336120.0,-191118746123.0
Tại ngày 31 tháng 12 năm 2019,Giá trị khấu hao lũy kế > Tại ngày 31 tháng 12 năm 2019,Tại ngày 31 tháng 12 năm 2019,206.281.863.935,1.267.243.399.226,74.381.227.922,4.890.671.630,352.560.383,1.553.149.723.096,206281863935.0,1267243399226.0,74381227922.0,4890671630.0,352560383.0,1553149723096.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Tại ngày 1 tháng 1 năm 2019,Giá trị còn lại > Tại ngày 1 tháng 1 năm 2019,Tại ngày 1 tháng 1 năm 2019,538.474.252.591,2.536.965.016.394,193.007.574.658,3.184.013.970,423.397.737,3.272.054.255.350,538474252591.0,2536965016394.0,193007574658.0,3184013970.0,423397737.0,3272054255350.0
Tại ngày 31 tháng 12 năm 2019,Giá trị còn lại > Tại ngày 31 tháng 12 năm 2019,Tại ngày 31 tháng 12 năm 2019,500.989.517.893,2.361.894.248.066,175.047.422.092,10.639.867.126,373.193.097,3.048.944.248.274,500989517893.0,2361894248066.0,175047422092.0,10639867126.0,373193097.0,3048944248274.0
