row_label_raw,row_label_full,Các bên liên quan,Mối quan hệ,Nội dung nghiệp vụ,Năm nay,Năm trước,numeric__Mối quan hệ,numeric__Nội dung nghiệp vụ,numeric__Năm nay,numeric__Năm trước
Công ty TNHH BT Hà Đông,Công ty TNHH BT Hà Đông,Công ty TNHH BT Hà Đông,Công ty liên kết,Góp vốn,-,1.847.571.000,,,,1847571000.0
Công ty TNHH Phát triển Đỗ thị HNB,Công ty TNHH Phát triển Đỗ thị HNB,Công ty TNHH Phát triển Đỗ thị HNB,Công ty liên kết,Góp vốn,-,10.000.000.000,,,,10000000000.0
Công ty Cổ phần Đầu tư Hà Phú Riverland,Công ty Cổ phần Đầu tư Hà Phú Riverland,Công ty Cổ phần Đầu tư Hà Phú Riverland,Công ty liên kết,Góp vốn,-,15.000.000.000,,,,15000000000.0
Công ty Cổ phần Abey Holdings,Công ty Cổ phần Abey Holdings,Công ty Cổ phần Abey Holdings,Bên liên quan khác,Doanh thu cung cấp dịch vụ,158.400.000,158.400.000,,,158400000.0,158400000.0
,,,,Thu hồi gốc cho vay,-,10.000.000.000,,,,10000000000.0
