row_label_raw,row_label_full,Lãi từ chuyển nhượng khoản đầu tư vào công ty con (Thuyết minh số 4.1),Năm nay > 174.184.283.397,Đơn vị tính: VND > Năm trước > -,numeric__Năm nay > 174.184.283.397,numeric__Đơn vị tính: VND > Năm trước > -
Lợi nhuận được chia từ hợp đồng hợp tác đầu tư,Lợi nhuận được chia từ hợp đồng hợp tác đầu tư,Lợi nhuận được chia từ hợp đồng hợp tác đầu tư,72.692.219.178,-,72692219178.0,
"Lãi tiền gửi, tiền cho vay","Lãi tiền gửi, tiền cho vay","Lãi tiền gửi, tiền cho vay",64.898.028.335,110.322.873.853,64898028335.0,110322873853.0
Doanh thu hoạt động tài chính khác,Doanh thu hoạt động tài chính khác,Doanh thu hoạt động tài chính khác,-,21.556.786,,21556786.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,311.774.530.910,110.344.430.639,311774530910.0,110344430639.0
