row_label_raw,row_label_full,col_0,Số cuối năm,Đơn vị tính: VND,numeric__Số cuối năm,numeric__Đơn vị tính: VND
Dự án Cần Khương – Cần Thơ (*),Dự án Cần Khương – Cần Thơ (*),Dự án Cần Khương – Cần Thơ (*),307.268.167.339,307.108.065.245,307268167339.0,307108065245.0
Dự án Lộc Bình – tỉnh Thừa Thiên Huế,Dự án Lộc Bình – tỉnh Thừa Thiên Huế,Dự án Lộc Bình – tỉnh Thừa Thiên Huế,144.414.495.319,140.235.153.609,144414495319.0,140235153609.0
Dự án Grandeur Palace – Mỹ Đình,Dự án Grandeur Palace – Mỹ Đình,Dự án Grandeur Palace – Mỹ Đình,83.103.844.170,78.562.134.584,83103844170.0,78562134584.0
Dự án Xuân Sơn Farmstay,Dự án Xuân Sơn Farmstay,Dự án Xuân Sơn Farmstay,35.600.595.942,-,35600595942.0,
Dự án Vlasta Sầm Sơn,Dự án Vlasta Sầm Sơn,Dự án Vlasta Sầm Sơn,-,243.638.154.003,,243638154003.0
Các dự án khác,Các dự án khác,Các dự án khác,88.262.820.989,97.081.577.439,88262820989.0,97081577439.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,658.649.923.759,866.625.084.880,658649923759.0,866625084880.0
