row_label_raw,row_label_full,Ngân hàng > Ngân hàng TMCP Ngoại thương Việt Nam - Chi nhánh Thủ Thiêm,Ngày 31 tháng 12 năm2024(VND) > 744.863.391.340,Kỳ hạn trả gốc và lãi > Gốc được thanh toán 6 tháng một lần từ tháng 11 năm 2024 đến tháng 5 năm 2028. Lãi được thanh toán một lần vào thời điểm đáo hạn.,"Lãi suất(%/năm) > 8,18%",Hình thốcdẩm bảo > (iii),numeric__Ngày 31 tháng 12 năm2024(VND) > 744.863.391.340,numeric__Kỳ hạn trả gốc và lãi > Gốc được thanh toán 6 tháng một lần từ tháng 11 năm 2024 đến tháng 5 năm 2028. Lãi được thanh toán một lần vào thời điểm đáo hạn.,"numeric__Lãi suất(%/năm) > 8,18%",numeric__Hình thốcdẩm bảo > (iii)
Trong đó: Vay dài hạn đến hạn trả,Trong đó: Vay dài hạn đến hạn trả,Trong đó: Vay dài hạn đến hạn trả,119.570.000.000,,,,119570000000.0,,,
Ngân hàng TNHH Indovina – Chi nhánh Thiên Long,Ngân hàng TNHH Indovina – Chi nhánh Thiên Long,Ngân hàng TNHH Indovina – Chi nhánh Thiên Long,480.402.758.665,Gốc được thanh toán 6 tháng một lần từ tháng 6 năm 2023 đến tháng 11 năm 2028. Lãi được thanh toán 3 tháng một lần từ tháng 3 đến tháng 12 năm 2028.,"10,95%",(iii),480402758665.0,,0.10949999999999999,
Trong đó: Vay dài hạn đến hạn trả,Trong đó: Vay dài hạn đến hạn trả,Trong đó: Vay dài hạn đến hạn trả,60.268.000.000,,,,60268000000.0,,,
Ngân hàng TMCP Quân Đội – Chi nhánh Trần Duy Hưng,Ngân hàng TMCP Quân Đội – Chi nhánh Trần Duy Hưng,Ngân hàng TMCP Quân Đội – Chi nhánh Trần Duy Hưng,88.793.185.663,Gốc vay thanh toán 3 tháng một lần từ sau thời gian ăn hạn gốc tháng 10 năm 2024 tới tháng 10 năm 2026. Lãi thanh toán hàng tháng.,"9,1% - 10,52%",(iv),88793185663.0,,,
Trong đó: Vay dài hạn đến hạn trả,Trong đó: Vay dài hạn đến hạn trả,Trong đó: Vay dài hạn đến hạn trả,44.396.592.832,,,,44396592832.0,,,
Ngân hàng TMCP Quân đội – Chi nhánh Điện Biên Phú,Ngân hàng TMCP Quân đội – Chi nhánh Điện Biên Phú,Ngân hàng TMCP Quân đội – Chi nhánh Điện Biên Phú,284.250.334.875,Gốc được thanh toán 6 tháng 1 lần kể từ tháng 4 năm 2022 đến tháng 10 năm 2036. Lãi thanh toán 3 tháng/lần.,"8,8%",(v),284250334875.0,,0.08800000000000001,
Ngân hàng TMCP Việt Nam Thịnh Vượng – Hội sở chính,Ngân hàng TMCP Việt Nam Thịnh Vượng – Hội sở chính,Ngân hàng TMCP Việt Nam Thịnh Vượng – Hội sở chính,125.067.728.191,Gốc được thanh toán 6 tháng 1 lần từ tháng 3 năm 2023 đến tháng 3 năm 2025. Lãi được thanh toán hàng tháng.,"11,1% - 11,8%",(ii),125067728191.0,,,
Trong đó: Vay dài hạn đến hạn trả,Trong đó: Vay dài hạn đến hạn trả,Trong đó: Vay dài hạn đến hạn trả,125.067.728.191,,,,125067728191.0,,,
Ngân hàng TMCP Việt Nam Thịnh Vượng – Hội sở chính,Ngân hàng TMCP Việt Nam Thịnh Vượng – Hội sở chính,Ngân hàng TMCP Việt Nam Thịnh Vượng – Hội sở chính,73.607.000.000,Gốc được thanh toán 6 tháng 1 lần từ tháng 3 năm 2024 đến tháng 4 năm 2026. Lãi được thanh toán hàng tháng.,"11,8%",(vi),73607000000.0,,0.11800000000000001,
Trong đó: Vay dài hạn đến hạn trả,Trong đó: Vay dài hạn đến hạn trả,Trong đó: Vay dài hạn đến hạn trả,49.070.000.000,,,,49070000000.0,,,
