row_label_raw,row_label_full,col_0,Số cuối năm,Đơn vị tính: VND > Số đầu năm,numeric__Số cuối năm,numeric__Đơn vị tính: VND > Số đầu năm
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,
Phải thu từ chuyển nhượng bất động sản,Ngắn hạn > Phải thu từ chuyển nhượng bất động sản,Phải thu từ chuyển nhượng bất động sản,47.927.984.648,51.683.732.159,47927984648.0,51683732159.0
Phải thu từ hoạt động khác,Ngắn hạn > Phải thu từ hoạt động khác,Phải thu từ hoạt động khác,131.505.955.759,51.642.337.683,131505955759.0,51642337683.0
- Công ty TNHH MTV Đầu tư Hùng Sơn,Ngắn hạn > - Công ty TNHH MTV Đầu tư Hùng Sơn,- Công ty TNHH MTV Đầu tư Hùng Sơn,76.250.937.921,-,76250937921.0,
- Phải thu khách hàng khác,Ngắn hạn > - Phải thu khách hàng khác,- Phải thu khách hàng khác,55.255.017.838,51.642.337.683,55255017838.0,51642337683.0
TỔNG CỘNG,Ngắn hạn > TỔNG CỘNG,TỔNG CỘNG,179.433.940.407,103.326.069.842,179433940407.0,103326069842.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Phải thu ngắn hạn từ bên liên quan(Thuyết minh số 34),Trong đó: > Phải thu ngắn hạn từ bên liên quan(Thuyết minh số 34),Phải thu ngắn hạn từ bên liên quan(Thuyết minh số 34),437.969.001,263.729.001,437969001.0,263729001.0
Phải thu ngắn hạn từ các bên khác,Trong đó: > Phải thu ngắn hạn từ các bên khác,Phải thu ngắn hạn từ các bên khác,178.995.971.406,103.062.340.841,178995971406.0,103062340841.0
Dự phòng phải thu ngắn hạn khó đòi,Trong đó: > Dự phòng phải thu ngắn hạn khó đòi,Dự phòng phải thu ngắn hạn khó đòi,(29.952.027.757),(41.099.579.034),-29952027757.0,-41099579034.0
Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,,
Phải thu hoạt động khác từ Công ty TNHH Hồ Tây Một Thành Viên,Dài hạn > Phải thu hoạt động khác từ Công ty TNHH Hồ Tây Một Thành Viên,Phải thu hoạt động khác từ Công ty TNHH Hồ Tây Một Thành Viên,3.378.885.790,11.976.673.775,3378885790.0,11976673775.0
TỔNG CỘNG,Dài hạn > TỔNG CỘNG,TỔNG CỘNG,3.378.885.790,11.976.673.775,3378885790.0,11976673775.0
