row_label_raw,row_label_full,col_0,Công ty Cổ phần Đầu tư và Phát triển Thương mại Văn Phú,Công ty Cổ phần Đầu tư BOT Hà Nội - Bắc Giang,Công ty Cổ phần In và Văn hóa phẩm,Công ty TNHH BT Hà Đồng,Công ty Cổ phần Đầu tư Phong Phú,Công ty Cổ phần Đầu tư Hà Phú Riverland,Công ty TNHH Đầu tư Phát triển Đỏ thị Cần Thơ,Công ty TNHH An Biên Golf and Resort,Công ty Cổ phần Logistics LSH,Công ty TNHH Phát triển Đỏ thị HNB,Tổng cộng,numeric__Công ty Cổ phần Đầu tư và Phát triển Thương mại Văn Phú,numeric__Công ty Cổ phần Đầu tư BOT Hà Nội - Bắc Giang,numeric__Công ty Cổ phần In và Văn hóa phẩm,numeric__Công ty TNHH BT Hà Đồng,numeric__Công ty Cổ phần Đầu tư Phong Phú,numeric__Công ty Cổ phần Đầu tư Hà Phú Riverland,numeric__Công ty TNHH Đầu tư Phát triển Đỏ thị Cần Thơ,numeric__Công ty TNHH An Biên Golf and Resort,numeric__Công ty Cổ phần Logistics LSH,numeric__Công ty TNHH Phát triển Đỏ thị HNB,numeric__Tổng cộng
Giá trị đầu tư:,Giá trị đầu tư:,Giá trị đầu tư:,Giá trị đầu tư:,Giá trị đầu tư:,Giá trị đầu tư:,Giá trị đầu tư:,Giá trị đầu tư:,Giá trị đầu tư:,Giá trị đầu tư:,Giá trị đầu tư:,Giá trị đầu tư:,Giá trị đầu tư:,Giá trị đầu tư:,,,,,,,,,,,
Số đầu năm,Giá trị đầu tư: > Số đầu năm,Số đầu năm,278.006.400.000,163.786.400.000,33.777.503.175,58.394.357.097,187.500.000.000,90.000.000.000,367.500.000.000,202.370.000.000,244.800.000.000,10.000.000.000,1.636.134.660.272,278006400000.0,163786400000.0,33777503175.0,58394357097.0,187500000000.0,90000000000.0,367500000000.0,202370000000.0,244800000000.0,10000000000.0,1636134660272.0
- Thay đổi do thoái vốn,Giá trị đầu tư: > - Thay đổi do thoái vốn,- Thay đổi do thoái vốn,-,-,-,-,-,-,-,(202.370.000.000),-,-,(202.370.000.000),,,,,,,,-202370000000.0,,,-202370000000.0
Số cuối năm,Giá trị đầu tư: > Số cuối năm,Số cuối năm,278.006.400.000,163.786.400.000,33.777.503.175,58.394.357.097,187.500.000.000,90.000.000.000,367.500.000.000,-,244.800.000.000,10.000.000.000,1.433.764.660.272,278006400000.0,163786400000.0,33777503175.0,58394357097.0,187500000000.0,90000000000.0,367500000000.0,,244800000000.0,10000000000.0,1433764660272.0
"Phần chia lãi/lỗi sau khì mua công ty liên doanh, liên kết:","Phần chia lãi/lỗi sau khì mua công ty liên doanh, liên kết:","Phần chia lãi/lỗi sau khì mua công ty liên doanh, liên kết:","Phần chia lãi/lỗi sau khì mua công ty liên doanh, liên kết:","Phần chia lãi/lỗi sau khì mua công ty liên doanh, liên kết:","Phần chia lãi/lỗi sau khì mua công ty liên doanh, liên kết:","Phần chia lãi/lỗi sau khì mua công ty liên doanh, liên kết:","Phần chia lãi/lỗi sau khì mua công ty liên doanh, liên kết:","Phần chia lãi/lỗi sau khì mua công ty liên doanh, liên kết:","Phần chia lãi/lỗi sau khì mua công ty liên doanh, liên kết:","Phần chia lãi/lỗi sau khì mua công ty liên doanh, liên kết:","Phần chia lãi/lỗi sau khì mua công ty liên doanh, liên kết:","Phần chia lãi/lỗi sau khì mua công ty liên doanh, liên kết:","Phần chia lãi/lỗi sau khì mua công ty liên doanh, liên kết:",,,,,,,,,,,
Số đầu năm,"Phần chia lãi/lỗi sau khì mua công ty liên doanh, liên kết: > Số đầu năm",Số đầu năm,751.407.892,100.244.946.882,(3.227.385.732),-,(2.906.202.214),(1.046.449.900),11.962.861.416,576.493.606,60.395.921,32.562.625,106.448.630.496,751407892.0,100244946882.0,-3227385732.0,,-2906202214.0,-1046449900.0,11962861416.0,576493606.0,60395921.0,32562625.0,106448630496.0
- Thay đổi do thoái vốn,"Phần chia lãi/lỗi sau khì mua công ty liên doanh, liên kết: > - Thay đổi do thoái vốn",- Thay đổi do thoái vốn,-,-,-,-,-,-,-,(576.493.606),-,-,(576.493.606),,,,,,,,-576493606.0,,,-576493606.0
- Cổ tức lợi nhuận được chia,"Phần chia lãi/lỗi sau khì mua công ty liên doanh, liên kết: > - Cổ tức lợi nhuận được chia",- Cổ tức lợi nhuận được chia,(700.000.000),-,-,-,-,-,-,-,-,-,(700.000.000),-700000000.0,,,,,,,,,,-700000000.0
"- Phần lãi/lỗi từ công ty liên doanh, liên kết","Phần chia lãi/lỗi sau khì mua công ty liên doanh, liên kết: > - Phần lãi/lỗi từ công ty liên doanh, liên kết","- Phần lãi/lỗi từ công ty liên doanh, liên kết",914.536.642,53.483.777.238,175.892.871,-,(964.921.433),(396.841.244),95.186.919,-,8.451.242,-,53.316.082.235,914536642.0,53483777238.0,175892871.0,,-964921433.0,-396841244.0,95186919.0,,8451242.0,,53316082235.0
Số cuối năm,"Phần chia lãi/lỗi sau khì mua công ty liên doanh, liên kết: > Số cuối năm",Số cuối năm,965.944.534,153.728.724.120,(3.051.492.861),-,(3.871.123.647),(1.443.291.144),12.058.048.335,-,68.847.163,32.562.625,158.488.219.125,965944534.0,153728724120.0,-3051492861.0,,-3871123647.0,-1443291144.0,12058048335.0,,68847163.0,32562625.0,158488219125.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,,,,,,
Số đầu năm,Giá trị còn lại > Số đầu năm,Số đầu năm,278.757.807.892,264.031.346.882,30.550.117.443,58.394.357.097,184.593.797.786,88.953.550.100,379.462.861.416,202.946.493.606,244.860.395.921,10.032.562.625,1.742.583.290.768,278757807892.0,264031346882.0,30550117443.0,58394357097.0,184593797786.0,88953550100.0,379462861416.0,202946493606.0,244860395921.0,10032562625.0,1742583290768.0
Số cuối năm,Giá trị còn lại > Số cuối năm,Số cuối năm,278.972.344.534,317.515.124.120,30.726.010.314,58.394.357.097,183.628.876.353,88.556.708.856,379.558.048.335,-,244.868.847.163,10.032.562.625,1.592.252.879.397,278972344534.0,317515124120.0,30726010314.0,58394357097.0,183628876353.0,88556708856.0,379558048335.0,,244868847163.0,10032562625.0,1592252879397.0
