row_label_raw,row_label_full,col_0,Thuyết minh,Số đầu năm > Giá trị,Số đầu năm > Số có khả năng trả nợ,Số phát sinh trong năm > Tăng,Số phát sinh trong năm > Giảm,Số cuối năm > Giá trị,Số cuối năm > Số có khả năng trả nợ,numeric__Thuyết minh,numeric__Số đầu năm > Giá trị,numeric__Số đầu năm > Số có khả năng trả nợ,numeric__Số phát sinh trong năm > Tăng,numeric__Số phát sinh trong năm > Giảm,numeric__Số cuối năm > Giá trị,numeric__Số cuối năm > Số có khả năng trả nợ
Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,,,,,,,
Vay ngắn hạn ngân hàng,Vay ngắn hạn > Vay ngắn hạn ngân hàng,Vay ngắn hạn ngân hàng,24.1,149.890.843.976,149.890.843.976,338.291.148.736,(304.964.531.079),183.217.461.633,183.217.461.633,241.0,149890843976.0,149890843976.0,338291148736.0,-304964531079.0,183217461633.0,183217461633.0
Vay ngân hàng dài hạn đến hạn trả,Vay ngắn hạn > Vay ngân hàng dài hạn đến hạn trả,Vay ngân hàng dài hạn đến hạn trả,24.2,782.736.551.620,782.736.551.620,711.834.211.460,(816.277.671.456),678.293.091.624,678.293.091.624,242.0,782736551620.0,782736551620.0,711834211460.0,-816277671456.0,678293091624.0,678293091624.0
Vay đối tượng khác,Vay ngắn hạn > Vay đối tượng khác,Vay đối tượng khác,24.3,28.900.000.000,28.900.000.000,299.407.499.988,(185.000.000.000),143.307.499.988,143.307.499.988,243.0,28900000000.0,28900000000.0,299407499988.0,-185000000000.0,143307499988.0,143307499988.0
Trái phiếu phát hành dài hạn đến hạn trả,Vay ngắn hạn > Trái phiếu phát hành dài hạn đến hạn trả,Trái phiếu phát hành dài hạn đến hạn trả,24.4,402.981.832.373,402.981.832.373,241.251.120.185,(403.900.000.000),240.332.952.558,240.332.952.558,244.0,402981832373.0,402981832373.0,241251120185.0,-403900000000.0,240332952558.0,240332952558.0
Trái phiếu chuyển đổi dài hạn đến hạn trả,Vay ngắn hạn > Trái phiếu chuyển đổi dài hạn đến hạn trả,Trái phiếu chuyển đổi dài hạn đến hạn trả,24.5,731.140.249.737,731.140.249.737,67.621.000.251,(798.761.249.988),-,-,245.0,731140249737.0,731140249737.0,67621000251.0,-798761249988.0,,
Vay bên liên quan,Vay ngắn hạn > Vay bên liên quan,Vay bên liên quan,34,-,-,7.040.000.000,-,7.040.000.000,7.040.000.000,34.0,,,7040000000.0,,7040000000.0,7040000000.0
,,,,2.095.649.477.706,2.095.649.477.706,1.665.444.980.620,(2.508.903.452.523),1.252.191.005.803,1.252.191.005.803,,2095649477706.0,2095649477706.0,1665444980620.0,-2508903452523.0,1252191005803.0,1252191005803.0
Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,,,,,,,
Vay ngân hàng,Vay dài hạn > Vay ngân hàng,Vay ngân hàng,24.2,2.437.943.205.849,2.437.943.205.849,625.107.831.355,(831.050.488.226),2.232.000.548.978,2.232.000.548.978,242.0,2437943205849.0,2437943205849.0,625107831355.0,-831050488226.0,2232000548978.0,2232000548978.0
Vay dài hạn đối tượng khác,Vay dài hạn > Vay dài hạn đối tượng khác,Vay dài hạn đối tượng khác,24.3,583.950.000.000,583.950.000.000,35.235.000.000,(590.270.000.000),28.915.000.000,28.915.000.000,243.0,583950000000.0,583950000000.0,35235000000.0,-590270000000.0,28915000000.0,28915000000.0
Trái phiếu phát hành,Vay dài hạn > Trái phiếu phát hành,Trái phiếu phát hành,24.4,240.933.626.278,240.933.626.278,1.037.615.936.935,(242.832.952.558),1.035.716.610.655,1.035.716.610.655,244.0,240933626278.0,240933626278.0,1037615936935.0,-242832952558.0,1035716610655.0,1035716610655.0
,,,,3.262.826.832.127,3.262.826.832.127,1.697.958.768.290,(1.664.153.440.784),3.296.632.159.633,3.296.632.159.633,,3262826832127.0,3262826832127.0,1697958768290.0,-1664153440784.0,3296632159633.0,3296632159633.0
TỔNG CỘNG,Vay dài hạn > TỔNG CỘNG,TỔNG CỘNG,,5.358.476.309.833,5.358.476.309.833,3.363.403.748.910,(4.173.056.893.307),4.548.823.165.436,4.548.823.165.436,,5358476309833.0,5358476309833.0,3363403748910.0,-4173056893307.0,4548823165436.0,4548823165436.0
