row_label_raw,row_label_full,col_0,Bảng cân đối kế toán hợp nhất,Bảng cân đối kế toán hợp nhất_1,Báo cáo kết quả hoạt động kinh doanh hợp nhất,Báo cáo kết quả hoạt động kinh doanh hợp nhất_1,numeric__Bảng cân đối kế toán hợp nhất,numeric__Bảng cân đối kế toán hợp nhất_1,numeric__Báo cáo kết quả hoạt động kinh doanh hợp nhất,numeric__Báo cáo kết quả hoạt động kinh doanh hợp nhất_1
,,,Số cuối năm,Số đầu năm,Năm nay,Năm trước,,,,
Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,,,,
Thuế TNDN tạm nộp,Tài sản thuế thu nhập hoãn lại > Thuế TNDN tạm nộp,Thuế TNDN tạm nộp,903.092.469,3.347.273.271,(1.909.809.022),(20.074.529.394),903092469.0,3347273271.0,-1909809022.0,-20074529394.0
Dự phòng hàng tồn kho,Tài sản thuế thu nhập hoãn lại > Dự phòng hàng tồn kho,Dự phòng hàng tồn kho,68.131.565.136,54.168.262.683,13.963.302.453,28.246.880.164,68131565136.0,54168262683.0,13963302453.0,28246880164.0
Chi phí lãi vay được vốn hóa theo biên bản thanh tra thuế,Tài sản thuế thu nhập hoãn lại > Chi phí lãi vay được vốn hóa theo biên bản thanh tra thuế,Chi phí lãi vay được vốn hóa theo biên bản thanh tra thuế,14.422.892.501,-,14.422.892.501,-,14422892501.0,,14422892501.0,
Chi phí tư vấn,Tài sản thuế thu nhập hoãn lại > Chi phí tư vấn,Chi phí tư vấn,4.754.712.935,7.319.562.848,(2.564.849.913),1.431.562.848,4754712935.0,7319562848.0,-2564849913.0,1431562848.0
"Chi phí phân bổ công cụ, dụng cụ","Tài sản thuế thu nhập hoãn lại > Chi phí phân bổ công cụ, dụng cụ","Chi phí phân bổ công cụ, dụng cụ",280.907.490,324.786.970,(43.879.480),(43.879.480),280907490.0,324786970.0,-43879480.0,-43879480.0
Lợi nhuận chưa thực hiện,Tài sản thuế thu nhập hoãn lại > Lợi nhuận chưa thực hiện,Lợi nhuận chưa thực hiện,26.492.551.378,26.649.869.448,(157.318.070),23.608.302.196,26492551378.0,26649869448.0,-157318070.0,23608302196.0
,,,114.985.721.909,91.809.755.220,,,114985721909.0,91809755220.0,,
Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,,,,
"Chi phí phân bổ công cụ, dụng cụ","Thuế thu nhập hoãn lại phải trả > Chi phí phân bổ công cụ, dụng cụ","Chi phí phân bổ công cụ, dụng cụ",(6.175.062.259),(10.265.985.499),4.090.923.240,4.462.436.555,-6175062259.0,-10265985499.0,4090923240.0,4462436555.0
Chi phí lãi trái phiếu chuyển đổi,Thuế thu nhập hoãn lại phải trả > Chi phí lãi trái phiếu chuyển đổi,Chi phí lãi trái phiếu chuyển đổi,-,(5.844.471.989),5.844.471.989,6.166.236.819,,-5844471989.0,5844471989.0,6166236819.0
Chi phí lãi vay vốn hóa,Thuế thu nhập hoãn lại phải trả > Chi phí lãi vay vốn hóa,Chi phí lãi vay vốn hóa,(15.328.109.753),(3.675.510.289),(11.652.599.464),4.369.284.232,-15328109753.0,-3675510289.0,-11652599464.0,4369284232.0
,,,(21.503.172.012),(19.785.967.777),,,-21503172012.0,-19785967777.0,,
Tài sản thuế thu nhập hoãn lại thuần,Thuế thu nhập hoãn lại phải trả > Tài sản thuế thu nhập hoãn lại thuần,Tài sản thuế thu nhập hoãn lại thuần,93.482.549.897,72.023.787.443,,,93482549897.0,72023787443.0,,
Thu nhập thuế thu nhập hoãn lại tỉnh vào báo cáo kết quả hoạt động kinh doanh hợp nhất,Thuế thu nhập hoãn lại phải trả > Thu nhập thuế thu nhập hoãn lại tỉnh vào báo cáo kết quả hoạt động kinh doanh hợp nhất,Thu nhập thuế thu nhập hoãn lại tỉnh vào báo cáo kết quả hoạt động kinh doanh hợp nhất,,,21.993.134.234,48.166.293.940,,,21993134234.0,48166293940.0
