row_label_raw,row_label_full,col_0,Năm nay,Đơn vị tính: VND > Năm trước,numeric__Năm nay,numeric__Đơn vị tính: VND > Năm trước
Thu nhập khác,Thu nhập khác,Thu nhập khác,Thu nhập khác,Thu nhập khác,,
"Tiền phạt, bồi thường thu được","Thu nhập khác > Tiền phạt, bồi thường thu được","Tiền phạt, bồi thường thu được",1.564.057.720,12.195.499.558,1564057720.0,12195499558.0
Các khoản khác,Thu nhập khác > Các khoản khác,Các khoản khác,843.869.691,731.664.205,843869691.0,731664205.0
,,,2.407.927.411,12.927.163.763,2407927411.0,12927163763.0
Chi phí khác,Chi phí khác,Chi phí khác,Chi phí khác,Chi phí khác,,
"Chi phí tài trợ, ứng hộ","Chi phí khác > Chi phí tài trợ, ứng hộ","Chi phí tài trợ, ứng hộ",2.000.000.000,70.000.000,2000000000.0,70000000.0
"Chi phí phạt, bồi thường","Chi phí khác > Chi phí phạt, bồi thường","Chi phí phạt, bồi thường",4.181.740.453,7.354.132.238,4181740453.0,7354132238.0
Các khoản khác,Chi phí khác > Các khoản khác,Các khoản khác,2.477.376.693,2.534.939.696,2477376693.0,2534939696.0
,,,8.659.117.146,9.959.071.934,8659117146.0,9959071934.0
(Lỗ)/LỢI NHUẬN KHÁC,Chi phí khác > (Lỗ)/LỢI NHUẬN KHÁC,(Lỗ)/LỢI NHUẬN KHÁC,(6.251.189.735),2.968.091.829,-6251189735.0,2968091829.0
