row_label_raw,row_label_full,col_0,Số cuối năm(VND),Kỳ hạn trả gốc và lãi,Lãi suất(%/năm),numeric__Số cuối năm(VND),numeric__Kỳ hạn trả gốc và lãi,numeric__Lãi suất(%/năm)
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,,
Vay ngắn hạn từ Công ty Cổ phần,Ngắn hạn > Vay ngắn hạn từ Công ty Cổ phần,Vay ngắn hạn từ Công ty Cổ phần,28.900.000.000,Gốc và lãi vay đáo hạn vào tháng 12 năm 2025.,"9,3%",28900000000.0,,0.09300000000000001
Tư vấn Đầu tư Xây dựng Bắc Ái,Tư vấn Đầu tư Xây dựng Bắc Ái,Tư vấn Đầu tư Xây dựng Bắc Ái,,,,,,
Vay ngắn hạn từ các cá nhân,Tư vấn Đầu tư Xây dựng Bắc Ái > Vay ngắn hạn từ các cá nhân,Vay ngắn hạn từ các cá nhân,81.257.499.988,"Kỳ hạn trả gốc là 12 tháng theo từng hợp đồng, lãi được trả cùng gốc khi đáo hạn. Thời gian đáo hạn từ tháng 11 đến tháng 12 năm 2025",12%,81257499988.0,,0.12
Các khoản vay cá nhân dài hạn đến hạn trả,Tư vấn Đầu tư Xây dựng Bắc Ái > Các khoản vay cá nhân dài hạn đến hạn trả,Các khoản vay cá nhân dài hạn đến hạn trả,33.150.000.000,,,33150000000.0,,
TỔNG CỘNG,Tư vấn Đầu tư Xây dựng Bắc Ái > TỔNG CỘNG,TỔNG CỘNG,143.307.499.988,,,143307499988.0,,
Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,,,
Vay dài hạn từ các cá nhân,Dài hạn > Vay dài hạn từ các cá nhân,Vay dài hạn từ các cá nhân,28.915.000.000,"Kỳ hạn trả gốc là từ 24 tháng đến 60 tháng theo từng hợp đồng, lãi được trả cùng gốc khi đáo hạn. Thời gian đáo hạn từ tháng 1 năm 2026 đến tháng 12 năm 2029.",10% - 12%,28915000000.0,,
TỔNG CỘNG,Dài hạn > TỔNG CỘNG,TỔNG CỘNG,28.915.000.000,,,28915000000.0,,
