row_label_raw,row_label_full,col_0,Giá gốc và số có khả năng trả nợ,Giá gốc và số có khả năng trả nợ_1,numeric__Giá gốc và số có khả năng trả nợ,numeric__Giá gốc và số có khả năng trả nợ_1
,,,31/12/2017VND,1/1/2017VND,,
Phải trả các công ty con,Phải trả các công ty con,Phải trả các công ty con,Phải trả các công ty con,Phải trả các công ty con,,
Công ty CP Hà Đô 1,Phải trả các công ty con > Công ty CP Hà Đô 1,Công ty CP Hà Đô 1,11.256.077.883,9.435.629.496,11256077883.0,9435629496.0
Công ty CP Cơ điện Xây dựng Thiết bị Công nghiệp Hà Đô,Phải trả các công ty con > Công ty CP Cơ điện Xây dựng Thiết bị Công nghiệp Hà Đô,Công ty CP Cơ điện Xây dựng Thiết bị Công nghiệp Hà Đô,7.079.086.647,12.307.376.028,7079086647.0,12307376028.0
Công ty CP Hà Đô 4,Phải trả các công ty con > Công ty CP Hà Đô 4,Công ty CP Hà Đô 4,-,2.658.862.234,,2658862234.0
Công ty Cổ phần Hà Đô 23,Phải trả các công ty con > Công ty Cổ phần Hà Đô 23,Công ty Cổ phần Hà Đô 23,5.697.784.737,-,5697784737.0,
Cty TNHH MTV Quản lý - Vận hành - Khai thácBắt động sản Hà Đô,Phải trả các công ty con > Cty TNHH MTV Quản lý - Vận hành - Khai thácBắt động sản Hà Đô,Cty TNHH MTV Quản lý - Vận hành - Khai thácBắt động sản Hà Đô,2.065.175.369,4.198.709.620,2065175369.0,4198709620.0
Cty TNHH MTV Quản lý và Kinh doanh Bắt động sảnHà Đô,Phải trả các công ty con > Cty TNHH MTV Quản lý và Kinh doanh Bắt động sảnHà Đô,Cty TNHH MTV Quản lý và Kinh doanh Bắt động sảnHà Đô,60.002,-,60002.0,
,,,26.098.184.638,28.600.577.378,26098184638.0,28600577378.0
Phải trả bên thứ ba,Phải trả các công ty con > Phải trả bên thứ ba,Phải trả bên thứ ba,18.735.043.961,28.109.192.791,18735043961.0,28109192791.0
,,,44.833.228.599,56.709.770.169,44833228599.0,56709770169.0
