row_label_raw,row_label_full,col_0,1/1/2017Giá trị ghi sổ và sốcó khả năng trả nợVND,1/1/2017Giá trị ghi sổ và sốcó khả năng trả nợVND_1,Biến động trong năm > TăngVND,Biến động trong năm > GiảmVND,31/12/2017Giá trị ghi sổ và sốcó khả năng trả nợVND,31/12/2017Giá trị ghi sổ và sốcó khả năng trả nợVND_1,numeric__1/1/2017Giá trị ghi sổ và sốcó khả năng trả nợVND,numeric__1/1/2017Giá trị ghi sổ và sốcó khả năng trả nợVND_1,numeric__Biến động trong năm > TăngVND,numeric__Biến động trong năm > GiảmVND,numeric__31/12/2017Giá trị ghi sổ và sốcó khả năng trả nợVND,numeric__31/12/2017Giá trị ghi sổ và sốcó khả năng trả nợVND_1
Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,283.283.164.867,283.283.164.867,341.069.973.121,(193.147.886.193),431.205.251.795,431.205.251.795,283283164867.0,283283164867.0,341069973121.0,-193147886193.0,431205251795.0,431205251795.0
Vay dài hạn đến hạn trả (Thuyết minh 22(b)),Vay dài hạn đến hạn trả (Thuyết minh 22(b)),Vay dài hạn đến hạn trả (Thuyết minh 22(b)),6.190.000.000,6.190.000.000,3.816.000.000,(6.190.000.000),3.816.000.000,3.816.000.000,6190000000.0,6190000000.0,3816000000.0,-6190000000.0,3816000000.0,3816000000.0
,,,289.473.164.867,289.473.164.867,344.885.973.121,(199.337.886.193),435.021.251.795,435.021.251.795,289473164867.0,289473164867.0,344885973121.0,-199337886193.0,435021251795.0,435021251795.0
Điều khoản và điều kiện của các khoản vay ngắn hạn hiện còn số dư như sau:,Điều khoản và điều kiện của các khoản vay ngắn hạn hiện còn số dư như sau:,Điều khoản và điều kiện của các khoản vay ngắn hạn hiện còn số dư như sau:,Điều khoản và điều kiện của các khoản vay ngắn hạn hiện còn số dư như sau:,Điều khoản và điều kiện của các khoản vay ngắn hạn hiện còn số dư như sau:,Điều khoản và điều kiện của các khoản vay ngắn hạn hiện còn số dư như sau:,Điều khoản và điều kiện của các khoản vay ngắn hạn hiện còn số dư như sau:,Điều khoản và điều kiện của các khoản vay ngắn hạn hiện còn số dư như sau:,Điều khoản và điều kiện của các khoản vay ngắn hạn hiện còn số dư như sau:,,,,,,
,,,Thuyếtminh,Loại tiền,Lãi suất năm,31/12/2017VND,1/1/2017VND,1/1/2017VND,,,,,,
Vay cá nhân,Điều khoản và điều kiện của các khoản vay ngắn hạn hiện còn số dư như sau: > Vay cá nhân,Vay cá nhân,(i),VND,"8,5%",50.881.371.589,79.583.671.667,79.583.671.667,,,0.085,50881371589.0,79583671667.0,79583671667.0
Vay Ngân hàng TMCP Ngoại thương Việt Nam – Chi nhánh Đông Anh,Điều khoản và điều kiện của các khoản vay ngắn hạn hiện còn số dư như sau: > Vay Ngân hàng TMCP Ngoại thương Việt Nam – Chi nhánh Đông Anh,Vay Ngân hàng TMCP Ngoại thương Việt Nam – Chi nhánh Đông Anh,,VND,"7,5% - 8%",-,699.493.200,699.493.200,,,,,699493200.0,699493200.0
Vay từ công ty con – Công ty CP Đầu tư Khánh Hà,Điều khoản và điều kiện của các khoản vay ngắn hạn hiện còn số dư như sau: > Vay từ công ty con – Công ty CP Đầu tư Khánh Hà,Vay từ công ty con – Công ty CP Đầu tư Khánh Hà,(ii),VND,"6,8%",61.323.880.206,108.000.000.000,108.000.000.000,,,0.068,61323880206.0,108000000000.0,108000000000.0
Vay từ công ty con – Công ty CP Thủy điện Sông Tranh 4,Điều khoản và điều kiện của các khoản vay ngắn hạn hiện còn số dư như sau: > Vay từ công ty con – Công ty CP Thủy điện Sông Tranh 4,Vay từ công ty con – Công ty CP Thủy điện Sông Tranh 4,(ii),VND,"4,5%",80.000.000.000,95.000.000.000,95.000.000.000,,,0.045,80000000000.0,95000000000.0,95000000000.0
Vay từ công ty con – Công ty CP Hà Đô 756,Điều khoản và điều kiện của các khoản vay ngắn hạn hiện còn số dư như sau: > Vay từ công ty con – Công ty CP Hà Đô 756,Vay từ công ty con – Công ty CP Hà Đô 756,(ii),VND,"4,3%",175.000.000.000,-,-,,,0.043,175000000000.0,,
Vay từ công ty con – Công ty TNHH MTV Quản lý - Vận hành -Khai thác Bất động sản Hà Đô,Điều khoản và điều kiện của các khoản vay ngắn hạn hiện còn số dư như sau: > Vay từ công ty con – Công ty TNHH MTV Quản lý - Vận hành -Khai thác Bất động sản Hà Đô,Vay từ công ty con – Công ty TNHH MTV Quản lý - Vận hành -Khai thác Bất động sản Hà Đô,(ii),VND,"7% - 7,5%",7.000.000.000,-,-,,,,7000000000.0,,
"Công ty CP Đầu tư IP Việt Nam, một bên liên quan","Điều khoản và điều kiện của các khoản vay ngắn hạn hiện còn số dư như sau: > Công ty CP Đầu tư IP Việt Nam, một bên liên quan","Công ty CP Đầu tư IP Việt Nam, một bên liên quan",(iii),VND,5%,57.000.000.000,-,-,,,0.05,57000000000.0,,
,,,,,,431.205.251.795,283.283.164.867,283.283.164.867,,,,431205251795.0,283283164867.0,283283164867.0
