row_label_raw,row_label_full,col_0,Vốn cổ phần VND,Thặng dư vốn cổ phần VND,Cổ phiếu quỹ VND,Quỹ đầu tư phát triển VND,Lợi nhuận chưa phân phối VND,Tổng cộng VND,numeric__Vốn cổ phần VND,numeric__Thặng dư vốn cổ phần VND,numeric__Cổ phiếu quỹ VND,numeric__Quỹ đầu tư phát triển VND,numeric__Lợi nhuận chưa phân phối VND,numeric__Tổng cộng VND
Số dư tại ngày 1/1/2016,Số dư tại ngày 1/1/2016,Số dư tại ngày 1/1/2016,684.118.840.000,-,(8.560.000),23.516.835.886,162.423.566.594,870.050.682.480,684118840000.0,,-8560000.0,23516835886.0,162423566594.0,870050682480.0
Phát hành cổ phiếu thường,Phát hành cổ phiếu thường,Phát hành cổ phiếu thường,69.046.560.000,-,-,-,(69.046.560.000),-,69046560000.0,,,,-69046560000.0,
Phát hành cổ phiếu,Phát hành cổ phiếu,Phát hành cổ phiếu,6.515.400.000,(33.000.000),-,-,-,6.482.400.000,6515400000.0,-33000000.0,,,,6482400000.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,27.209.375.937,27.209.375.937,,,,,27209375937.0,27209375937.0
Mua lại cổ phiếu quỹ,Mua lại cổ phiếu quỹ,Mua lại cổ phiếu quỹ,-,-,(303.220.000),-,-,(303.220.000),,,-303220000.0,,,-303220000.0
"Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi",-,-,-,-,(2.099.000.000),(2.099.000.000),,,,,-2099000000.0,-2099000000.0
Cổ tức (Thuyết minh 25),Cổ tức (Thuyết minh 25),Cổ tức (Thuyết minh 25),-,-,-,-,(34.504.687.750),(34.504.687.750),,,,,-34504687750.0,-34504687750.0
Số dư tại ngày 1/1/2017,Số dư tại ngày 1/1/2017,Số dư tại ngày 1/1/2017,759.680.800.000,(33.000.000),(311.780.000),23.516.835.886,83.982.694.781,866.835.550.667,759680800000.0,-33000000.0,-311780000.0,23516835886.0,83982694781.0,866835550667.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,179.180.621.842,179.180.621.842,,,,,179180621842.0,179180621842.0
"Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi",-,-,-,-,(816.000.000),(816.000.000),,,,,-816000000.0,-816000000.0
Cổ tức (Thuyết minh 25),Cổ tức (Thuyết minh 25),Cổ tức (Thuyết minh 25),-,-,-,-,(75.948.528.200),(75.948.528.200),,,,,-75948528200.0,-75948528200.0
Số dư tại ngày 31/12/2017,Số dư tại ngày 31/12/2017,Số dư tại ngày 31/12/2017,759.680.800.000,(33.000.000),(311.780.000),23.516.835.886,186.398.788.423,969.251.644.309,759680800000.0,-33000000.0,-311780000.0,23516835886.0,186398788423.0,969251644309.0
