row_label_raw,row_label_full,5. Các khoản đầu tư tài chính,5. Các khoản đầu tư tài chính_1,5. Các khoản đầu tư tài chính_2,5. Các khoản đầu tư tài chính_3,5. Các khoản đầu tư tài chính_4,5. Các khoản đầu tư tài chính_5,5. Các khoản đầu tư tài chính_6,numeric__5. Các khoản đầu tư tài chính_1,numeric__5. Các khoản đầu tư tài chính_2,numeric__5. Các khoản đầu tư tài chính_3,numeric__5. Các khoản đầu tư tài chính_4,numeric__5. Các khoản đầu tư tài chính_5,numeric__5. Các khoản đầu tư tài chính_6
(a),(a),(a),Chứng khoán kinh doanh,Chứng khoán kinh doanh,Chứng khoán kinh doanh,Chứng khoán kinh doanh,Chứng khoán kinh doanh,Chứng khoán kinh doanh,,,,,,
,,,Số lượngcổ phiếu,31/12/2017,31/12/2017,Số lượngcổ phiếu,1/1/2017,1/1/2017,,,,,,
,,,Số lượngcổ phiếu,Giá gốcVND,Giá trị hợp lýVND,Số lượngcổ phiếu,Giá gốcVND,Giá trị hợp lýVND,,,,,,
Cổ phiếu của Ngân hàng TMCP Quân đội,(a) > Cổ phiếu của Ngân hàng TMCP Quân đội,Cổ phiếu của Ngân hàng TMCP Quân đội,290.343,2.977.135.749,7.220.830.410,290.343,2.977.135.749,3.899.306.490,290343.0,2977135749.0,7220830410.0,290343.0,2977135749.0,3899306490.0
Cổ phiếu của Công ty Cổ phần LICOGI 13,(a) > Cổ phiếu của Công ty Cổ phần LICOGI 13,Cổ phiếu của Công ty Cổ phần LICOGI 13,75.750,444.927.000,318.150.000,75.750,444.927.000,333.300.000,75750.0,444927000.0,318150000.0,75750.0,444927000.0,333300000.0
,,,,3.422.062.749,7.538.980.410,,3.422.062.749,4.232.606.490,,3422062749.0,7538980410.0,,3422062749.0,4232606490.0
(b),(b),(b),Đầu tư nắm giữ đến ngày đáo hạn,Đầu tư nắm giữ đến ngày đáo hạn,Đầu tư nắm giữ đến ngày đáo hạn,Đầu tư nắm giữ đến ngày đáo hạn,Đầu tư nắm giữ đến ngày đáo hạn,Đầu tư nắm giữ đến ngày đáo hạn,,,,,,
,,,,,31/12/2017,31/12/2017,1/1/2017,1/1/2017,,,,,,
,,,,,Giá gốcVND,Giá trị hợp lýVND,Giá gốcVND,Giá trị hợp lýVND,,,,,,
Đầu tư nắm giữ đến ngày đáo hạn – ngắn hạn▪ Tiền gửi có kỳ hạn,(b) > Đầu tư nắm giữ đến ngày đáo hạn – ngắn hạn▪ Tiền gửi có kỳ hạn,Đầu tư nắm giữ đến ngày đáo hạn – ngắn hạn▪ Tiền gửi có kỳ hạn,,,14.700.000.000,(*),16.280.538.715,(*),,,14700000000.0,,16280538715.0,
Đầu tư nắm giữ đến ngày đáo hạn – dài hạn▪ Tiền gửi có kỳ hạn,(b) > Đầu tư nắm giữ đến ngày đáo hạn – dài hạn▪ Tiền gửi có kỳ hạn,Đầu tư nắm giữ đến ngày đáo hạn – dài hạn▪ Tiền gửi có kỳ hạn,,,45.430.525.455,(*),-,-,,,45430525455.0,,,
