row_label_raw,row_label_full,col_0,Nhà cửa VND,Máy móc và thiết bị VND,Phương tiện vận chuyển VND,Dụng cụ văn phòng VND,Tổng cộng VND,numeric__Nhà cửa VND,numeric__Máy móc và thiết bị VND,numeric__Phương tiện vận chuyển VND,numeric__Dụng cụ văn phòng VND,numeric__Tổng cộng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,10.546.797.195,87.740.736,8.062.570.909,2.429.797.744,21.126.906.584,10546797195.0,87740736.0,8062570909.0,2429797744.0,21126906584.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,-,-,-,152.545.454,152.545.454,,,,152545454.0,152545454.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,10.546.797.195,87.740.736,8.062.570.909,2.582.343.198,21.279.452.038,10546797195.0,87740736.0,8062570909.0,2582343198.0,21279452038.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,9.792.537.981,87.740.736,8.062.570.909,1.855.304.154,19.798.153.780,9792537981.0,87740736.0,8062570909.0,1855304154.0,19798153780.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,350.125.069,-,-,189.820.270,539.945.339,350125069.0,,,189820270.0,539945339.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,10.142.663.050,87.740.736,8.062.570.909,2.045.124.424,20.338.099.119,10142663050.0,87740736.0,8062570909.0,2045124424.0,20338099119.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,754.259.214,-,-,574.493.590,1.328.752.804,754259214.0,,,574493590.0,1328752804.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,404.134.145,-,-,537.218.774,941.352.919,404134145.0,,,537218774.0,941352919.0
