row_label_raw,row_label_full,col_0,Năm 2024,Năm 2023,numeric__Năm 2024,numeric__Năm 2023
,,,VND,VND,,
Tổng lợi nhuận kế toán trước thuế TNDN,Tổng lợi nhuận kế toán trước thuế TNDN,Tổng lợi nhuận kế toán trước thuế TNDN,51.713.623.433,53.070.431.972,51713623433.0,53070431972.0
Các khoản điều chỉnh tăng,Các khoản điều chỉnh tăng,Các khoản điều chỉnh tăng,1.078.669.599,697.255.301,1078669599.0,697255301.0
- Chi phí không hợp lý hợp lệ,- Chi phí không hợp lý hợp lệ,- Chi phí không hợp lý hợp lệ,1.078.669.599,694.733.172,1078669599.0,694733172.0
- Lỗ chênh lệch tỷ giá do đánh giá lại cuối năm,- Lỗ chênh lệch tỷ giá do đánh giá lại cuối năm,- Lỗ chênh lệch tỷ giá do đánh giá lại cuối năm,-,2.522.129,,2522129.0
Các khoản điều chỉnh giảm,Các khoản điều chỉnh giảm,Các khoản điều chỉnh giảm,(159.663.883.588),(264.039.508.098),-159663883588.0,-264039508098.0
- Lãi chênh lệch tỷ giá cuối năm,- Lãi chênh lệch tỷ giá cuối năm,- Lãi chênh lệch tỷ giá cuối năm,(23.229.999),(19.781.210),-23229999.0,-19781210.0
- Cổ tức lợi nhuận được chia,- Cổ tức lợi nhuận được chia,- Cổ tức lợi nhuận được chia,(159.640.653.589),(264.019.726.888),-159640653589.0,-264019726888.0
Thu nhập chịu thuế thu nhập doanh nghiệp,Thu nhập chịu thuế thu nhập doanh nghiệp,Thu nhập chịu thuế thu nhập doanh nghiệp,(106.871.590.556),(210.271.820.825),-106871590556.0,-210271820825.0
Chi phí thuế TNDN hiện hành (thuế suất 20%),Chi phí thuế TNDN hiện hành (thuế suất 20%),Chi phí thuế TNDN hiện hành (thuế suất 20%),-,-,,
Thuế TNDN phải nộp đầu năm,Chi phí thuế TNDN hiện hành (thuế suất 20%) > Thuế TNDN phải nộp đầu năm,Thuế TNDN phải nộp đầu năm,(17.729.895.143),(17.729.895.143),-17729895143.0,-17729895143.0
Thuế TNDN đã nộp trong năm,Thuế TNDN đã nộp trong năm,Thuế TNDN đã nộp trong năm,-,-,,
Thuế TNDN phải nộp cuối năm,Thuế TNDN đã nộp trong năm > Thuế TNDN phải nộp cuối năm,Thuế TNDN phải nộp cuối năm,(17.729.895.143),(17.729.895.143),-17729895143.0,-17729895143.0
