row_label_raw,row_label_full,col_0,Hạn mức,Thời hạn vay,Mục đích vay,Lãi suất,Hình thức đảm bảo,31/12/2024,numeric__Hạn mức,numeric__Thời hạn vay,numeric__Mục đích vay,numeric__Lãi suất,numeric__Hình thức đảm bảo,numeric__31/12/2024
,,,VND,VND,VND,VND,VND,VND,,,,,,
Thông tin chi tiết liên quan đến các khoản vay ngắn hạn:,Thông tin chi tiết liên quan đến các khoản vay ngắn hạn:,Thông tin chi tiết liên quan đến các khoản vay ngắn hạn:,Thông tin chi tiết liên quan đến các khoản vay ngắn hạn:,Thông tin chi tiết liên quan đến các khoản vay ngắn hạn:,Thông tin chi tiết liên quan đến các khoản vay ngắn hạn:,Thông tin chi tiết liên quan đến các khoản vay ngắn hạn:,Thông tin chi tiết liên quan đến các khoản vay ngắn hạn:,Thông tin chi tiết liên quan đến các khoản vay ngắn hạn:,,,,,,
Bên liên quan,Bên liên quan,Bên liên quan,Bên liên quan,Bên liên quan,Bên liên quan,Bên liên quan,Bên liên quan,Bên liên quan,,,,,,
(1) Công ty TNHH MTV Quốc tế Protrade,Bên liên quan > (1) Công ty TNHH MTV Quốc tế Protrade,(1) Công ty TNHH MTV Quốc tế Protrade,(1) Công ty TNHH MTV Quốc tế Protrade,(1) Công ty TNHH MTV Quốc tế Protrade,(1) Công ty TNHH MTV Quốc tế Protrade,(1) Công ty TNHH MTV Quốc tế Protrade,(1) Công ty TNHH MTV Quốc tế Protrade,90.000.000.000,,,,,,90000000000.0
(1.1) Hợp đồng vay vốn số 01/2023/HĐVV ngày 15/03/2023,Bên liên quan > (1.1) Hợp đồng vay vốn số 01/2023/HĐVV ngày 15/03/2023,(1.1) Hợp đồng vay vốn số 01/2023/HĐVV ngày 15/03/2023,100.000.000.000,12 tháng(Tự động gia hạn),Bổ sung vốn lưu động,"9,4%/năm",Tín chấp,60.000.000.000,100000000000.0,,,,,60000000000.0
(1.2) Hợp đồng vay vốn số 01/2024/HĐVV ngày 09/09/2024,Bên liên quan > (1.2) Hợp đồng vay vốn số 01/2024/HĐVV ngày 09/09/2024,(1.2) Hợp đồng vay vốn số 01/2024/HĐVV ngày 09/09/2024,30.000.000.000,12 tháng(Tự động gia hạn),Bổ sung vốn lưu động,7%/năm,Tín chấp,30.000.000.000,30000000000.0,,,,,30000000000.0
(2) Công ty TNHH Sân Golf Palm Sông Bé,Bên liên quan > (2) Công ty TNHH Sân Golf Palm Sông Bé,(2) Công ty TNHH Sân Golf Palm Sông Bé,(2) Công ty TNHH Sân Golf Palm Sông Bé,(2) Công ty TNHH Sân Golf Palm Sông Bé,(2) Công ty TNHH Sân Golf Palm Sông Bé,(2) Công ty TNHH Sân Golf Palm Sông Bé,(2) Công ty TNHH Sân Golf Palm Sông Bé,70.000.000.000,,,,,,70000000000.0
(2.1) Hợp đồng vay vốn số SBGR-TCTY/2023/227/1458/002 ngày 21/08/2023 và Phụ lục hợp đồng số 01 ngày 11/09/2024,Bên liên quan > (2.1) Hợp đồng vay vốn số SBGR-TCTY/2023/227/1458/002 ngày 21/08/2023 và Phụ lục hợp đồng số 01 ngày 11/09/2024,(2.1) Hợp đồng vay vốn số SBGR-TCTY/2023/227/1458/002 ngày 21/08/2023 và Phụ lục hợp đồng số 01 ngày 11/09/2024,30.000.000.000,12 tháng,Đến hết ngày10/09/2025,"8,9%/năm",Tín chấp,30.000.000.000,30000000000.0,,,,,30000000000.0
(2.2) Hợp đồng vay vốn số SBGR-TCTY/2023/333/2511/015 ngày 07/12/2023 và Phụ lục hợp đồng số 01 ngày 06/12/2024,Bên liên quan > (2.2) Hợp đồng vay vốn số SBGR-TCTY/2023/333/2511/015 ngày 07/12/2023 và Phụ lục hợp đồng số 01 ngày 06/12/2024,(2.2) Hợp đồng vay vốn số SBGR-TCTY/2023/333/2511/015 ngày 07/12/2023 và Phụ lục hợp đồng số 01 ngày 06/12/2024,40.000.000.000,12 tháng,Đến hết ngày07/12/2025,"7,3%/năm",Tín chấp,40.000.000.000,40000000000.0,,,,,40000000000.0
(3) Công ty TNHH MTV Giấy Vĩnh Phú,Bên liên quan > (3) Công ty TNHH MTV Giấy Vĩnh Phú,(3) Công ty TNHH MTV Giấy Vĩnh Phú,(3) Công ty TNHH MTV Giấy Vĩnh Phú,(3) Công ty TNHH MTV Giấy Vĩnh Phú,(3) Công ty TNHH MTV Giấy Vĩnh Phú,(3) Công ty TNHH MTV Giấy Vĩnh Phú,(3) Công ty TNHH MTV Giấy Vĩnh Phú,54.000.000.000,,,,,,54000000000.0
