row_label_raw,row_label_full,17 . CÁC KHOẢN VAY,17 . CÁC KHOẢN VAY_1,01/01/2024 > Giá trị,01/01/2024 > Số có khả năng trả nợ,Trong năm > Tăng,Trong năm > Giảm,31/12/2024 > Giá trị,31/12/2024 > Số có khả năng trả nợ,numeric__17 . CÁC KHOẢN VAY_1,numeric__01/01/2024 > Giá trị,numeric__01/01/2024 > Số có khả năng trả nợ,numeric__Trong năm > Tăng,numeric__Trong năm > Giảm,numeric__31/12/2024 > Giá trị,numeric__31/12/2024 > Số có khả năng trả nợ
17 . CÁC KHOẢN VAY,17 . CÁC KHOẢN VAY,17 . CÁC KHOẢN VAY,17 . CÁC KHOẢN VAY,VND,VND,VND,VND,VND,VND,,,,,,,
a),17 . CÁC KHOẢN VAY > a),a),Vay ngắn hạn,390.000.000.000,390.000.000.000,30.000.000.000,260.000.000.000,160.000.000.000,160.000.000.000,,390000000000.0,390000000000.0,30000000000.0,260000000000.0,160000000000.0,160000000000.0
a),17 . CÁC KHOẢN VAY > a),a),- Công ty TNHH MTV Quốc tế Protrade (1),140.000.000.000,140.000.000.000,30.000.000.000,80.000.000.000,90.000.000.000,90.000.000.000,,140000000000.0,140000000000.0,30000000000.0,80000000000.0,90000000000.0,90000000000.0
a),17 . CÁC KHOẢN VAY > a),a),- Công ty TNHH Sân Golf Palm Sông Bé (2),110.000.000.000,110.000.000.000,-,40.000.000.000,70.000.000.000,70.000.000.000,,110000000000.0,110000000000.0,,40000000000.0,70000000000.0,70000000000.0
a),17 . CÁC KHOẢN VAY > a),a),- Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - Chi nhánh Bình Dương,140.000.000.000,140.000.000.000,-,140.000.000.000,-,-,,140000000000.0,140000000000.0,,140000000000.0,,
a),17 . CÁC KHOẢN VAY > a),a),Nợ dài hạn đến hạn trả,-,-,54.000.000.000,-,54.000.000.000,54.000.000.000,,,,54000000000.0,,54000000000.0,54000000000.0
a),17 . CÁC KHOẢN VAY > a),a),- Công ty TNHH MTV Giấy Vĩnh Phú (3),-,-,54.000.000.000,,54.000.000.000,54.000.000.000,,,,54000000000.0,,54000000000.0,54000000000.0
a),17 . CÁC KHOẢN VAY > a),a),,390.000.000.000,390.000.000.000,84.000.000.000,260.000.000.000,214.000.000.000,214.000.000.000,,390000000000.0,390000000000.0,84000000000.0,260000000000.0,214000000000.0,214000000000.0
b),b),b),Vay dài hạn,,,,,,,,,,,,,
b),b) > b),b),- Công ty TNHH MTV Giấy Vĩnh Phú (3),45.500.000.000,45.500.000.000,8.500.000.000,-,54.000.000.000,54.000.000.000,,45500000000.0,45500000000.0,8500000000.0,,54000000000.0,54000000000.0
b),b) > b),b),,45.500.000.000,45.500.000.000,8.500.000.000,-,54.000.000.000,54.000.000.000,,45500000000.0,45500000000.0,8500000000.0,,54000000000.0,54000000000.0
b),b) > b),b),Khoản nợ đến hạn trả trong vòng 12 tháng,-,-,(54.000.000.000),-,(54.000.000.000),(54.000.000.000),,,,-54000000000.0,,-54000000000.0,-54000000000.0
b),b) > b),b),Khoản nợ đến hạn trả sau 12 tháng,45.500.000.000,45.500.000.000,,,-,-,,45500000000.0,45500000000.0,,,,
b),b),b),Các khoản vay đối với các bên liên quan,,,,,,,,,,,,,
b),b),b),,,Mối quan hệ,31/12/2024,31/12/2024,01/01/2024,01/01/2024,,,,,,,
b),b),b),,,,Gốc,Lãi,Gốc,Lãi,,,,,,,
b),b),b),,,,VND,VND,VND,VND,,,,,,,
b),b) > b),b),Công ty TNHH MTV Quốc tế Protrade,,Công ty con,90.000.000.000,24.188.904.116,140.000.000.000,17.565.917.813,,,,90000000000.0,24188904116.0,140000000000.0,17565917813.0
b),b) > b),b),Công ty TNHH Sân Golf Palm Sông Bé,,Công ty con,70.000.000.000,9.341.519.806,110.000.000.000,3.449.108.849,,,,70000000000.0,9341519806.0,110000000000.0,3449108849.0
b),b) > b),b),Công ty TNHH MTV Giấy Vĩnh Phú,,Công ty con,54.000.000.000,4.137.534.246,45.500.000.000,1.178.287.671,,,,54000000000.0,4137534246.0,45500000000.0,1178287671.0
b),b) > b),b),,,,214.000.000.000,37.667.958.168,295.500.000.000,22.193.314.333,,,,214000000000.0,37667958168.0,295500000000.0,22193314333.0
