row_label_raw,row_label_full,c) Ngoại tệ các loại,31/12/2024,01/01/2024,numeric__31/12/2024,numeric__01/01/2024
- Đô la Mỹ (USD),- Đô la Mỹ (USD),- Đô la Mỹ (USD),"24.516,81","24.543,21",24516.81,24543.21
23 . DOANH THU BÁN HÀNG VÀ CUNG CÁP ĐỊCH VỤ,23 . DOANH THU BÁN HÀNG VÀ CUNG CÁP ĐỊCH VỤ,23 . DOANH THU BÁN HÀNG VÀ CUNG CÁP ĐỊCH VỤ,Năm 2024,Năm 2023,,
,,,VND,VND,,
Doanh thu bán hàng hóa,23 . DOANH THU BÁN HÀNG VÀ CUNG CÁP ĐỊCH VỤ > Doanh thu bán hàng hóa,Doanh thu bán hàng hóa,134.285.715,-,134285715.0,
Doanh thu cung cấp dịch vụ,23 . DOANH THU BÁN HÀNG VÀ CUNG CÁP ĐỊCH VỤ > Doanh thu cung cấp dịch vụ,Doanh thu cung cấp dịch vụ,1.560.200.000,2.331.000.000,1560200000.0,2331000000.0
,,,1.694.485.715,2.331.000.000,1694485715.0,2331000000.0
24 . GIÁ VỐN HÀNG BÁN,24 . GIÁ VỐN HÀNG BÁN,24 . GIÁ VỐN HÀNG BÁN,Năm 2024,Năm 2023,,
,,,VND,VND,,
Giá vốn bán hàng hóa,24 . GIÁ VỐN HÀNG BÁN > Giá vốn bán hàng hóa,Giá vốn bán hàng hóa,118.602.345,-,118602345.0,
Giá vốn cung cấp dịch vụ,24 . GIÁ VỐN HÀNG BÁN > Giá vốn cung cấp dịch vụ,Giá vốn cung cấp dịch vụ,191.929.189,421.263.408,191929189.0,421263408.0
,,,310.531.534,421.263.408,310531534.0,421263408.0
25 . DOANH THU HOẠT ĐỘNG TÀI CHÍNH,25 . DOANH THU HOẠT ĐỘNG TÀI CHÍNH,25 . DOANH THU HOẠT ĐỘNG TÀI CHÍNH,Năm 2024,Năm 2023,,
,,,VND,VND,,
"Lãi tiền gửi, tiền cho vay","25 . DOANH THU HOẠT ĐỘNG TÀI CHÍNH > Lãi tiền gửi, tiền cho vay","Lãi tiền gửi, tiền cho vay",898.790.576,5.438.124.474,898790576.0,5438124474.0
"Cổ tức, lợi nhuận được chia","25 . DOANH THU HOẠT ĐỘNG TÀI CHÍNH > Cổ tức, lợi nhuận được chia","Cổ tức, lợi nhuận được chia",159.640.653.589,264.019.726.888,159640653589.0,264019726888.0
Lãi chênh lệch tỷ giá phát sinh cuối năm,25 . DOANH THU HOẠT ĐỘNG TÀI CHÍNH > Lãi chênh lệch tỷ giá phát sinh cuối năm,Lãi chênh lệch tỷ giá phát sinh cuối năm,-,32.872.773,,32872773.0
Lãi chênh lệch tỷ giá phát sinh trong năm,25 . DOANH THU HOẠT ĐỘNG TÀI CHÍNH > Lãi chênh lệch tỷ giá phát sinh trong năm,Lãi chênh lệch tỷ giá phát sinh trong năm,28.061.364,229.860.387,28061364.0,229860387.0
,,,160.567.505.529,269.720.584.522,160567505529.0,269720584522.0
Trong đó: Doanh thu hoạt động tài chính nhận từ các bên liên quan(Xem thống tin chi tiết tại Thuyết minh số 38),25 . DOANH THU HOẠT ĐỘNG TÀI CHÍNH > Trong đó: Doanh thu hoạt động tài chính nhận từ các bên liên quan(Xem thống tin chi tiết tại Thuyết minh số 38),Trong đó: Doanh thu hoạt động tài chính nhận từ các bên liên quan(Xem thống tin chi tiết tại Thuyết minh số 38),159.569.445.391,263.911.698.114,159569445391.0,263911698114.0
26 . CHI PHÍ TÀI CHÍNH,26 . CHI PHÍ TÀI CHÍNH,26 . CHI PHÍ TÀI CHÍNH,Năm 2024,Năm 2023,,
,,,VND,VND,,
Lãi tiền vay,26 . CHI PHÍ TÀI CHÍNH > Lãi tiền vay,Lãi tiền vay,15.984.835.453,15.275.232.136,15984835453.0,15275232136.0
Lỗ chênh lệch tỷ giá phát sinh trong năm,26 . CHI PHÍ TÀI CHÍNH > Lỗ chênh lệch tỷ giá phát sinh trong năm,Lỗ chênh lệch tỷ giá phát sinh trong năm,20.899.105,2.649.350.254,20899105.0,2649350254.0
Lỗ chênh lệch tỷ giá do đánh giá lại số dư cuối năm(Hoàn nhập) / Dự phòng đầu tư tài chính dài hạn,26 . CHI PHÍ TÀI CHÍNH > Lỗ chênh lệch tỷ giá do đánh giá lại số dư cuối năm(Hoàn nhập) / Dự phòng đầu tư tài chính dài hạn,Lỗ chênh lệch tỷ giá do đánh giá lại số dư cuối năm(Hoàn nhập) / Dự phòng đầu tư tài chính dài hạn,3.759.973.556(51.643.723.808),28.796.805.826,,28796805826.0
,,,(31.878.015.694),46.721.388.216,-31878015694.0,46721388216.0
Trong đó: Chi phí tài chính trả cho các bên liên quan,26 . CHI PHÍ TÀI CHÍNH > Trong đó: Chi phí tài chính trả cho các bên liên quan,Trong đó: Chi phí tài chính trả cho các bên liên quan,15.878.232.876,13.029.478.711,15878232876.0,13029478711.0
