row_label_raw,row_label_full,Tên công ty,Giấy chứng nhận Đăng kýDoanh nghiệp,Lĩnh vực hoạt động,Tỷ lệ sở hữu của Ngân hàng,numeric__Giấy chứng nhận Đăng kýDoanh nghiệp,numeric__Lĩnh vực hoạt động,numeric__Tỷ lệ sở hữu của Ngân hàng
Công ty TNHH Quản lý Nợ và Khai thác tài sản Ngân hàng TMCP Hàng Hải Việt Nam (“MSB AMC”),Công ty TNHH Quản lý Nợ và Khai thác tài sản Ngân hàng TMCP Hàng Hải Việt Nam (“MSB AMC”),Công ty TNHH Quản lý Nợ và Khai thác tài sản Ngân hàng TMCP Hàng Hải Việt Nam (“MSB AMC”),0200124891-027 ngày 12 tháng 12 năm 2008 do Sở Kế hoạch và Đầu tư Thành phố Hà Nội cấp,Quản lý nợ và khai thác tài sản,100%,,,1.0
Công ty Tài chính TNHH MTV Ngân hàng TMCP Hàng Hải Việt Nam (“MSB FC”),Công ty Tài chính TNHH MTV Ngân hàng TMCP Hàng Hải Việt Nam (“MSB FC”),Công ty Tài chính TNHH MTV Ngân hàng TMCP Hàng Hải Việt Nam (“MSB FC”),0301516782 ngày 23 tháng 11 năm 2016 do Ngân hàng Nhà nước Việt Nam cấp,Hoạt động dịch vụ tài chính khác,100%,,,1.0
