row_label_raw,row_label_full,con,con_1,con_2,numeric__con_1,numeric__con_2
▪ Góp vốn,▪ Góp vốn,▪ Góp vốn,100.000,100.000,100000.0,100000.0
▪ Tiền gửi,▪ Tiền gửi,▪ Tiền gửi,(86.688),(33.633),-86688.0,-33633.0
▪ Đầu tư trái phiếu,▪ Đầu tư trái phiếu,▪ Đầu tư trái phiếu,-,840.000,,840000.0
▪ Lãi trái phiếu phải thu,▪ Lãi trái phiếu phải thu,▪ Lãi trái phiếu phải thu,-,24.754,,24754.0
▪ Chi phí chờ phân bổ,▪ Chi phí chờ phân bổ,▪ Chi phí chờ phân bổ,-,4.200,,4200.0
▪ Các khoản phải thu khác,▪ Các khoản phải thu khác,▪ Các khoản phải thu khác,679.649,689.020,679649.0,689020.0
▪ Các khoản phải trả khác,▪ Các khoản phải trả khác,▪ Các khoản phải trả khác,(504),-,-504.0,
Công ty Tài chính TNHH MTV Ngân hàng TMCP Hàng Hải Việt Nam (“MSB FC”) – Công ty con,Công ty Tài chính TNHH MTV Ngân hàng TMCP Hàng Hải Việt Nam (“MSB FC”) – Công ty con,Công ty Tài chính TNHH MTV Ngân hàng TMCP Hàng Hải Việt Nam (“MSB FC”) – Công ty con,Công ty Tài chính TNHH MTV Ngân hàng TMCP Hàng Hải Việt Nam (“MSB FC”) – Công ty con,Công ty Tài chính TNHH MTV Ngân hàng TMCP Hàng Hải Việt Nam (“MSB FC”) – Công ty con,,
▪ Góp vốn,Công ty Tài chính TNHH MTV Ngân hàng TMCP Hàng Hải Việt Nam (“MSB FC”) – Công ty con > ▪ Góp vốn,▪ Góp vốn,697.076,697.076,697076.0,697076.0
▪ Tiền gửi thanh toán,Công ty Tài chính TNHH MTV Ngân hàng TMCP Hàng Hải Việt Nam (“MSB FC”) – Công ty con > ▪ Tiền gửi thanh toán,▪ Tiền gửi thanh toán,(525.096),(493.808),-525096.0,-493808.0
▪ Phải trả lãi tiền gửi,Công ty Tài chính TNHH MTV Ngân hàng TMCP Hàng Hải Việt Nam (“MSB FC”) – Công ty con > ▪ Phải trả lãi tiền gửi,▪ Phải trả lãi tiền gửi,(7.594),-,-7594.0,
▪ Hoạt động mua nợ,Công ty Tài chính TNHH MTV Ngân hàng TMCP Hàng Hải Việt Nam (“MSB FC”) – Công ty con > ▪ Hoạt động mua nợ,▪ Hoạt động mua nợ,53.796,67.415,53796.0,67415.0
Tổng công ty Bưu chính viễn thông Việt Nam (“VNPT”) – Cổ đông lớn,Tổng công ty Bưu chính viễn thông Việt Nam (“VNPT”) – Cổ đông lớn,Tổng công ty Bưu chính viễn thông Việt Nam (“VNPT”) – Cổ đông lớn,Tổng công ty Bưu chính viễn thông Việt Nam (“VNPT”) – Cổ đông lớn,Tổng công ty Bưu chính viễn thông Việt Nam (“VNPT”) – Cổ đông lớn,,
▪ Tiền gửi thanh toán,Tổng công ty Bưu chính viễn thông Việt Nam (“VNPT”) – Cổ đông lớn > ▪ Tiền gửi thanh toán,▪ Tiền gửi thanh toán,(1.725),(611.059),-1725.0,-611059.0
Thành viên Hội đồng Quản trị và Ban Điều hành và những người có liên quan của các thành viên này,Thành viên Hội đồng Quản trị và Ban Điều hành và những người có liên quan của các thành viên này,Thành viên Hội đồng Quản trị và Ban Điều hành và những người có liên quan của các thành viên này,Thành viên Hội đồng Quản trị và Ban Điều hành và những người có liên quan của các thành viên này,Thành viên Hội đồng Quản trị và Ban Điều hành và những người có liên quan của các thành viên này,,
▪ Tiền gửi,Thành viên Hội đồng Quản trị và Ban Điều hành và những người có liên quan của các thành viên này > ▪ Tiền gửi,▪ Tiền gửi,(17.465),(36.766),-17465.0,-36766.0
▪ Tiền vay,Thành viên Hội đồng Quản trị và Ban Điều hành và những người có liên quan của các thành viên này > ▪ Tiền vay,▪ Tiền vay,16.823,4.713,16823.0,4713.0
